maranyane a mahala a le wena o kgonang go a fetola.	maraɲanɪ a mahala a lɪ wɪna ʊ k͡χʰʊnaŋ χʊ a fɪtʊla .
Mompati District e mabapi le mafelo le dimasepala tse di latelang:	mʊmpati distrikt ɪ mabapi lɪ mafɪlʊ lɪ dimasɪpala t͡sɪ di latɪlaŋ ,
.Bakgatla ,ke lo dumedisa ka e e namagadi.	bak͡χʰat͡ɬa , kɪ lʊ dumɪdisa ka ɪ ɪ namaχadi .
Alberton e na le ditsela di le dintsi tsa go tsena mo ditseleng tse di kgolo mo porofenseng ya Gauteng jaaka R59, N12, N17 le N3.	albɪrtʊn ɪ na lɪ dit͡sɪla di lɪ dint͡si t͡sa χʊ t͡sɪna mʊ dit͡sɪlɪŋ t͡sɪ di k͡χʰʊlʊ mʊ pʊrʊfɪnsɪŋ ja χautɪŋ d͡ʒaaka r masʊmɪ a mat͡ɬʰanʊ lɪ bʊfɪra bʊŋwɪ , n lɪsʊmɪ lɪ bʊbɪdi , n lɪsʊmɪ lɪ bʊsupa lɪ n bʊrarʊ .
Roy Sesana (o tshotswe ka 1950) ke molweladitshwanelo wa Basarwa yo o neng a bereka mmogo le batho ba ntlha ba Kalahari go lwela ditshwanelo tsa morafe wa gagwe.	rʊj sɪsana ʊ t͡sʰʊt͡swɪ ka sɪkɪtɪ lɪ mak͡χʰʊlʊ a fɪraŋ bʊŋwɪ lɪ masʊmɪ a mat͡ɬʰanʊ kɪ mʊlwɪladit͡sʰwanɪlʊ wa basarwa jʊ ʊ nɪŋ a bɪrɪka mmʊχʊ lɪ batʰʊ ba nt͡ɬʰa ba kalahari χʊ lwɪla dit͡sʰwanɪlʊ t͡sa mʊrafɪ wa χaχwɪ .
Mo didikadikeng tsa batho. Kholomo ya bobedi le ya boraro di akaretsa bobedi ditlamorago tsa kgolo ya baagi le bogolo jo bo oketsegileng jwa dipoa tsa morwalela ka nako eo.	mʊ didikadikɪŋ t͡sa batʰʊ . kʰʊlʊmʊ ja bʊbɪdi lɪ ja bʊrarʊ di akarɪt͡sa bʊbɪdi dit͡ɬamʊraχʊ t͡sa k͡χʰʊlʊ ja baaχi lɪ bʊχʊlʊ d͡ʒʊ bʊ ʊkɪt͡sɪχilɪŋ d͡ʒwa dipʊa t͡sa mʊrwalɪla ka nakʊ ɪʊ .
Ka ntlha ya go ikaêga thata ka temôthuô e e fepiwang ke pula jaaka motswêdi o o tlhomameng wa GDP le pabalêsêgô ya dijo, setšhaba sê se amogêlang madi a a kwa tlase jaaka Tanzania se ka tlhasêlwa thata ke ditlamorago tsa temothuong tsa phetogo ya tlelaemete.	ka nt͡ɬʰa ja χʊ ikaɛχa tʰata ka tɪmɔtʰuɔ ɪ ɪ fɪpiwaŋ kɪ pula d͡ʒaaka mʊt͡swɛdi ʊ ʊ t͡ɬʰʊmamɪŋ wa χdp lɪ pabalɛsɛχɔ ja did͡ʒʊ , sɪt͡ʃʰaba sɛ sɪ amʊχɛlaŋ madi a a kwa t͡ɬasɪ d͡ʒaaka tanzania sɪ ka t͡ɬʰasɛlwa tʰata kɪ dit͡ɬamʊraχʊ t͡sa tɪmʊtʰuʊŋ t͡sa pʰɪtʊχʊ ja t͡ɬɪlaɪmɪtɪ .
Sainsbury African Galleries, The British Museum London, UK	sainsburj afrikan χallɪriɪs , tʰɪ britiʃ musɪum lʊndʊn , uk
Shake-shake ene o tswa mo mokgweng wa go kgotlhokgotlha/tshikhinya bojalwa pele ga o tsaya mothamo wa ntlha. Bojalwa jo, bo na le setache, germ le sebidiso (tse ka gale di sa tsenngwe mo majalweng a lager le ale). Ere ka diteng tse di tiileng di itsheka ko tlase ga sekgapha, bo tshwanetse ja tshikhinngwa pele ga go nowa.	ʃakɪ ʃakɪ ɪnɪ ʊ t͡swa mʊ mʊk͡χʰwɪŋ wa χʊ k͡χʰʊt͡ɬʰʊk͡χʰʊt͡ɬʰa t͡sʰikʰiɲa bʊd͡ʒalwa pɪlɪ χa ʊ t͡saja mʊtʰamʊ wa nt͡ɬʰa . bʊd͡ʒalwa d͡ʒʊ , bʊ na lɪ sɪtakhɪ , χɪrm lɪ sɪbidisʊ t͡sɪ ka χalɪ di sa t͡sɪnŋwɪ mʊ mad͡ʒalwɪŋ a laχɪr lɪ alɪ . ɪrɪ ka ditɪŋ t͡sɪ di tiilɪŋ di it͡sʰɪka kʊ t͡ɬasɪ χa sɪk͡χʰapʰa , bʊ t͡sʰwanɪt͡sɪ d͡ʒa t͡sʰikʰinŋwa pɪlɪ χa χʊ nʊwa .
Southern African Customs Union (SACU) ke lekgotla le le golagantseng mafatshe a a mo borwa jwa Aforika a le matlhano, ebong Botswana, Eswatini, Lesotho, Namibia le Aforika Borwa. Ntlokgolo ya lone e ka toropokgolo ya lefatshe la Namibia, Windhoek. Le simolodisitswe ka ngwaga wa 1910.	sʊutʰɪrn afrikan kustʊms uniʊn saku kɪ lɪk͡χʰʊt͡ɬa lɪ lɪ χʊlaχant͡sɪŋ mafat͡sʰɪ a a mʊ bʊrwa d͡ʒwa afʊrika a lɪ mat͡ɬʰanʊ , ɪbʊŋ bʊt͡swana , ɪswatini , lɪsʊtʰʊ , namibia lɪ afʊrika bʊrwa . nt͡ɬʊk͡χʰʊlʊ ja lʊnɪ ɪ ka tʊrʊpʊk͡χʰʊlʊ ja lɪfat͡sʰɪ la namibia , windhʊɪk . lɪ simʊlʊdisit͡swɪ ka ŋwaχa wa sɪkɪtɪ lɪ mak͡χʰʊlʊ a fɪraŋ bʊŋwɪ lɪ lɪsʊmɪ .
Morago ga foo, o ne a fiwa di scholarsip tsa kgwele ya seAmerika le tsa bente gotlhe le tumalano ya tiro ya baseball.	mʊraχʊ χa fʊʊ , ʊ nɪ a fiwa di skhʊlarsip t͡sa k͡χʰwɪlɪ ja sɪamɪrika lɪ t͡sa bɪntɪ χʊt͡ɬʰɪ lɪ tumalanʊ ja tirʊ ja basɪball .
"Imitation" (e gatisitswe e le lantlha mo Other Voices) e diragalela kwa Philadelphia mme e lebagane le botshelo jwa ga Nkem, mosetsana o e leng mme, o monna wa gagwe o o rekisang tsa botaki a mo etelang kgwedi tse pedi fela mo ngwageng. O itemogela gore mokapelo wa gmonna wa gagwe o fudugetse kwa lolwapeng lwa bone kwa Lagos.	imitatiʊn ɪ χatisit͡swɪ ɪ lɪ lant͡ɬʰa mʊ ʊtʰɪr vʊikɪs ɪ diraχalɪla kwa pʰiladɪlpʰia mmɪ ɪ lɪbaχanɪ lɪ bʊt͡sʰɪlʊ d͡ʒwa χa nkɪm , mʊsɪt͡sana ʊ ɪ lɪŋ mmɪ , ʊ mʊnna wa χaχwɪ ʊ ʊ rɪkisaŋ t͡sa bʊtaki a mʊ ɪtɪlaŋ k͡χʰwɪdi t͡sɪ pɪdi fɪla mʊ ŋwaχɪŋ . ʊ itɪmʊχɪla χʊrɪ mʊkapɪlʊ wa χmʊnna wa χaχwɪ ʊ fuduχɪt͡sɪ kwa lʊlwapɪŋ lwa bʊnɪ kwa laχʊs .
Ngwaga o o latelang, matlo a le masome mane a a neng a tla emisetsa batho ba motse wa Lumbo a ne a siametse go abiwa ka tiro ya ntlha ya go aga e ne e setse e simolotse. Go ya ka Molaodi wa Kgaolo ya Kazungula Pascalina Musokotwane, matlo a le masome a mane le sekolo di ne tsa neelwa banni ba motse oo ka kgwedi ya Phatwe 2014.	ŋwaχa ʊ ʊ latɪlaŋ , mat͡ɬʊ a lɪ masʊmɪ manɪ a a nɪŋ a t͡ɬa ɪmisɪt͡sa batʰʊ ba mʊt͡sɪ wa lumbʊ a nɪ a siamɪt͡sɪ χʊ abiwa ka tirʊ ja nt͡ɬʰa ja χʊ aχa ɪ nɪ ɪ sɪt͡sɪ ɪ simʊlʊt͡sɪ . χʊ ja ka mʊlaʊdi wa k͡χʰaʊlʊ ja kazuŋula paskalina musʊkʊtwanɪ , mat͡ɬʊ a lɪ masʊmɪ a manɪ lɪ sɪkʊlʊ di nɪ t͡sa nɪɪlwa banni ba mʊt͡sɪ ʊʊ ka k͡χʰwɪdi ja pʰatwɪ dikɪtɪ t͡sɪ pɪdi lɪ lɪsʊmɪ lɪ bʊnɪ .
NU 2 Stadium ke lebala la metshameko kago farologana ko Motherwell, Eastern Cape ko lefatsheng la Aforika Borwa. mo gompienong le dirisiwa thata mo metshamekong ya kgwele	nu bʊbɪdi stadium kɪ lɪbala la mɪt͡sʰamɪkʊ kaχʊ farʊlʊχana kʊ mʊtʰɪrwɪll , ɪastɪrn kapɪ kʊ lɪfat͡sʰɪŋ la afʊrika bʊrwa . mʊ χʊmpiɪnʊŋ lɪ dirisiwa tʰata mʊ mɪt͡sʰamɪkʊŋ ja k͡χʰwɪlɪ
Langi o rutegile Yunibesithing ya Pacific Borwa, mathomong o ithutile dithuto tša motheo pele a fetsa legoro la molao khamphaseng ya Emalus kua Vanuatu. O somile bjalo ka mothusi wa molao lefelong la molao wa setshaba pele e eba Motshotshisi wa Mmuso wa ofisi ya Ramolao-mogolo wa Tonga.	laŋi ʊ rutɪχilɪ junibɪsitʰiŋ ja pakifik bʊrwa , matʰʊmʊŋ ʊ itʰutilɪ ditʰutʊ t͡ʃa mʊtʰɪʊ pɪlɪ a fɪt͡sa lɪχʊrʊ la mʊlaʊ kʰampʰasɪŋ ja ɪmalus kua vanuatu . ʊ sʊmilɪ bd͡ʒalʊ ka mʊtʰusi wa mʊlaʊ lɪfɪlʊŋ la mʊlaʊ wa sɪt͡sʰaba pɪlɪ ɪ ɪba mʊt͡sʰʊt͡sʰisi wa mmusʊ wa ʊfisi ja ramʊlaʊ mʊχʊlʊ wa tʊŋa .
Ka ngwaga wa dikete tse pedi le lesome le bosupa (2017), Boseja one a dumeala go tshamekela Double Action FC	ka ŋwaχa wa dikɪtɪ t͡sɪ pɪdi lɪ lɪsʊmɪ lɪ bʊsupa dikɪtɪ t͡sɪ pɪdi lɪ lɪsʊmɪ lɪ bʊsupa , bʊsɪd͡ʒa ʊnɪ a dumɪala χʊ t͡sʰamɪkɪla dʊublɪ aktiʊn fk
Botswana Premier League: 3 1978, 1996, 1998	bʊt͡swana prɪmiɪr lɪaχuɪ , bʊrarʊ sɪkɪtɪ lɪ mak͡χʰʊlʊ a fɪraŋ bʊŋwɪ lɪ masʊmɪ a supaŋ lɪ bʊfɪra bʊbɪdi , sɪkɪtɪ lɪ mak͡χʰʊlʊ a fɪraŋ bʊŋwɪ lɪ masʊmɪ a fɪraŋ bʊŋwɪ lɪ bʊratarʊ , sɪkɪtɪ lɪ mak͡χʰʊlʊ a fɪraŋ bʊŋwɪ lɪ masʊmɪ a fɪraŋ bʊŋwɪ lɪ bʊfɪra bʊbɪdi
Ka ngwaga wa 2017 ,Stephanie Coker o nyetswe ke Olumide Adernokum ko Mykonos.o tshotse ngwana wa mosetsana ka ngwaga wa 2019.	ka ŋwaχa wa dikɪtɪ t͡sɪ pɪdi lɪ lɪsʊmɪ lɪ bʊsupa , stɪpʰaniɪ kʊkɪr ʊ ɲɪt͡swɪ kɪ ʊlumidɪ adɪrnʊkum kʊ mjkʊnʊs . ʊ t͡sʰʊt͡sɪ ŋwana wa mʊsɪt͡sana ka ŋwaχa wa dikɪtɪ t͡sɪ pɪdi lɪ lɪsʊmɪ lɪ bʊfɪra bʊŋwɪ .
Bell o ne a amogela dikirii ya bonono kwa Yunibesithing ya Witwatersrand ka 1975 mme ka 1986 o ne a amogela Master of Arts kwa yunibesithing e e tshwanang.	bɪll ʊ nɪ a amʊχɪla dikirii ja bʊnʊnʊ kwa junibɪsitʰiŋ ja witwatɪrsrand ka sɪkɪtɪ lɪ mak͡χʰʊlʊ a fɪraŋ bʊŋwɪ lɪ masʊmɪ a supaŋ lɪ bʊt͡ɬʰanʊ mmɪ ka sɪkɪtɪ lɪ mak͡χʰʊlʊ a fɪraŋ bʊŋwɪ lɪ masʊmɪ a fɪraŋ bʊbɪdi lɪ bʊratarʊ ʊ nɪ a amʊχɪla mastɪr ʊf art͡s kwa junibɪsitʰiŋ ɪ ɪ t͡sʰwanaŋ .
London Football Awards Women's-motshameki wa ngwaga: 2018–19, 2019–20	lʊndʊn fʊʊtball awards wʊmɪn s mʊt͡sʰamɪki wa ŋwaχa , dikɪtɪ t͡sɪ pɪdi lɪ lɪsʊmɪ lɪ bʊfɪra bʊbɪdi lɪsʊmɪ lɪ bʊfɪra bʊŋwɪ , dikɪtɪ t͡sɪ pɪdi lɪ lɪsʊmɪ lɪ bʊfɪra bʊŋwɪ masʊmɪ a mabɪdi
Ka 12 Phukwi 2019, mogolowe Farid o ne a tlhokafala ka ntlha ya kankere a le dingwaga di le 54.	ka lɪsʊmɪ lɪ bʊbɪdi pʰukwi dikɪtɪ t͡sɪ pɪdi lɪ lɪsʊmɪ lɪ bʊfɪra bʊŋwɪ , mʊχʊlʊwɪ farid ʊ nɪ a t͡ɬʰʊkafala ka nt͡ɬʰa ja kankɪrɪ a lɪ diŋwaχa di lɪ masʊmɪ a mat͡ɬʰanʊ lɪ bʊnɪ .
Diofisi tsa UtterBerry di ka bona kwa Leeds, motse o o kwa lefatsheng la Mmamosadinyana.	diʊfisi t͡sa uttɪrbɪrrj di ka bʊna kwa lɪɪds , mʊt͡sɪ ʊ ʊ kwa lɪfat͡sʰɪŋ la mmamʊsadiɲana .
Lenaane la mefuta ya dintša tsa mapodisi	lɪnaanɪ la mɪfuta ja dint͡ʃa t͡sa mapʊdisi
Go tsidifala gantsi go diragala fa mouwane o tsidifadiwa le/kgotsa o gatelelwa go fitlha mo molelwaneng wa one wa go tlala fa bokanakang jwa dimolekhule mo karolong ya gase bo fitlha mo molelwaneng wa jone o mogolo. Didiriswa tse di tsidifatsang le go gatelela tse di kgobokanyang diedi tse di kitlaneng di bidiwa "condenser".	χʊ t͡sidifala χant͡si χʊ diraχala fa mʊuwanɪ ʊ t͡sidifadiwa lɪ k͡χʰʊt͡sa ʊ χatɪlɪlwa χʊ fit͡ɬʰa mʊ mʊlɪlwanɪŋ wa ʊnɪ wa χʊ t͡ɬala fa bʊkanakaŋ d͡ʒwa dimʊlɪkʰulɪ mʊ karʊlʊŋ ja χasɪ bʊ fit͡ɬʰa mʊ mʊlɪlwanɪŋ wa d͡ʒʊnɪ ʊ mʊχʊlʊ . didiriswa t͡sɪ di t͡sidifat͡saŋ lɪ χʊ χatɪlɪla t͡sɪ di k͡χʰʊbʊkaɲaŋ diɪdi t͡sɪ di kit͡ɬanɪŋ di bidiwa kʊndɪnsɪr .
'University remembers its first graduate . Times of Malta. 22 Nov 2007. Archived from the original on 2020-03-21. Retrieved 2020-03-11.	univɪrsitj rɪmɪmbɪrs it͡s first χraduatɪ . timɪs ʊf malta . masʊmɪ a mabɪdi lɪ bʊbɪdi nʊv dikɪtɪ t͡sɪ pɪdi lɪ bʊsupa . arkhivɪd frʊm tʰɪ ʊriχinal ʊn dikɪtɪ t͡sɪ pɪdi lɪ masʊmɪ a mabɪdi bʊrarʊ masʊmɪ a mabɪdi lɪ bʊŋwɪ . rɪtriɪvɪd dikɪtɪ t͡sɪ pɪdi lɪ masʊmɪ a mabɪdi bʊrarʊ lɪsʊmɪ lɪ bʊŋwɪ .
Weir o dirile tshameko ya gagwe ya ntlha e e tletseng ya boditshabatshaba ka 2013, a bo a tshamekela Scotland kwa dikgaisanong tsa UEFA EURO ya 2017 le kwa sejaneng sa lefatshe sa FIFA sa 2019. O iponaditse gape kwa setlhopheng se se kopanngwang ka boutsana sa Great Britain kwa diOlimpiking tsa 2020 (tse di neng si tshwere ka 2021)	wɪir ʊ dirilɪ t͡sʰamɪkʊ ja χaχwɪ ja nt͡ɬʰa ɪ ɪ t͡ɬɪt͡sɪŋ ja bʊdit͡sʰabat͡sʰaba ka dikɪtɪ t͡sɪ pɪdi lɪ lɪsʊmɪ lɪ bʊrarʊ , a bʊ a t͡sʰamɪkɪla skʊt͡ɬand kwa dik͡χʰaisanʊŋ t͡sa uɪfa ɪurʊ ja dikɪtɪ t͡sɪ pɪdi lɪ lɪsʊmɪ lɪ bʊsupa lɪ kwa sɪd͡ʒanɪŋ sa lɪfat͡sʰɪ sa fifa sa dikɪtɪ t͡sɪ pɪdi lɪ lɪsʊmɪ lɪ bʊfɪra bʊŋwɪ . ʊ ipʊnadit͡sɪ χapɪ kwa sɪt͡ɬʰʊpʰɪŋ sɪ sɪ kʊpanŋwaŋ ka bʊut͡sana sa χrɪat britain kwa diʊlimpikiŋ t͡sa dikɪtɪ t͡sɪ pɪdi lɪ masʊmɪ a mabɪdi t͡sɪ di nɪŋ si t͡sʰwɪrɪ ka dikɪtɪ t͡sɪ pɪdi lɪ masʊmɪ a mabɪdi lɪ bʊŋwɪ
Reuten o tsholetswe kwa Bussum, Netherlands, morwadia rre wa Mo-Dutch, Joost Reuten,	rɪutɪn ʊ t͡sʰʊlɪt͡swɪ kwa bussum , nɪtʰɪrlands , mʊrwadia rrɪ wa mʊ dutkh , d͡ʒʊʊst rɪutɪn ,
"Manifesto ya Bobedi" e ne ya itsisiwe kwa kopanong e kgolo ya kereke e e neng e tshwerwe ka April 6, 1904. Kwa pokanong nngwe ya phatlalatsa, Smith o ne a itsise gore o batla go bala "molaetsa wa semolao" o a neng a o baakanyeditse gore mafoko a gagwe "a se ka a tlhaloganngwa ka tsela e e sa siamang kana a nopolwa ka tsela e e sa siamang". Smith o ne a bala jaana:	manifɪstʊ ja bʊbɪdi ɪ nɪ ja it͡sisiwɪ kwa kʊpanʊŋ ɪ k͡χʰʊlʊ ja kɪrɪkɪ ɪ ɪ nɪŋ ɪ t͡sʰwɪrwɪ ka april bʊratarʊ , sɪkɪtɪ lɪ mak͡χʰʊlʊ a fɪraŋ bʊŋwɪ lɪ bʊnɪ . kwa pʊkanʊŋ nŋwɪ ja pʰat͡ɬalat͡sa , smitʰ ʊ nɪ a it͡sisɪ χʊrɪ ʊ bat͡ɬa χʊ bala mʊlaɪt͡sa wa sɪmʊlaʊ ʊ a nɪŋ a ʊ baakaɲɪdit͡sɪ χʊrɪ mafʊkʊ a χaχwɪ a sɪ ka a t͡ɬʰalʊχanŋwa ka t͡sɪla ɪ ɪ sa siamaŋ kana a nʊpʊlwa ka t͡sɪla ɪ ɪ sa siamaŋ . smitʰ ʊ nɪ a bala d͡ʒaana ,
Morwarraagwe Baron wa bo 9, Dafydd ap Ieuan, e ne e le constable wa Harlech Castle ka nako ya Ntwa ya Marosa mme tshireletso ya gagwe e e pelokgale e gopolwa mo pineng ya Banna ba Harlech	mʊrwarraaχwɪ barʊn wa bʊ bʊfɪra bʊŋwɪ , dafjdd ap iɪuan , ɪ nɪ ɪ lɪ kʊnstablɪ wa harlɪkh kast͡ɬɪ ka nakʊ ja ntwa ja marʊsa mmɪ t͡sʰirɪlɪt͡sʊ ja χaχwɪ ɪ ɪ pɪlʊk͡χʰalɪ ɪ χʊpʊlwa mʊ pinɪŋ ja banna ba harlɪkh
Amélie Beaury-Saurel (1849 Motsheganong 30, 1924) e ne e le motaki wa kwa Fora yo o	amɪliɪ bɪaurj saurɪl sɪkɪtɪ lɪ mak͡χʰʊlʊ a fɪraŋ bʊbɪdi lɪ masʊmɪ a manɪ lɪ bʊfɪra bʊŋwɪ mʊt͡sʰɪχanʊŋ masʊmɪ a mararʊ , sɪkɪtɪ lɪ mak͡χʰʊlʊ a fɪraŋ bʊŋwɪ lɪ masʊmɪ a mabɪdi lɪ bʊnɪ ɪ nɪ ɪ lɪ mʊtaki wa kwa fʊra jʊ ʊ
