Sonda meniń qurayday, solǵanım dep, háwjar.»	sonˈdɑ meˈniŋ qurɑjˈdɑj , solʁɑˈnɯm ˈdep , hæwˈʒɑr .
I háribi sózdiń barlıq esitilgen orınlarında jazıla beredi: ini, ilgek, imarat, tis, terim, bilim, irimshik, ilim, túlki, júweri, kisi t.b. Al, kino, ekonomika, lirika sıyaqlı sózlerde i háribi sozılıńqı dawıslını ańlatadı. Bul aytılǵan eki jaǵdayda da i háribi jazıladı .	ˈɯ hæriˈbi søzˈdiŋ bɑrˈlɯq esitilˈɡen orɯnlɑrɯnˈdɑ ʒɑzɯˈlɑ bereˈdi , iˈni , ilˈɡek , imɑˈrɑt , ˈtis , teˈrim , biˈlim , irimˈʃik , iˈlim , tylˈki , ʒyweˈri , kiˈsi t . b . ˈɑl , kiˈno , ekonomiˈkɑ , liriˈkɑ sɯjɑqˈlɯ søzlerˈde ˈi hæriˈbi sozɯlɯŋˈqɯ dɑwɯslɯˈnɯ ɑŋlɑtɑˈdɯ . ˈbul ɑjtɯlˈʁɑn eˈki ʒɑʁdɑjˈdɑ ˈdɑ ˈi hæriˈbi ʒɑzɯlɑˈdɯ .
Web-saytlar- jeke web-saytlar sociallıq tarmaqlardaǵı kanallar toparlar hám bloglar	ˈweb sɑjtˈlɑr ʒeˈke ˈweb sɑjtˈlɑr sokiɑlˈlɯq tɑrmɑqlɑrdɑˈʁɯ kɑnɑlˈlɑr topɑrˈlɑr ˈhæm bloɡˈlɑr
Kredit mexanizmi — kredit qatnasıqların dúziwde qollanılatuǵın elementler kompleksi.	kreˈdit meχɑnizˈmi kreˈdit qɑtnɑsɯqlɑˈrɯn dyziwˈde qollɑnɯlɑtuˈʁɯn elementˈler komplekˈsi .
1999-jılda Qospa Shtatlar jáne onıń birlespeshileri BMT qorǵawı astında bolǵan Kesewo avtonom wálayatında áskeriy operatsiya ótkerdi. Operatsiya adamgershilik aralasıwı retinde oqlandi, biraq ol BMT mandatisiz ámelge asırıldı, sol sebepli onıń ótkeriliwiniń nızamlılıǵı tartıslı hám birpara sınshılar tárepinen áskeriy hújim retinde xarakterlenedi.	ˈmɯŋ toˈʁɯz ˈʒyz toqˈsɑn toˈʁɯz ʒɯlˈdɑ qosˈpɑ ʃtɑtˈlɑr ʒæˈne oˈnɯŋ birlespeʃileˈri bmt qorʁɑˈwɯ ɑstɯnˈdɑ bolˈʁɑn keseˈwo ɑvtoˈnom wælɑjɑtɯnˈdɑ æskeˈrij operɑtsiˈjɑ øtkerˈdi . operɑtsiˈjɑ ɑdɑmɡerʃiˈlik ɑrɑlɑsɯˈwɯ retinˈde oqlɑnˈdi , biˈrɑq ˈol bmt mɑndɑtiˈsiz æmelˈɡe ɑsɯrɯlˈdɯ , ˈsol sebepˈli oˈnɯŋ øtkeriliwiˈniŋ nɯzɑmlɯlɯˈʁɯ tɑrtɯsˈlɯ ˈhæm birpɑˈrɑ sɯnʃɯˈlɑr tærepiˈnen æskeˈrij hyˈʒim retinˈde χɑrɑkterleneˈdi .
ayqınlawısh mánisindegi atlıqlar bas háripten baslanıp,	ɑjqɯnlɑˈwɯʃ mænisindeˈɡi ɑtlɯqˈlɑr ˈbɑs hæripˈten bɑslɑˈnɯp ,
Enni Leybovic 1949-jılı 2-oktyabrda Vestport (AQShtıń Konnektikut shtatınıń Uotberi qalası) kishi qalasında Samuel ha’m Merilin Leybovicler shańaraǵında tuwılǵan.	enˈni lejboˈvik ˈmɯŋ toˈʁɯz ˈʒyz ˈqɯrq toˈʁɯz ʒɯˈlɯ eˈki oktjɑbrˈdɑ vestˈport ɑqʃˈtɯŋ konnektiˈkut ʃtɑtɯˈnɯŋ uotbeˈri qɑlɑˈsɯ kiˈʃi qɑlɑsɯnˈdɑ sɑmuˈel ˈhɑ m meriˈlin lejbovikˈler ʃɑŋɑrɑʁɯnˈdɑ tuwɯlˈʁɑn .
Internettiń WWW xızmetinen paydalanıw ushın aarnawlı baǵdarlamalar islep shıǵılǵan. Olar Web-brauzerler (Browser) dep ataladı. Browser	ɯnternetˈtiŋ www χɯzmetiˈnen pɑjdɑlɑˈnɯw uˈʃɯn ɑɑrnɑwˈlɯ bɑʁdɑrlɑmɑˈlɑr isˈlep ʃɯʁɯlˈʁɑn . oˈlɑr ˈweb brɑuzerˈler browˈser ˈdep ɑtɑlɑˈdɯ . browˈser
jırtqıshlıq), jáne bir túrge kiriwshi organizmlerdiń bir-birlerin jep qoyıwı bolıp esaplanadı. Mısalı qaraqurttıń urǵashıları tuqımlanǵannan keyin erkeklerin	ʒɯrtqɯʃˈlɯq , ʒæˈne ˈbir tyrˈɡe kiriwˈʃi orɡɑnizmlerˈdiŋ ˈbir birleˈrin ˈʒep qojɯˈwɯ boˈlɯp esɑplɑnɑˈdɯ . mɯsɑˈlɯ qɑrɑqurtˈtɯŋ urʁɑʃɯlɑˈrɯ tuqɯmlɑnʁɑnˈnɑn keˈjin erkekleˈrin
~toyxanaǵa kómek penen otın ákelip beriw;	tojχɑnɑˈʁɑ køˈmek peˈnen oˈtɯn ækeˈlip beˈriw ,
Carrivick, J.L., Lee, J. and Brewer, T.R. (2004). "Improving Local Estimations and Regional Trends of Glacier Equilibrium Line Altitudes." Geografiska Annaler: Series A, Physical Geography, vol. 86, no. 1, pp.&nbsp;67–79. .	kɑrriˈvikk , ʒ . l , leˈe , ʒ . ˈɑnd breˈwer , t . r . eˈki ˈmɯŋ ˈtørt . ɯmproˈvinɡ loˈkɑl estimɑtiˈons ˈɑnd reɡioˈnɑl tˈrends ˈof ɡlɑkiˈer equilibriˈum liˈne ɑltituˈdes . ɡeoɡrɑfisˈkɑ ɑnnɑˈler , seriˈes ˈɑ , phjsiˈkɑl ɡeoɡˈrɑphj , ˈvol . sekˈsen ɑlˈtɯ , ˈno . ˈbir , pp . ɑlˈpɯs ʒeˈti , ʒetˈpis toˈʁɯz .
1906 -jılda Sirdárya wálayatında tuwılǵan. 1931-jıldan KPSS aǵzası.	ˈmɯŋ toˈʁɯz ˈʒyz ɑlˈtɯ ʒɯlˈdɑ sirdærˈjɑ wælɑjɑtɯnˈdɑ tuwɯlˈʁɑn . ˈmɯŋ toˈʁɯz ˈʒyz oˈtɯz ˈbir ʒɯlˈdɑn kpss ɑʁzɑˈsɯ .
Mavritaniya (Mauritanis), Mavritaniya Islam Respublikası (Al-Jumhuriya al-Islamıya al-Mavritaniya, République Islamique Mauritanie) — Afrikanıń arqa-batısındaǵı mámleket. Maydanı 1031 mıń km². Xalqı 4,3 mln. adam (2022). Paytaxtı — Nuakshot qalası. Basqarıw tárepten 12 wálayat (region) qa bólinedi, paytaxtı — Nuakshot qalası avtonomiya okrug (district) retinde ajıratılǵan.	mɑvritɑniˈjɑ mɑuritɑˈnis , mɑvritɑniˈjɑ ɯsˈlɑm respublikɑˈsɯ ˈɑl ʒumhuriˈjɑ ˈɑl ɯslɑmɯˈjɑ ˈɑl mɑvritɑniˈjɑ , republiquˈe ɯslɑmiquˈe mɑuritɑniˈe ɑfrikɑˈnɯŋ ɑrˈqɑ bɑtɯsɯndɑˈʁɯ mæmleˈket . mɑjdɑˈnɯ ˈmɯŋ oˈtɯz ˈbir ˈmɯŋ kvɑdˈrɑt kiloˈmetr . χɑlˈqɯ ˈtørt ˈyʃ milliˈon ɑˈdɑm eˈki ˈmɯŋ ʒiɡirˈmɑ eˈki . pɑjtɑχˈtɯ nuɑkˈʃot qɑlɑˈsɯ . bɑsqɑˈrɯw tærepˈten ˈon eˈki wælɑˈjɑt reɡiˈon ˈqɑ bølineˈdi , pɑjtɑχˈtɯ nuɑkˈʃot qɑlɑˈsɯ ɑvtonomiˈjɑ okˈruɡ distˈrikt retinˈde ɑʒɯrɑtɯlˈʁɑn .
Aliçören - Túrkiyanıń Bolu wálayatı Bolu rayonındaǵı awıl. 2010-jılda 792 xalıq jasaǵan .	ɑlikoˈren tyrkijɑˈnɯŋ boˈlu wælɑjɑˈtɯ boˈlu rɑjonɯndɑˈʁɯ ɑˈwɯl . eˈki ˈmɯŋ ˈon ʒɯlˈdɑ ʒeˈti ˈʒyz toqˈsɑn eˈki χɑˈlɯq ʒɑsɑˈʁɑn .
Sonday-aq búgin, Xalıqaralıq qorıqlar (qorıxana) kúni. Jıl sayın bul kún Xalıqaralıq tábiyattı qorǵaw keńesiniń baslaması menen belgilenedi. Qorıqlar — tábiyattıń jaratılısın hám onıń barlıq túrlerin ózgerissiz sol qálpinde saqlaytuǵın aymaq bólegi bolıp tabıladı.	sonˈdɑj ˈɑq byˈɡin , χɑlɯqɑrɑˈlɯq qorɯqˈlɑr qorɯχɑˈnɑ kyˈni . ˈʒɯl sɑˈjɯn ˈbul ˈkyn χɑlɯqɑrɑˈlɯq tæbijɑtˈtɯ qorˈʁɑw keŋesiˈniŋ bɑslɑmɑˈsɯ meˈnen belɡileneˈdi . qorɯqˈlɑr tæbijɑtˈtɯŋ ʒɑrɑtɯlɯˈsɯn ˈhæm oˈnɯŋ bɑrˈlɯq tyrleˈrin øzɡerisˈsiz ˈsol qælpinˈde sɑqlɑjtuˈʁɯn ɑjˈmɑq bøleˈɡi boˈlɯp tɑbɯlɑˈdɯ .
Leningrad Sankt-Peterburg qalasınıń eski atı. Leningrad sózi sonday-aq, tómendegilerdi de ańlatadı:	leninɡˈrɑd ˈsɑnkt peterˈburɡ qɑlɑsɯˈnɯŋ esˈki ɑˈtɯ . leninɡˈrɑd søˈzi sonˈdɑj ˈɑq , tømendeɡilerˈdi ˈde ɑŋlɑtɑˈdɯ ,
Lenin sıylıǵı (1970-jılı, qaytıs bolǵanınan keyin) - sońǵı jıllardaǵı poeziyası ushın	leˈnin sɯjlɯˈʁɯ ˈmɯŋ toˈʁɯz ˈʒyz ʒetˈpis ʒɯˈlɯ , qɑjˈtɯs bolʁɑnɯˈnɑn keˈjin soŋˈʁɯ ʒɯllɑrdɑˈʁɯ poezijɑˈsɯ uˈʃɯn
Apqan — Qirǵizistan ishinde jaylasqan Ózbekstan Respublikasınıń Ferǵana wálayatı na qaraslı awıl. Soq rayonı quramına kiredi .	ɑpˈqɑn qirʁizisˈtɑn iʃinˈde ʒɑjlɑsˈqɑn øzbeksˈtɑn respublikɑsɯˈnɯŋ ferʁɑˈnɑ wælɑjɑˈtɯ ˈnɑ qɑrɑsˈlɯ ɑˈwɯl . ˈsoq rɑjoˈnɯ qurɑmɯˈnɑ kireˈdi .
APJ aymaǵınan shıqqan tanımalı insanlar:	ˈɑpʒ ɑjmɑʁɯˈnɑn ʃɯqˈqɑn tɑnɯmɑˈlɯ insɑnˈlɑr ,
Axmed-Zaki 1865-jıl noyabrde Tetyush rayonındaǵı Shatbash awılında yaki Qazan wálayatı, Spasskiy rayonındaǵı Noviy Baliqul awılında Chatbash molla Axtyam Bikchantaev shańaraǵında tuwılǵan. Axmed-Zaki Qazandaǵı ataqlı Apanayevskiy medresesinde joqarı maǵlıwmatlı shayxlardan bilim alǵan.	ɑχˈmed zɑˈki ˈmɯŋ seˈɡiz ˈʒyz ɑlˈpɯs ˈbes ˈʒɯl nojɑbrˈde tetˈjuʃ rɑjonɯndɑˈʁɯ ʃɑtˈbɑʃ ɑwɯlɯnˈdɑ jɑˈki qɑˈzɑn wælɑjɑˈtɯ , spɑssˈkij rɑjonɯndɑˈʁɯ noˈvij bɑliˈqul ɑwɯlɯnˈdɑ t͡ʃɑtˈbɑʃ molˈlɑ ɑχtˈjɑm bikt͡ʃɑntɑˈev ʃɑŋɑrɑʁɯnˈdɑ tuwɯlˈʁɑn . ɑχˈmed zɑˈki qɑzɑndɑˈʁɯ ɑtɑqˈlɯ ɑpɑnɑjevsˈkij medresesinˈde ʒoqɑˈrɯ mɑʁlɯwmɑtˈlɯ ʃɑjχlɑrˈdɑn biˈlim ɑlˈʁɑn .
Pokistonlik qiz samolyot bilan harbiy gospitalga yetkazildi )	pokistonˈlik ˈqiz sɑmolˈjot biˈlɑn hɑrˈbij ɡospitɑlˈɡɑ jetkɑzilˈdi
Vistupleniya Nodirbeka Yakubboeva na Vsemirnix yunosheskix olimpiadax	vistupleniˈjɑ nodirbeˈkɑ jɑkubboeˈvɑ ˈnɑ vsemirˈniχ junoʃesˈkiχ olimpiɑˈdɑχ
Cifrlı teńsizlik, informaciyalıq-kommunikaciyalıq texnologiyalarǵa erisiw yamasa paydalanıwdaǵı ekonomikalıq hám sociallıq teńsizliktiń bir túri	kifrˈlɯ teŋsizˈlik , informɑkijɑˈlɯq kommunikɑkijɑˈlɯq teχnoloɡijɑlɑrˈʁɑ eriˈsiw jɑmɑˈsɑ pɑjdɑlɑnɯwdɑˈʁɯ ekonomikɑˈlɯq ˈhæm sokiɑlˈlɯq teŋsizlikˈtiŋ ˈbir tyˈri
Bas. Bólimleri: bas, qulaq, shaytantiyek (bas tiyek).	ˈbɑs . bølimleˈri , ˈbɑs , quˈlɑq , ʃɑjtɑntiˈjek ˈbɑs tiˈjek .
Nawayı kán-metallurgiya kombinatınıń eń iri bólimi Zarafshan qalasında jaylasqan. Bul Oraylıq kán basqarması bolıp, 29 tiykarǵı hám qosımsha bólimlerdi óz ishine aladı. Oraylıq kán basqarmasınıń tiykarǵı wazıypası qımbat bahalı metallar (altın, gúmis) kánlerin ózlestiriw hám olardı qazıp alıwdan ibarat.	nɑwɑˈjɯ ˈkæn metɑllurɡiˈjɑ kombinɑtɯˈnɯŋ ˈeŋ iˈri bøliˈmi zɑrɑfˈʃɑn qɑlɑsɯnˈdɑ ʒɑjlɑsˈqɑn . ˈbul orɑjˈlɯq ˈkæn bɑsqɑrmɑˈsɯ boˈlɯp , ʒiɡirˈmɑ toˈʁɯz tijkɑrˈʁɯ ˈhæm qosɯmˈʃɑ bølimlerˈdi ˈøz iʃiˈne ɑlɑˈdɯ . orɑjˈlɯq ˈkæn bɑsqɑrmɑsɯˈnɯŋ tijkɑrˈʁɯ wɑzɯjpɑˈsɯ qɯmˈbɑt bɑhɑˈlɯ metɑlˈlɑr ɑlˈtɯn , ɡyˈmis kænleˈrin øzlestiˈriw ˈhæm olɑrˈdɯ qɑˈzɯp ɑlɯwˈdɑn ibɑˈrɑt .
Dart — C stilindegi sintaksisi bar obyektke baǵdarlanǵan, klasqa tiykarlanǵan, shıǵındı jıynaytuǵın til . Ol mashinalı kodqa, JavaScript yamasa WebAssembly-di kompilyaciya ete aladı. Ol interfeyslerdi, miksinlerdi, abstrakt klaslardı, anıqlanǵan generiklerdi hám tipli juwmaqlardı qollaydı .	ˈdɑrt k stilindeˈɡi sintɑksiˈsi ˈbɑr objektˈke bɑʁdɑrlɑnˈʁɑn , klɑsˈqɑ tijkɑrlɑnˈʁɑn , ʃɯʁɯnˈdɯ ʒɯjnɑjtuˈʁɯn ˈtil . ˈol mɑʃinɑˈlɯ kodˈqɑ , ʒɑvɑskˈript jɑmɑˈsɑ webɑsˈsemblj ˈdi kompiljɑkiˈjɑ eˈte ɑlɑˈdɯ . ˈol interfejslerˈdi , miksinlerˈdi , ɑbstˈrɑkt klɑslɑrˈdɯ , ɑnɯqlɑnˈʁɑn ɡeneriklerˈdi ˈhæm tipˈli ʒuwmɑqlɑrˈdɯ qollɑjˈdɯ .
Ol «Qaraqalpaqfilm» kinostudiyası tárepinen túsirilgen «Tank», «Qaysar qız», «Magiya» filmlerinde hám televidenie arqalı berilgen «Jigittiń ıǵbalı bolsın», «Ómir sabaqları», «Órmeshek», «Bir dostıń bolsın», «Turmıs mektebi» filmlerinde unamlı obrazlardı jaratıwǵa erisken.	ˈol qɑrɑqɑlpɑqˈfilm kinostudijɑˈsɯ tærepiˈnen tysirilˈɡen ˈtɑnk , qɑjˈsɑr ˈqɯz , mɑɡiˈjɑ filmlerinˈde ˈhæm televideniˈe ɑrqɑˈlɯ berilˈɡen ʒiɡitˈtiŋ ɯʁbɑˈlɯ bolˈsɯn , øˈmir sɑbɑqlɑˈrɯ , ørmeˈʃek , ˈbir dosˈtɯŋ bolˈsɯn , turˈmɯs mekteˈbi filmlerinˈde unɑmˈlɯ obrɑzlɑrˈdɯ ʒɑrɑtɯwˈʁɑ erisˈken .
2004-2005 jılları − «Marketing hám analitikalıq izertlew orayı» AJ basqarma baslıǵınıń orınbasarı, basqarma aǵzası.	eˈki ˈmɯŋ ˈtørt , eˈki ˈmɯŋ ˈbes ʒɯllɑˈrɯ mɑrkeˈtinɡ ˈhæm ɑnɑlitikɑˈlɯq izertˈlew orɑˈjɯ ˈɑʒ bɑsqɑrˈmɑ bɑslɯʁɯˈnɯŋ orɯnbɑsɑˈrɯ , bɑsqɑrˈmɑ ɑʁzɑˈsɯ .
Emel hám Duyar 1977-1990-jıllar aralıǵinda CEP galereyasında kórgezbeler kórsetken.	eˈmel ˈhæm duˈjɑr ˈmɯŋ toˈʁɯz ˈʒyz ʒetˈpis ʒeˈti , ˈmɯŋ toˈʁɯz ˈʒyz toqˈsɑn ʒɯlˈlɑr ɑrɑlɯʁinˈdɑ ˈkep ɡɑlerejɑsɯnˈdɑ kørɡezbeˈler kørsetˈken .
Kamalov, Nuriddin Mirzayevich (1986—1995) docent.	kɑmɑˈlov , nuridˈdin mirzɑjeˈvit͡ʃ ˈmɯŋ toˈʁɯz ˈʒyz sekˈsen ɑlˈtɯ , ˈmɯŋ toˈʁɯz ˈʒyz toqˈsɑn ˈbes doˈkent .
2015 — Abatbay Dáwletov, 73, qaraqalpaq tilshi alımı.	eˈki ˈmɯŋ ˈon ˈbes ɑbɑtˈbɑj dæwleˈtov , ʒetˈpis ˈyʃ , qɑrɑqɑlˈpɑq tilˈʃi ɑlɯˈmɯ .
Rustam Xalfin (1949-jıl 14-oktyabr, Tashkent — 2008-jıl 31-dekabr, Almatı) — áhmiyetli kórkem óner baǵdarındaǵı qazaqstanlı xudojnik, súwretshi hám arxitektor. Kórkem súwret, fotosúwret texnikasında islegen.	rusˈtɑm χɑlˈfin ˈmɯŋ toˈʁɯz ˈʒyz ˈqɯrq toˈʁɯz ˈʒɯl ˈon ˈtørt oktˈjɑbr , tɑʃˈkent eˈki ˈmɯŋ seˈɡiz ˈʒɯl oˈtɯz ˈbir deˈkɑbr , ɑlmɑˈtɯ æhmijetˈli kørˈkem øˈner bɑʁdɑrɯndɑˈʁɯ qɑzɑqstɑnˈlɯ χudoʒˈnik , sywretˈʃi ˈhæm ɑrχitekˈtor . kørˈkem sywˈret , fotosywˈret teχnikɑsɯnˈdɑ isleˈɡen .
