لم يبدُ لي ذلك منطقياً؛ بالتأكيد لم يكن عادلاً.	lˈam jˈabd lˈiː dˈalik mantˤiʔˈijːaː , bitːaʔkˈiːd lˈam jˈakun ʕaːdˈilaː .
قصص النّجاح هذه قلّلت من مخاوف التّغيير، بينما خلقت اتجاهاتٍ إيجابيةٍ نحو التّغيير في المستقبل.	ʔˈisˤasˤ anːʒˈaːħ hˈadih ʔulːˈilat mˈin maxˈaːwif atːaɣjˈiːr , beːnˈamaː xulˈiʔat itːiʒaːhˈaːt ʔiːʒaːbˈijːa nˈaħw atːaɣjˈiːr fˈiː almustˈaʔbal .
وأثارت مخاوف نقص وسائل التنقل إلى احتمالية توجب إقامة المباراة خلف أبواب مغلقة، دون تواجد أنصار الفريق.	waʔatˈaːrat maxˈaːwif nˈaʔasˤ wasˈaːʔil atːanˈaʔːul ʔlˈaː iħtimaːlˈijːa tˈuːʒib ʔʔˈaːma almubˈaːraː xˈalf ʔabwˈaːb muɣlˈaʔa , dˈuːn tawˈaːʒud ʔansˤˈaːr alfarˈiːʔ .
لن تحتاج إلى استخدام شركة محمول حيث تقيم أو تسافر لأنه يتم توجيه المكالمات من خلال الإنترنت.	lˈan taħtˈaːʒ ʔlˈaː istixdˈaːm ʃˈarika maħmˈuːl ħˈeːt tuʔˈiːm ʔˈoː tusˈaːfir liʔˈanːah jatˈimː toːʒˈiːh almukaːlamˈaːt mˈin xilˈaːl alʔintˈarnit .
درجة متروبلس أكثر راحة وأقل ازدحامًا لكنها أغلى رغم أنها تظل أرخص من تذاكر المترو العادية في أوروبا.	dˈaraʒa mutrˈuːbils ʔˈaktar rˈaːħa waʔaʔˈalː izdiħˈaːmaː lakinːˈahaː ʔˈaɣlaː rˈaɣm ʔanːˈahaː tadˤˈalː ʔˈarxasˤ mˈin tadˈaːkar almatrˈuwː alʕˈaːdija fˈiː ʔuːrˈuːbːaː .
يعني الاستناد إلى هذه الحفرية أن الانشقاق وقع مبكرًا للغاية عما كان متوقعًا استنادًا إلى الدليل الجزيئي.	jˈaʕniː alaːstinˈaːd ʔlˈaː hˈadih alħafrˈijːa ʔˈan alaːnʃiʔˈaːʔ wˈaʔaʕ mubakːˈiraː lilɣˈaːja ʕˈamːaː kˈaːn mutawaʔːˈaʕaː istinˈaːdaː ʔlˈaː adːalˈiːl alʒuzeːʔˈijː .
كما تبنى غير المؤمنين في البلدان المسيحية وغير المسيحيين في مختلف أنحاء العالم العديد من التقاليد المحيطة بالأعياد.	kˈamaː tˈubnaː ɣˈeːr almuʔminˈiːn fˈiː albuldˈaːn ˈalimsiħjːa waɣˈeːr almasiːħijːˈiːn fˈiː muxtˈalaf ʔanħˈaːʔ alʕˈaːlam alʕadˈiːd mˈin atːaʔaːlˈiːd almuħˈiːtˤa bilʔaʕjˈaːd .
يمكن أن تؤدي الأيام الطويلة جدًا في الصيف إلى مشاكل في الحصول على قسط كافٍ من النوم والمشكلات الصحية المرتبطة.	jˈumkin ʔˈan tuʔˈadːiː alʔeːˈaːm atˤːawˈiːla ʒˈidːaː fˈiː asˤːˈeːf ʔlˈaː maʃˈaːkil fˈiː alħusˤˈuːl ʕˈalaː ʔˈistˤ kˈaːf mˈin anːˈoːm walmuʃkilˈaːt asˤːiħːˈijːa almurtˈabitˤa .
تبذل الكازينوهات عادة الكثير من الجهود لزيادة الوقت والمال الذي ينفقه الضيوف. عادة ما تكون النوافذ والساعات غائبة، وقد يكون من الصعب العثور على مخارج.	tˈabdul alkaːziːnuːhˈaːt ʕˈaːda alkatˈiːr mˈin alʒuhˈuːd lizijˈaːda alwˈaʔt walmˈaːl alːˈadiː junfˈiʔuh adˤːujˈuːf . ʕˈaːda mˈaː takˈuːn anːawˈaːfid wasːaːʕˈaːt ɣˈaːʔiba , wˈaʔad jakˈuːn mˈin asˤːˈaʕb alʕutˈuːr ʕˈalaː maxˈaːriʒ .
بيد أن تشارلز حضر الجامعة في كلية ترينتي في كامبردج حيث درس الأنتروبولوجيا و علم الآثار والتاريخ لاحقاً. حيث حصل على 2:2 (المرتبة الدنيا الثانية).	bˈijad ʔˈan taʃaːrˈuluz ħˈadˤar alʒˈaːmiʕa fˈiː kulːˈijːa tirˈiːntiː fˈiː kaːmbˈardaʒ ħˈeːt dˈars alʔanturuːbuːlˈuːʒjaː w ʕˈalim alʔaːtˈaːr watːaːrˈiːx laːħˈiʔaː . ħˈeːt ħˈasˤal ʕˈalaː iθnaːn , iθnaːn almartˈaba adːˈunjaː atːˈaːnija .
مع أنه، نظرياً، يمكن إقامتهم سنوياً (طالما كانوا في بلدان مختلفة)، إلا أن هذا لا يحدث عملياً.	mˈaʕ ʔˈanːah , nadˤarˈijːaː , jˈumkin ʔʔaːmatˈihim sanawˈijːaː tˤaːlˈamaː kˈaːnuː fˈiː buldˈaːn muxtˈalifa , ʔlːˈaː ʔˈan hˈadaː lˈaː juħˈadːit ʕamalˈijːaː .
تتطلب تأشيرات الطلاب عموماً متطلبات وإجراءات تقديم مختلفة عن تأشيرات السياحة أو العمل العادية.	tatatˤˈalːab taʔʃiːrˈaːt atˤːulːˈaːb ʕumˈuːmaː mutatˤalːabˈaːt waʔiʒraːʔˈaːt taʔdˈiːm muxtˈalifa ʕˈan taʔʃiːrˈaːt asːijˈaːħa ʔˈoː alʕˈamal alʕˈaːdija .
كان البشر يصنعون العدسات ويستخدمونها للتكبير منذ آلاف وآلاف السنين.	kˈaːn albˈaʃar jasˤnaʕˈuːn alʕadasˈaːt wajastaxdimuːnˈahaː litːakbˈiːr mˈund ʔaːlˈaːf waʔaːlˈaːf asːinˈiːn .
يحتوي الجزء الشمالي أو سلسلة سانتينيل على أعلى جبال في القارة القطبية الجنوبية، فينسون ماسيف حيث تبلغ ذروته ما يعادل 4892 متر جبل فينسون.	jaħtˈawiː alʒˈuzʔ aʃːamaːlˈijː ʔˈoː silsˈila saːntiːnˈiːl ʕˈalaː ʔˈaʕlaː ʒibˈaːl fˈiː alʔˈaːrːa alʔutˤbˈijːa alʒanuːbˈijːa , fajansˈoːn maːsˈiːf ħˈeːt tˈabluɣ dirwˈatah mˈaː juʕˈaːdil ʔarbaʕa ʔaːlaːf wa θamaːnumiʔa wa iθnaːn wa tisʕuːn mˈitr ʒˈabal fajansˈuːn .
كان طابعه رقم 1000 "الأعمال العظيمة التي قام بها الملوك السويديون" من قبل ديفيد كلوكر إهرنشترال في سنة 2000، والتي تم إدراجها في موسوعة غينيس للأرقام القياسية العالمية.	kˈaːn tˤaːbˈiʕah rˈaʔm ʔalf alʔaʕmˈaːl alʕadˤˈiːma alːˈatiː ʔˈaːm bˈihaː almulˈuːk asːuweːdijːˈuːn mˈin ʔˈabl diːfˈiːd kulˈuːkr ʔihriniʃitrˈaːl fˈiː sˈana ʔalfaːn , walːˈatiː tˈamː ʔidraːʒˈuhaː fˈiː moːsˈuːʕa ɣiːnˈiːs liliʔraʔˈaːm alʔijaːsˈijːa alʕaːlamˈijːa .
وفي النهاية، تم استبدال العجلات الخشبية بعجلات حديدية. في عام 1767، تم إدخال أول قضبان حديدية كاملة.	wˈafiː anːihˈaːja , tˈamː istibdˈaːl alʕaʒalˈaːt alxaʃabˈijːa biʕaʒalˈaːt ħadiːdˈijːa . fˈiː ʕˈaːm ʔalf wa sabʕumiʔa wa sabʕa wa sittuːn , tˈamː ʔidxˈaːl ʔˈoːal ʔudˤbˈaːn ħadiːdˈijːa kˈaːmila .
من بين 1,400 شخص شملهم استطلاع ما قبل الانتخابات الفيدرالية لعام 2010، زادت نسبة من يعارضون أن تصبح أستراليا جمهورية بمقدار 8 في المائة منذ عام 2008.	mˈin bˈeːn ʔalf wa ʔarbaʕumiʔa ʃˈaxsˤ ʃamlˈuhum istitˤlˈaːʕ mˈaː ʔˈabl alaːntixaːbˈaːt alfiːdraːlˈijːa liʕˈaːm ʔalfaːn wa ʕaʃara , zˈaːdat nˈisba mˈin juʕaːridˤˈuːn ʔˈan tˈusˤbiħ ʔusitrˈaːljaː ʒumhuːrˈijːa bimiʔdˈaːr θamaːnija fˈiː almˈiʔa mˈund ʕˈaːm ʔalfaːn wa θamaːnija .
على الرغم من أن كاتب هذا الجزء من النص غير معروف تحديداً، ولكننا نعلم أن المخطوطة الكبيرة (ذات مقاسات 29¾ بوصة × 24½ بوصة) كانت مخزّنة مطوية في بداية وجودها.	ʕˈalaː arːˈaɣm mˈin ʔˈan kˈaːtab hˈadaː alʒˈuzʔ mˈin anːˈasˤː ɣˈeːr maʕrˈuːf taħdˈiːdaː , walakinːˈanaː nˈaʕlam ʔˈan almaxtˤˈuːtˤa alkabˈiːra dˈaːt muʔaːsˈaːt tisʕa wa ʕiʃruːn θalaːθa ʕˈalaː ʔarbaʕa bˈuːsˤːa fj ʔarbaʕa wa ʕiʃruːn waːħid ʕˈalaː iθnaːn bˈuːsˤːa kˈaːnat muxzˈana matˤwˈijːa fˈiː bidˈaːja wuʒuːdˈihaː .
وقد أخمدت فرق الإنقاذ النار في نهاية المطاف بحلول الساعة 11:35 مساء.	wˈaʔad ʔaxmˈadat fˈarʔ alʔinʔˈaːd anːˈaːr fˈiː nihˈaːja almatˤˈaːf biħulˈuːl asːˈaːʕa asːˈaːʕa ʔaħada ʕaʃar wˈa xamsa wa θalaːθuːn daʔˈiːʔa masˈaːʔ .
بين الساعة 10:00 إلى 11:00 مساءً بتوقيت الجبل، أُضرِمَ حريقٌ من قبل النزلاء في الفناء.	bˈeːn asːˈaːʕa asːˈaːʕa ʕaʃara ʔlˈaː asːˈaːʕa ʔaħada ʕaʃar masˈaːʔ bitoːʔˈiːt alʒˈabal , ʔˈadˤram ħarˈiːʔ mˈin ʔˈabl anːuzalˈaːʔ fˈiː alfinˈaːʔ .
تغادر الحافلات المحطة الداخلية بين المناطق (عبر النهر) في خلال اليوم على الرغم من أن معظمها وخاصة المتجهة منها إلى الشرق وجاكار/بومثانج تغادر بين 06:30 و 07:30.	tuɣˈaːdir alħaːfilˈaːt almaħˈatˤːa adːaːxilˈijːa bˈeːn almanˈaːtˤiʔ ʕˈabːar anːˈahr fˈiː xilˈaːl aljˈoːm ʕˈalaː arːˈaɣm mˈin ʔˈan muʕdˤamˈuhaː waxˈaːsˤːa almutːˈaʒiha mˈinhaː ʔlˈaː aʃːˈarʔ waʒaːkˈaːr buːmtˈaːniʒ tuɣˈaːdir bˈeːn asːˈaːʕa sitta wˈa θalaːθuːn daʔˈiːʔa w asːˈaːʕa sabʕa wˈa θalaːθuːn daʔˈiːʔa .
تركيا الأوروبية (تراقيا الشرقية أو روميليا في شبه جزيرة البلقان) فتضم 3% من البلاد.	turkˈijaː alʔuːruːbːˈijːa taraːʔˈijaː aʃːarʔˈijːa ʔˈoː ruːmˈiːljaː fˈiː ʃˈibh ʒazˈiːra albalʔˈaːn fatudˤˈamː θalaːθa fˈiː almˈiʔa mˈin albilˈaːd .
حل نيوت جينجريتش، رئيس مجلس النواب الأمريكي السابق، في المرتبة الثانية بنسبة 32%.	ħˈalː nujˈuːt ʒiːnʒarˈiːtʃ , raʔˈiːs mˈaʒlis anːuwːˈaːb alʔamriːkˈijː asːˈaːbiʔ , fˈiː almartˈaba atːˈaːnija binˈisba iθnaːn wa θalaːθuːn fˈiː almˈiʔa .
حصد نادال نقاط على الشبكة بنسبة 88% في المباراة، ليفوز بـ76 نقطة في الإرسال الأول.	ħˈasˤad naːdˈaːl niʔˈaːtˤ ʕˈalaː aʃːˈabaka binˈisba θamaːnija wa θamaːnuːn fˈiː almˈiʔa fˈiː almubˈaːraː , lijafˈuːz bˈi sitta wa sabʕuːn nˈuʔtˤa fˈiː alʔirsˈaːl alʔˈoːal .
فعلى سبيل المثال، يقترح البعض "التعلم" و"التنشئة الاجتماعية" كدوافع مهمّة لاستخدام شبكة الإنترنت (جيمس وغيره، 1995).	faʕˈalaː sabˈiːl almitˈaːl , jaʔtˈariħ albˈaʕdˤ atːaʕˈalːum w atːanʃˈiʔa alaːʒtimaːʕˈijːa kadawˈaːfiʕ muhˈimːa listixdˈaːm ʃˈabaka alʔintˈarnit ʒˈiːms waɣˈeːrih , ʔalf wa tisʕumiʔa wa xamsa wa tisʕuːn .
خلال شغله لمنصب مستشار في الأمن القومي، ساعد كارتر دبلوماسيًا في إدارة شؤون العالم مثل اتفاقيات كامب ديفيد عام 1978؛ وفكرة تطبيع العلاقات الأمريكية والصينية في أواخر السبعينيات؛ والثورة الإيرانية التي أدت إلى كارثة الرهائن الإيرانية عام 1979؛ والاحتلال السوفييتي لأفغانستان عام 1979.	xilˈaːl ʃaɣˈalah limˈansˤib musitʃˈaːr fˈiː alʔˈamn alʔoːmˈijː , sˈaːʕid kˈaːrtur dibluːmˈaːsjaː fˈiː ʔidˈaːra ʃuʔˈuːn alʕˈaːlam mˈitl itːfaːʔjːˈaːt kˈaːmib diːfˈiːd ʕˈaːm ʔalf wa tisʕumiʔa wa θamaːnija wa sabʕuːn , wafˈikra tatˤbˈiːʕ alʕalaːʔˈaːt alʔamriːkˈijːa wasˤːiːnˈijːa fˈiː ʔawˈaːxir asːabʕiːnijːˈaːt , watːˈoːra alʔiːraːnˈijːa alːˈatiː ʔˈadːat ʔlˈaː kˈaːrita arːahˈaːʔin alʔiːraːnˈijːa ʕˈaːm ʔalf wa tisʕumiʔa wa tisʕa wa sabʕuːn , walaːħtilˈaːl asːuːfijiːtˈijː liʔafɣaːnistˈaːn ʕˈaːm ʔalf wa tisʕumiʔa wa tisʕa wa sabʕuːn .
قام البرتغاليون بتدميرها وإعادة بنائها تحت اسم "كازا برانكا"، فقط ليهجروها بعد زلزال 1755.	ʔˈaːm alburtuɣaːlijːˈuːn bitadmiːrˈihaː waʔiʕˈaːda binaːʔˈihaː tˈaħt ˈism kˈaːzaː baraːnˈikaː , fˈaʔatˤ lijahʒurˈuːhaː bˈaʕd zilzˈaːl ʔalf wa sabʕumiʔa wa xamsa wa xamsuːn .
مرعوبين، أُجبر الملك لويس السادس عشر والملكة ماري أنطوانيت وطفلاهما الصغيران (ماري تيريزذات الـ11 عاماً ولويس تشارلز ذو الأربع أعوام) وأخت الملك، السيدة إليزابيث، في السادس من تشرين الأول عام 1789، على الرجوع من فرساي إلى باريس بواسطة حشد من غوغاء نسوة السوق.	marʕuːbˈiːn , ʔˈuʒbir almˈilk lwˈiːs asːˈaːdis ʕˈaʃar walmˈalaka mˈaːriː ʔuntˤuwaːnˈiːt watˤiflaːhˈumaː asˤːaɣiːrˈaːn mˈaːriː tiːriːzdˈaːt ˈal ʔaħada ʕaʃar ʕˈaːmaː waluwˈiːs taʃˈaːrluz dˈuː alʔˈarbaʕ ʔaʕwˈaːm waʔˈuxt almˈilk , asːeːˈida ʔiliːzaːbˈiːt , fˈiː asːˈaːdis mˈin tiʃrˈiːn alʔˈoːal ʕˈaːm ʔalf wa sabʕumiʔa wa tisʕa wa θamaːnuːn , ʕˈalaː arːuʒˈuːʕ mˈin farsˈaːj ʔlˈaː baːrˈiːs biwˈaːsitˤa ħˈaʃd mˈin ɣoːɣˈaːʔ nˈiswa asːˈuːʔ .
في الولايات المتحدة الأمريكية هناك ما يقارب 400,000 حالة معروفة من مرض التصلب المتعدد (ت م) مما يجعله أكثر الأمراض العصبية انتشاراً بين الشباب والبالغين ذوي الأعمار المتوسطة.	fˈiː alwilaːjˈaːt almutːˈaħida alʔamriːkˈijːa hunˈaːk mˈaː juʔˈaːrib ʔarbaʕumiʔa ʔalf ħˈaːla maʕrˈuːfa mˈin mˈaradˤ atːasˤˈalːub almutaʕˈadːid t m mˈimːaː jaʒʕˈaluh ʔˈaktar alʔamrˈaːdˤ alʕasˤabˈijːa intiʃˈaːraː bˈeːn aʃːabˈaːb walbaːliɣˈiːn dˈawiː alʔaʕmˈaːr almutawasːˈitˤa .
تضم اليابان ما يقرب من 7,000 جزيرة (أكبرها جزيرة هونشو)، ما يجعل اليابان سابع أكبر جزيرة في العالم!	tudˤˈamː aljaːbˈaːn mˈaː jˈaʔrub mˈin sabʕa ʔaːlaːf ʒazˈiːra ʔakbarˈihaː ʒazˈiːra hˈuːnʃuː , mˈaː jˈuʒʕal aljaːbˈaːn sˈaːbiʕ ʔˈakbar ʒazˈiːra fˈiː alʕˈaːlam !
لم يصدر تحذير عن تسونامي، ووفقا لوكالة جاكرتا للجيوفيزياء، لن يصدر تحذير عن تسونامي لأن الزلزال لم يستوف متطلبات 6.5 درجة.	lˈam jˈasˤdur taħdˈiːr ʕˈan tusuːnaːmˈijː , wawˈafʔaː liwakˈaːla ʒaːkirˈataː lilʒujuːfiːzjˈaːʔ , lˈan jˈasˤdur taħdˈiːr ʕˈan tusuːnaːmˈijː liʔˈanː azːilzˈaːl lˈam jastˈoːf mutatˤalːabˈaːt sitta fˈaːsˤila xamsa dˈaraʒa .
يهاجر حوالي 1.5 مليون من الحيوانات العاشبة في شهر تشرين الأول من كل عام إلى السهول الجنوبية، عابرون نهر مارا، من التلال الشمالية من أجل الأمطار.	juhˈaːʒir ħawˈaːleː waːħid fˈaːsˤila xamsa miljˈuːn mˈin alħajawaːnˈaːt alʕˈaːʃiba fˈiː ʃˈahr tiʃrˈiːn alʔˈoːal mˈin kˈulː ʕˈaːm ʔlˈaː asːuhˈuːl alʒanuːbˈijːa , ʕaːbirˈuːn nˈahr mˈaːrːaː , mˈin atːilˈaːl aʃːamaːlˈijːa mˈin ʔˈaʒl alʔamtˤˈaːr .
أُسس الدين في القرن الخامس عشر على يد "جورو ناناك" (1469-1539). خلفه من بعده تسعة "غورو" آخرين.	ʔˈasːas adːˈeːn fˈiː alʔˈarn alxˈaːmis ʕˈaʃar ʕˈalaː jˈad ʒˈuːruː naːnˈaːk ʔalf wa ʔarbaʕumiʔa wa tisʕa wa sittuːn ʔalf wa xamsumiʔa wa tisʕa wa θalaːθuːn . xˈalfah mˈin bˈaʕdah tˈisʕa ɣˈuːruː ʔaːxarˈiːn .
سجّل هدفين ومرر تمريرتين حاسمتين في المباراة التي تغلّب فيها فريق واشنطن على فريق أتلانتا ثراشرز بنتيجة 5-3.	sˈaʒːal hadafˈeːn wamˈarar tamriːratˈeːn ħaːsimatˈeːn fˈiː almubˈaːraː alːˈatiː tˈaɣlib fˈiːhaː farˈiːʔ waːʃˈintˤun ʕˈalaː farˈiːʔ ʔatlˈaːntaː taraːʃˈirz binatˈiːʒa xamsa θalaːθa .
