Wikipedia Afrika-kan wɛrɛw minu tɛ carinen baw ye	wikipedia afrika kã wɛrɛw minu tɛ t͡ʃarinẽ baw je
Nsirasun walima Sìra (Adansonia digitata) ye Afrika yiri do ye.	nsirasũ walima sira adãsonia diɡitata je afrika jiri do je .
Ke bataaxe wa gilli Youba Diakite in wa New York kengani U.S.A. Awa katti Mali renmu nwa nwa xasu kuunyini kuunyinde be xenpa gantayi ken dagifalle kenin bataaxe fanan ya yi ken dangifalle geli xa ganin bataxe kewari xa nin jaabi.	ke bataakse wa ɡilli jouba diakite ĩ wa new jork kẽɡani usa . awa katti mali rẽmu nwa nwa zasu kuuɲini kuuɲĩde be zẽpa ɡãtaji kẽ daɡifalle kenĩ bataakse fanã ja ji kẽ dãɡifalle ɡeli za ɡanĩ batakse kewari za nĩ d͡ʒaabi .
Ibu dugu sigilen be kulu san fè. A ka jan Sangha la kilometre duru (5km).	ibu duɡu siɡilẽ be kulu sã fe . a ka d͡ʒã sãɡha la kilometre duru kilomɛtɛrɛ duuru .
Misi (Bos taurus) bɛ bagan. Misimusow be nɔnɔ adi.	misi bos taurus bɛ baɡã . misimusow be nɔnɔ adi .
Le Médecin de Gafire (1986) Gafire dɔkɔtɔrɔ	le medet͡ʃĩ de ɡafire ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ ni biseɡĩ ni wɔɔrɔ ɡafire dɔkɔtɔrɔ
Sɛtanburu san 2005, a ni Tounani Diabaté ye albɔmu bɔ min tɔgɔ "Kalo dusu kɔnɔ" o sabula u ye Grammy Award filanan sɔrɔ. A ka albɔmu "Kungo" bɔra a fatulen kɔ san 2006 min kɛra Europe san 2006 Albɔmu ye (World Music Chart Europe). Kɔsan in na, Ali Faka toura BBC Radio fɛ san 2007 jansa la.	sɛtãburu sã ba fila ni duuru , a ni tounani diabate je albɔmu bɔ mĩ tɔɡɔ kalo dusu kɔnɔ o sabula u je ɡrãmj award filanã sɔrɔ . a ka albɔmu kũɡo bɔra a fatulẽ kɔ sã ba fila ni wɔɔrɔ mĩ kɛra europe sã ba fila ni wɔɔrɔ albɔmu je world musit͡ʃ t͡ʃhart europe . kɔsã ĩ na , ali faka toura bbt͡ʃ radio fɛ sã ba fila ni wolõwula d͡ʒãsa la .
Kɔnɔwari (Kodiwari), madɔnnen Kɔnɔwari ka Fasojamana (Franse: République de Côte d'Ivoire) bɛ jamana Afiriki kɔnɔ. A ye faaba Yamusukuro.	kɔnɔwari kodiwari , madɔ̃nẽ kɔnɔwari ka fasod͡ʒamana frãse , republikue de t͡ʃote divoire bɛ d͡ʒamana afiriki kɔnɔ . a je faaba jamusukuro .
Silamɛya, n’a bamanankanna ka bɔ arabukan na, o kɔrɔ ye majigilenya ye — o kɔrɔ ye ko ɲɛnamaya min bɛ bɛn diɲɛ ma, ɲɛnamaya hɛrɛ la ni Sebaayabɛɛtigi ye, ka kolo a sago ye. Daɲɛ min bɛ Arabukan na, o ju ye slm ye — daɲɛ minnu ju ye kelen ye:	silamɛja , na bamanãkãna ka bɔ arabukã na , o kɔrɔ je mad͡ʒiɡileɲa je o kɔrɔ je ko ɲɛnamaja mĩ bɛ bɛ̃ diɲɛ ma , ɲɛnamaja hɛrɛ la ni sebaajabɛɛtiɡi je , ka kolo a saɡo je . daɲɛ mĩ bɛ arabukã na , o d͡ʒu je slm je daɲɛ mĩnu d͡ʒu je kelẽ je ,
Kùnnàfònìdìcogoyaw (tubabukan: Communication)Kadi	kũnafonidit͡ʃoɡojaw tubabukã , t͡ʃõmunit͡ʃatiõ kadi
Hasselblad Center (solo), Göteborg Museum of Art, Gothembourg, Suède, 2003-2004	hasselblad t͡ʃẽter solo , ɡoteborɡ museũ of art , ɡothẽbourɡ , suede , ba fila ni saba fo ba fila ni naani
Fokan na, a bokolo bora Kulukoro marala Mali kono, kabini tuma jan.	fokã na , a bokolo bora kulukoro marala mali kono , kabini tuma d͡ʒã .
awoo, n'a y'i dia i be a fo ko Maninkakan, Mandenkakan, Bamanankan, Jurakan wala julakan, nin bee ye fen kelen de ye.	awoo , na ji dia i be a fo ko manĩkakã , mãdẽkakã , bamanãkã , d͡ʒurakã wala d͡ʒulakã , nĩ bee je fẽ kelẽ de je .
Bagani tulu bɛ wele ko nimataji (biodiesel). Afrika kɔnɔ, bagani sɛnɛ beka sansɔrɔ kosobɛ Mali la. Bagani foro tari kelen be se ka kg 1500 walima 2000 dii min tulu bɔlen bɛ litri 540 kase 680 tari kelen na. Bagani bese ka celasɛnɛ ni warijɛ sɛnɛfenw ye inafo Kafe, sukaro, jiridenw ani nakofenkɛnɛ.	baɡani tulu bɛ wele ko nimatad͡ʒi biodiesel . afrika kɔnɔ , baɡani sɛnɛ beka sãsɔrɔ kosobɛ mali la . baɡani foro tari kelẽ be se ka kɡ ba kelẽ ni kɛmɛ duuru walima ba fila dii mĩ tulu bɔlẽ bɛ litri kɛmɛ duuru ni binaani kase kɛmɛ wɔɔrɔ ni biseɡĩ tari kelẽ na . baɡani bese ka t͡ʃelasɛnɛ ni warid͡ʒɛ sɛnɛfẽw je inafo kafe , sukaro , d͡ʒiridẽw ani nakofẽkɛnɛ .
Isa Jalo ye cikɛla ye kabɔ Kɔdugu Kati mara la. Mɔgɔ famuyalen don poyi sɛbɛn na Bamanankan na.	isa d͡ʒalo je t͡ʃikɛla je kabɔ kɔduɡu kati mara la . mɔɡɔ famujalẽ dõ poji sɛbɛ̃ na bamanãkã na .
Ka kɔn marakɛ wati ɲɛ, Gana tun sigilen mansamara caman fɛ, Ga-adangbe b’o la kɔrɔnfɛ dankan kan, gerekan Mansamara ani fanga fitini wɛrɛw jidala ani gerekan. Jago ni Eropa yiriwara donɲwana kɔfɛ ni Portigisiw ye tandurunan kɛmɛda kɔnɔ. O kɔ Britishiw y’uka mara sigi Sanu Dankan na san 1874.	ka kɔ̃ marakɛ wati ɲɛ , ɡana tũ siɡilẽ mãsamara t͡ʃamã fɛ , ɡa adãɡbe bo la kɔrɔ̃fɛ dãkã kã , ɡerekã mãsamara ani fãɡa fitini wɛrɛw d͡ʒidala ani ɡerekã . d͡ʒaɡo ni eropa jiriwara dõɲwana kɔfɛ ni portiɡisiw je tãdurunã kɛmɛda kɔnɔ . o kɔ britiʃiw juka mara siɡi sanu dãkã na sã ba kelẽ ni kɛmɛ seɡĩ ni biwolõwula ni naani .
Mali sigi lɛ dɔ a farafina kilɛbiyanfa tiamatiɛ la. Wa baw fila dɛ bɛ a tigɛ senegal baw a ni niger baw.olu bɛ bu suw ta guinee futa dialon kɔnɔ	mali siɡi lɛ dɔ a farafina kilɛbijãfa tiamatiɛ la . wa baw fila dɛ bɛ a tiɡɛ seneɡal baw a ni niɡer baw . olu bɛ bu suw ta ɡuinee futa dialõ kɔnɔ
Samori Ture walima Samori Ibn Lafiya Ture san (1830 - 1900) ye Wasolo Mansamara sintinba ye san 1882. Silameya fanga don min ye tuloblen ka mara kunben Farafina tilebi fɛ fokase a minɛni ma san 1898.	samori ture walima samori ibn lafija ture sã ba kelẽ ni kɛmɛ seɡĩ ni bisaba fo ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ je wasolo mãsamara sĩtĩba je sã ba kelẽ ni kɛmɛ seɡĩ ni biseɡĩ ni fila . silameja fãɡa dõ mĩ je tuloblẽ ka mara kũbẽ farafina tilebi fɛ fokase a minɛni ma sã ba kelẽ ni kɛmɛ seɡĩ ni bikɔnɔ̃tɔ̃ ni seɡĩ .
A bangera Bamako kura, Bamako, Fransi Sudan faaba o wati la. Modibo bɔra silame du kɔnɔ. A y'aka kalan kɛ École normale supérieure kalanso la Dakar. Aka kalan kuncera o kalanso in na kasɔrɔ a ye kalandenw la fɔlɔ ye. San 1936 daminɛ la, a ye mɔgɔkalan baara dadɔ Bamako, Sikaso, Tumutu.	a bãɡera bamako kura , bamako , frãsi sudã faaba o wati la . modibo bɔra silame du kɔnɔ . a jaka kalã kɛ et͡ʃole normale superieure kalãso la dakar . aka kalã kũt͡ʃera o kalãso ĩ na kasɔrɔ a je kalãdẽw la fɔlɔ je . sã ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ ni bisaba ni wɔɔrɔ daminɛ la , a je mɔɡɔkalã baara dadɔ bamako , sikaso , tumutu .
Katun, Modibo Keita tun yelen Kelenyalen Jamanaw (USA) bolo jamajɛyatigi ye, Modibo y’a bɔgɔrɔdɔn u ye k’a b’a fɛ teriyajuru ɲuman ka saman a ni Washinton cɛ. Setanbrukalo, san 1961, a y’a kunda Amerika kan ani Ahmed Sukarno u ni Jamanakuntigi Jɔn F. Kenedi ye ɲwan ye. O kɔfɛ, a ye Kenedi mina ka kɛ a teri ye.	katũ , modibo keita tũ jelẽ keleɲalẽ d͡ʒamanaw usa bolo d͡ʒamad͡ʒɛjatiɡi je , modibo ja bɔɡɔrɔdɔ̃ u je ka ba fɛ terijad͡ʒuru ɲumã ka samã a ni waʃĩtõ t͡ʃɛ . setãbrukalo , sã ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ ni biwɔɔrɔ ni kelẽ , a ja kũda amerika kã ani ahmed sukarno u ni d͡ʒamanakũtiɡi d͡ʒɔ̃ f . kenedi je ɲwã je . o kɔfɛ , a je kenedi mina ka kɛ a teri je .
Demisenya la, Umou Sangare tun bɛ dɔnkilida mukɔsɔn k’a bamuso dɛmɛ k'uka du balo, sabu a fa ban’u la. Kab'a san duru, Umu lakodɔnna n’aka dɔnkili ɲadɔn ye a kɛlen ko jɔyɔrɔ fɔlɔ ta ɲwandan na kalanden misenw cela Bamako. O senfɛ, a ye dɔnkilida mɔgɔ 6000 ɲafe Omisport ntolantankɛnɛ la. A shi san 16, ani Jeliba jenbenfɔ kulu ye yala kɛ ɲwan fɛ.	demiseɲa la , umou sãɡare tũ bɛ dɔ̃kilida mukɔsɔ̃ ka bamuso dɛmɛ kuka du balo , sabu a fa bã u la . kab a sã duru , umu lakodɔ̃na naka dɔ̃kili ɲadɔ̃ je a kɛlẽ ko d͡ʒɔjɔrɔ fɔlɔ ta ɲwãdã na kalãdẽ misẽw t͡ʃela bamako . o sẽfɛ , a je dɔ̃kilida mɔɡɔ ba wɔɔrɔ ɲafe omisport ntolãtãkɛnɛ la . a ʃi sã tã ni wɔɔrɔ , ani d͡ʒeliba d͡ʒẽbẽfɔ kulu je jala kɛ ɲwã fɛ .
Alfa Umar Konare (bangera Februye tle 2, san 1946) Mali jamanakuntigi don shiɲɛ fla (1992 kata 2002), Afrikaden Kelenyako Jɛkulu ɲɛmaa tun don kata san 2003 kabla 2008.	alfa umar konare bãɡera februje tle fila , sã ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ ni binaani ni wɔɔrɔ mali d͡ʒamanakũtiɡi dõ ʃiɲɛ fla ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ ni bikɔnɔ̃tɔ̃ ni fila kata ba fila ni fila , afrikadẽ keleɲako d͡ʒɛkulu ɲɛmaa tũ dõ kata sã ba fila ni saba kabla ba fila ni seɡĩ .
- Présentation du groupe, sur mali-music.com	presẽtatiõ du ɡroupe , sur mali musit͡ʃ . t͡ʃõ
Watikura Frankofoni sintira san 1970. A motto (dantigɛkan): (Kelenya, ɲwandafa, ɲwadɛmɛ) min bɛ talikɛ France motto la. A daminera jɛkulu fitini lakafolen Franse-fɔ janamanw la, kanase bii, a yiriwara ka kɛ dunia tɔnba ye min bolofara bɛ dɛmɛkɛ a jamana tɔndenw ye sekonidonko nasira la, dɔnni, sɔrɔ, kiri, ani ben.	watikura frãkofoni sĩtira sã ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ ni biwolõwula . a motto dãtiɡɛkã , keleɲa , ɲwãdafa , ɲwadɛmɛ mĩ bɛ talikɛ frãt͡ʃe motto la . a daminera d͡ʒɛkulu fitini lakafolẽ frãse fɔ d͡ʒanamãw la , kanase bii , a jiriwara ka kɛ dunia tɔ̃ba je mĩ bolofara bɛ dɛmɛkɛ a d͡ʒamana tɔ̃dẽw je sekonidõko nasira la , dɔ̃ni , sɔrɔ , kiri , ani bẽ .
Sunjata dɔnnen ni Sogolon Jata. Sogolon tara a bamuso tɔgɔ la, min kɔrɔ kigimuso aka jejuguya kɔsɔn, Jata kɔrɔ "waraba". Mandenkaw ka ladala, den bɛ wele k'a ba tɔgɔ d'a kan. Keita ye kabila jamu.	sũd͡ʒata dɔ̃nẽ ni soɡolõ d͡ʒata . soɡolõ tara a bamuso tɔɡɔ la , mĩ kɔrɔ kiɡimuso aka d͡ʒed͡ʒuɡuja kɔsɔ̃ , d͡ʒata kɔrɔ waraba . mãdẽkaw ka ladala , dẽ bɛ wele ka ba tɔɡɔ da kã . keita je kabila d͡ʒamu .
Tɔnden don Portigiz Fɔla Jamanaw ka Jekulu la ani Forobanafolo Jekulu (Commonwealth). Mozanbik tɔgɔdara Muça Alebique la min tun ye mansa (Sultan) ye.	tɔ̃dẽ dõ portiɡiz fɔla d͡ʒamanaw ka d͡ʒekulu la ani forobanafolo d͡ʒekulu t͡ʃõmõwealth . mozãbik tɔɡɔdara mut͡ʃa alebikue la mĩ tũ je mãsa sultã je .
«Soni Ali donna Tumutu, a ye tɲɔni belebelew kɛ, ka dugu jeni ka flenkloci, ka mɔgɔw caman nimatɔrɔ. Tumamin ni Akilu ye Soni Ali ka nali mɛn, a nara ni ɲamɛ ba caman ye ka Sankore Sharidɔnnaw ‘fugahd’ ta ka taa n’u ye Walata… Nin Allajugu jolibɔna ye mɔgɔfaga ta ka ɲɛsin tɔw minu tora Tumutu k’u kɛ yekofla ye. »	soni ali dõna tumutu , a je tɲɔni belebelew kɛ , ka duɡu d͡ʒeni ka flẽklot͡ʃi , ka mɔɡɔw t͡ʃamã nimatɔrɔ . tumamĩ ni akilu je soni ali ka nali mɛ̃ , a nara ni ɲamɛ ba t͡ʃamã je ka sãkore ʃaridɔ̃naw fuɡahd ta ka taa nu je walata , nĩ allad͡ʒuɡu d͡ʒolibɔna je mɔɡɔfaɡa ta ka ɲɛsĩ tɔw minu tora tumutu ku kɛ jekofla je .
Libya ye sanfeda kɔnɔtɔnan ye BSK (Bakrunba Sokɔnɔ Karajago) per Kapita Afrika kɔnɔ, Seshel ani Worodugu Afrika kɔ. Nin sabu ye aka taji lasago lahauta ye ani duguden fitini.	libja je sãfeda kɔnɔtɔnã je bsk bakrũba sokɔnɔ karad͡ʒaɡo per kapita afrika kɔnɔ , seʃel ani woroduɡu afrika kɔ . nĩ sabu je aka tad͡ʒi lasaɡo lahauta je ani duɡudẽ fitini .
Kru kabila y’u banamini Vai ka sigi u sigiyɔrɔ la. Manew ani Kruw ka jɛ sera ka Vai ka taama wɛrɛw bali yɔrɔ in na, nka Vai tora Grand Cape Mount yɔrɔ la min ye bii Robertsport dugu ye.	kru kabila ju banamini vai ka siɡi u siɡijɔrɔ la . manew ani kruw ka d͡ʒɛ sera ka vai ka taama wɛrɛw bali jɔrɔ ĩ na , ŋka vai tora ɡrãd t͡ʃape moũt jɔrɔ la mĩ je bii robertsport duɡu je .
Mali ka kɔri yɛlɛma yɔrɔ (CMDT) bɛ Mali niɛmɔgɔ dɛ ka bolo kan cabini san mille neuf cent soixante quatre onze (1974) kɔri là barali li kama. A diɔra kɔri fɛrɛ yɛlɛmali na fɛrɛe-li kan jamanam lamini bɛ kan wa kɔri sɛnɛyɔrɔ tiaman ba a bolo dugu fanba bɛw kan u ka yɔrɔ bɛ là bɛlɛ-bɛlɛ bɛ Koutiala, Fana,a tɔ bɛ....	mali ka kɔri jɛlɛma jɔrɔ t͡ʃmdt bɛ mali niɛmɔɡɔ dɛ ka bolo kã t͡ʃabini sã mille neuf t͡ʃẽt soiksãte kuatre õze ba kelẽ ni kɛmɛ kɔnɔ̃tɔ̃ ni biwolõwula ni naani kɔri la barali li kama . a diɔra kɔri fɛrɛ jɛlɛmali na fɛrɛe li kã d͡ʒamanã lamini bɛ kã wa kɔri sɛnɛjɔrɔ tiamã ba a bolo duɡu fãba bɛw kã u ka jɔrɔ bɛ la bɛlɛ bɛlɛ bɛ koutiala , fana , a tɔ bɛ .
XIXe siècle la , kaata bɛna faraniɔgɔkan tuguni ni Moussokoro Bô yɛ, o fɛnɛ ni fouta-rɔtɔ fila kɛlɛlɛw Moussokoro Bô kɛra o kɛlɛtigi yɛ a lew ka massaya bɛ ban mille huit cent vingt trois san mille huit cent vingt ni mille huit cent trante (1820 et 1830) massassinka kɛlɛkɛ dew yɛ Galam, ni Bambouk, ni Saloum tunu.	zikse siet͡ʃle la , kaata bɛna faraniɔɡɔkã tuɡuni ni moussokoro bo jɛ , o fɛnɛ ni fouta rɔtɔ fila kɛlɛlɛw moussokoro bo kɛra o kɛlɛtiɡi jɛ a lew ka massaja bɛ bã mille huit t͡ʃẽt vĩɡt trois sã mille huit t͡ʃẽt vĩɡt ni mille huit t͡ʃẽt trãte ba kelẽ ni kɛmɛ seɡĩ ni muɡã et ba kelẽ ni kɛmɛ seɡĩ ni bisaba massassĩka kɛlɛkɛ dew jɛ ɡalã , ni bãbouk , ni saloũ tunu .
Zanbia ka Fasojamana ye jamana datugunen ye Kɔrɔnfɛ Afrika. Sigiɲɔngɔn jamanaw ye Kongo ka Bɛjɛfanga Fasojamana saheli fɛ, Tanzania saheli-kɔrɔn, Malawi kataa kɔrɔn, Mozanbik, Zinbabwe, Botswana ani Namibia kataa worodugu, ani Angola kataa tlebi. Dugu faaba ye Lusaka ye a sigilen jaman worodugukɔrɔn. Jamanadenw jugɔsɔlen faaba lamunu la ani Daɲancɛjala yɔrɔ la kataa sahelitlebi.	zãbia ka fasod͡ʒamana je d͡ʒamana datuɡunẽ je kɔrɔ̃fɛ afrika . siɡiɲɔ̃ɡɔ̃ d͡ʒamanaw je kõɡo ka bɛd͡ʒɛfãɡa fasod͡ʒamana saheli fɛ , tãzania saheli kɔrɔ̃ , malawi kataa kɔrɔ̃ , mozãbik , zĩbabwe , botswana ani namibia kataa woroduɡu , ani ãɡola kataa tlebi . duɡu faaba je lusaka je a siɡilẽ d͡ʒamã woroduɡukɔrɔ̃ . d͡ʒamanadẽw d͡ʒuɡɔsɔlẽ faaba lamunu la ani daɲãt͡ʃɛd͡ʒala jɔrɔ la kataa sahelitlebi .
Fàransi tun ye dunia fangama jamanaw dɔ ye kabi kɛmɛda 17nan laban cema wati. 18nan ani 19nan kɛmɛdaw kɔnɔ, Fàransi ye jɔlikɛ mara mansamara baw dɔ la min bɛ fɛnsen Tlebi Afrika ani Worodugu Asia ka se ka yɔrɔ kofɔlen in sekonidɔnko ni politikow yɛlɛma a sago la. Fàransi ye jamana yirwalen.	farãsi tũ je dunia fãɡama d͡ʒamanaw dɔ je kabi kɛmɛda tã ni wolõwula nã labã t͡ʃema wati . tã ni seɡĩ nã ani tã ni kɔnɔ̃tɔ̃ nã kɛmɛdaw kɔnɔ , farãsi je d͡ʒɔlikɛ mara mãsamara baw dɔ la mĩ bɛ fɛ̃sẽ tlebi afrika ani woroduɡu asia ka se ka jɔrɔ kofɔlẽ ĩ sekonidɔ̃ko ni politikow jɛlɛma a saɡo la . farãsi je d͡ʒamana jirwalẽ .
Dunia Wariso (Ingliz: World Bank) ye yɔrɔ ye min bɛ nafoloko ani feereko dɛmɛkɛ jamana yiritaw ye yiriwa programuw kadara kɔnɔ (misali, babiliw, sira daw, kalanso jɔw an'a ɲwannaw) aka kuntlena lakodɔnnnen ye fantanya dɔgɔyali ye.	dunia wariso ĩɡliz , world bãk je jɔrɔ je mĩ bɛ nafoloko ani feereko dɛmɛkɛ d͡ʒamana jiritaw je jiriwa proɡramuw kadara kɔnɔ misali , babiliw , sira daw , kalãso d͡ʒɔw ã a ɲwãnaw aka kũtlena lakodɔ̃nnẽ je fãtaɲa dɔɡɔjali je .
Kataa Dunia Kɛlɛ II Norwij ye sɔrɔko jidi ye, a bɛ dunia nafolotigiba jamana cɛla sisan. Norwij bena jɔyɔrɔ naaninan la taji labɔli la petroli dlanifen ɛ tlanaani ta aka Bakrunba Sokɔnɔ Karajago la.	kataa dunia kɛlɛ fila norwid͡ʒ je sɔrɔko d͡ʒidi je , a bɛ dunia nafolotiɡiba d͡ʒamana t͡ʃɛla sisã . norwid͡ʒ bena d͡ʒɔjɔrɔ naaninã la tad͡ʒi labɔli la petroli dlanifẽ ɛ tlanaani ta aka bakrũba sokɔnɔ karad͡ʒaɡo la .
