لم يبدُ لي ذلك منطقياً؛ بالتأكيد لم يكن عادلاً.	lˈam jˈabd lˈiː ðˈalik mantˤiqˈijːaː , bitːaʔkˈiːd lˈam jˈakun ʕaːdˈilaː .
تم التعرف على "المشاركة الشخصية" و "العلاقات المستمرة" كجوانب تحفيزية جديدة بواسطة إيمي ومكورد (1998) عندما درسوا رد فعل الجمهور على مواقع الويب.	tˈamː atːaʕˈarːuf ʕˈalaː almuʃˈaːraka aʃːaxsˤˈijːa w alʕalaːqˈaːt almustamˈirːa kad͡ʒawˈaːnib taħfiːzˈijːa d͡ʒadˈiːda biwˈaːsitˤa ʔiːmˈijː wamukˈawrid ʔalf wa tisʕumiʔa wa θamaːnija wa tisʕuːn ʕindˈamaː darˈasuː rˈadː fˈaʕal alid͡ʒumhˈuːr ʕˈalaː mawˈaːqiʕ alwˈajb .
تسبب سوء الأحوال الجوية في تعطل عملية البحث، وفشل الهبوط.	tasˈabːab sˈuːʔ alʔaħwˈaːl alid͡ʒawːˈijːa fˈiː taʕˈatˤːal ʕamalˈijːa albˈaħθ , wafˈaʃal alhubˈuːtˤ .
تأكد من أنك تعرف ما يمكنك وما لا يمكنك إحضاره والإعلان عن أي شيء يتجاوز الحدود القانونية.	taʔˈakːad mˈin ʔˈanːak tˈuʕraf mˈaː jumkˈinuk wˈamaː lˈaː jumkˈinuk ʔiħdˤˈaːruh walʔiʕlˈaːn ʕˈan ʔˈaj ʃˈajʔ jatad͡ʒˈaːwaz alħudˈuːd alqaːnuːnˈijːa .
وتحتوي بعض الأحذية على مسامير وهناك عناصر إضافية مرصعة للظروف المناخية الزلقة ومناسبة لأغلب الأحذية، للكعب أو الكعب والنعل.	wataħtˈawiː bˈaʕdˤ alʔaħðˈija ʕˈalaː masaːmˈiːr wahunˈaːk ʕanˈaːsˤir ʔidˤaːfˈijːa murasˤːˈaʕa liðˤːurˈuːf almunaːxˈijːa azːˈalqa wamunˈaːsaba liʔˈaɣlab alʔaħðˈija , lilkˈaʕb ʔˈaw alkˈaʕb wanːˈaʕl .
قصص النّجاح هذه قلّلت من مخاوف التّغيير، بينما خلقت اتجاهاتٍ إيجابيةٍ نحو التّغيير في المستقبل.	qˈisˤasˤ anːid͡ʒˈaːħ hˈaðih qulːˈilat mˈin maxˈaːwif atːaɣjˈiːr , bajnˈamaː xulˈiqat itːid͡ʒaːhˈaːt ʔiːd͡ʒaːbˈijːa nˈaħw atːaɣjˈiːr fˈiː almustˈaqbal .
وأثارت مخاوف نقص وسائل التنقل إلى احتمالية توجب إقامة المباراة خلف أبواب مغلقة، دون تواجد أنصار الفريق.	waʔaθˈaːrat maxˈaːwif nˈaqasˤ wasˈaːʔil atːanˈaqːul ʔlˈaː iħtimaːlˈijːa tˈuːd͡ʒib ʔqˈaːma almubˈaːraː xˈalf ʔabwˈaːb muɣlˈaqa , dˈuːn tawˈaːd͡ʒud ʔansˤˈaːr alfarˈiːq .
لن تحتاج إلى استخدام شركة محمول حيث تقيم أو تسافر لأنه يتم توجيه المكالمات من خلال الإنترنت.	lˈan taħtˈaːd͡ʒ ʔlˈaː istixdˈaːm ʃˈarika maħmˈuːl ħˈajθ tuqˈiːm ʔˈaw tusˈaːfir liʔˈanːah jatˈimː taud͡ʒˈiːh almukaːlamˈaːt mˈin xilˈaːl alʔintˈarnit .
درجة متروبلس أكثر راحة وأقل ازدحامًا لكنها أغلى رغم أنها تظل أرخص من تذاكر المترو العادية في أوروبا.	dˈarad͡ʒa mutrˈuːbils ʔˈakθar rˈaːħa waʔaqˈalː izdiħˈaːmaː lakinːˈahaː ʔˈaɣlaː rˈaɣm ʔanːˈahaː taðˤˈalː ʔˈarxasˤ mˈin taðˈaːkar almatrˈuwː alʕˈaːdija fˈiː ʔuːrˈuːbːaː .
يعني الاستناد إلى هذه الحفرية أن الانشقاق وقع مبكرًا للغاية عما كان متوقعًا استنادًا إلى الدليل الجزيئي.	jˈaʕniː alaːstinˈaːd ʔlˈaː hˈaðih alħafrˈijːa ʔˈan alaːnʃiqˈaːq wˈaqaʕ mubakːˈiraː lilɣˈaːja ʕˈamːaː kˈaːn mutawaqːˈaʕaː istinˈaːdaː ʔlˈaː adːalˈiːl alid͡ʒuzajʔˈijː .
كما تبنى غير المؤمنين في البلدان المسيحية وغير المسيحيين في مختلف أنحاء العالم العديد من التقاليد المحيطة بالأعياد.	kˈamaː tˈubnaː ɣˈajr almuʔminˈiːn fˈiː albuldˈaːn ˈalimsiħjːa waɣˈajr almasiːħijːˈiːn fˈiː muxtˈalaf ʔanħˈaːʔ alʕˈaːlam alʕadˈiːd mˈin atːaqaːlˈiːd almuħˈiːtˤa bilʔaʕjˈaːd .
يمكن أن تؤدي الأيام الطويلة جدًا في الصيف إلى مشاكل في الحصول على قسط كافٍ من النوم والمشكلات الصحية المرتبطة.	jˈumkin ʔˈan tuʔˈadːiː alʔajːˈaːm atˤːawˈiːla d͡ʒˈidːaː fˈiː asˤːˈajf ʔlˈaː maʃˈaːkil fˈiː alħusˤˈuːl ʕˈalaː qˈistˤ kˈaːf mˈin anːˈawm walmuʃkilˈaːt asˤːiħːˈijːa almurtˈabitˤa .
تبذل الكازينوهات عادة الكثير من الجهود لزيادة الوقت والمال الذي ينفقه الضيوف. عادة ما تكون النوافذ والساعات غائبة، وقد يكون من الصعب العثور على مخارج.	tˈabðul alkaːziːnuːhˈaːt ʕˈaːda alkaθˈiːr mˈin alid͡ʒuhˈuːd lizijˈaːda alwˈaqt walmˈaːl alːˈaðiː junfˈiquh adˤːujˈuːf . ʕˈaːda mˈaː takˈuːn anːawˈaːfið wasːaːʕˈaːt ɣˈaːʔiba , wˈaqad jakˈuːn mˈin asˤːˈaʕb alʕuθˈuːr ʕˈalaː maxˈaːrid͡ʒ .
بيد أن تشارلز حضر الجامعة في كلية ترينتي في كامبردج حيث درس الأنتروبولوجيا و علم الآثار والتاريخ لاحقاً. حيث حصل على 2:2 (المرتبة الدنيا الثانية).	bˈijad ʔˈan taʃaːrˈuluz ħˈadˤar alid͡ʒˈaːmiʕa fˈiː kulːˈijːa tirˈiːntiː fˈiː kaːmbˈardad͡ʒ ħˈajθ dˈars alʔanturuːbuːlˈuːd͡ʒiaː w ʕˈalim alʔaːθˈaːr watːaːrˈiːx laːħˈiqaː . ħˈajθ ħˈasˤal ʕˈalaː iθnaːn , iθnaːn almartˈaba adːˈunjaː aθːˈaːnija .
مع أنه، نظرياً، يمكن إقامتهم سنوياً (طالما كانوا في بلدان مختلفة)، إلا أن هذا لا يحدث عملياً.	mˈaʕ ʔˈanːah , naðˤarˈijːaː , jˈumkin ʔqaːmatˈihim sanawˈijːaː tˤaːlˈamaː kˈaːnuː fˈiː buldˈaːn muxtˈalifa , ʔlːˈaː ʔˈan hˈaðaː lˈaː juħˈadːiθ ʕamalˈijːaː .
تتطلب تأشيرات الطلاب عموماً متطلبات وإجراءات تقديم مختلفة عن تأشيرات السياحة أو العمل العادية.	tatatˤˈalːab taʔʃiːrˈaːt atˤːulːˈaːb ʕumˈuːmaː mutatˤalːabˈaːt waʔid͡iʒraːʔˈaːt taqdˈiːm muxtˈalifa ʕˈan taʔʃiːrˈaːt asːijˈaːħa ʔˈaw alʕˈamal alʕˈaːdija .
كان البشر يصنعون العدسات ويستخدمونها للتكبير منذ آلاف وآلاف السنين.	kˈaːn albˈaʃar jasˤnaʕˈuːn alʕadasˈaːt wajastaxdimuːnˈahaː litːakbˈiːr mˈunð ʔaːlˈaːf waʔaːlˈaːf asːinˈiːn .
يحتوي الجزء الشمالي أو سلسلة سانتينيل على أعلى جبال في القارة القطبية الجنوبية، فينسون ماسيف حيث تبلغ ذروته ما يعادل 4892 متر جبل فينسون.	jaħtˈawiː alid͡ʒˈuzʔ aʃːamaːlˈijː ʔˈaw silsˈila saːntiːnˈiːl ʕˈalaː ʔˈaʕlaː d͡ʒibˈaːl fˈiː alqˈaːrːa alqutˤbˈijːa alid͡ʒanuːbˈijːa , fajansˈawn maːsˈiːf ħˈajθ tˈabluɣ ðirwˈatah mˈaː juʕˈaːdil ʔarbaʕa ʔaːlaːf wa θamaːnumiʔa wa iθnaːn wa tisʕuːn mˈitr d͡ʒˈabal fajansˈuːn .
كان طابعه رقم 1000 "الأعمال العظيمة التي قام بها الملوك السويديون" من قبل ديفيد كلوكر إهرنشترال في سنة 2000، والتي تم إدراجها في موسوعة غينيس للأرقام القياسية العالمية.	kˈaːn tˤaːbˈiʕah rˈaqm ʔalf alʔaʕmˈaːl alʕaðˤˈiːma alːˈatiː qˈaːm bˈihaː almulˈuːk asːuwajdijːˈuːn mˈin qˈabl diːfˈiːd kulˈuːkr ʔihriniʃitrˈaːl fˈiː sˈana ʔalfaːn , walːˈatiː tˈamː ʔidraːd͡ʒˈuhaː fˈiː mawsˈuːʕa ɣiːnˈiːs liliʔraqˈaːm alqijaːsˈijːa alʕaːlamˈijːa .
وفي النهاية، تم استبدال العجلات الخشبية بعجلات حديدية. في عام 1767، تم إدخال أول قضبان حديدية كاملة.	wˈafiː anːihˈaːja , tˈamː istibdˈaːl alʕad͡ʒalˈaːt alxaʃabˈijːa biʕad͡ʒalˈaːt ħadiːdˈijːa . fˈiː ʕˈaːm ʔalf wa sabʕumiʔa wa sabʕa wa sittuːn , tˈamː ʔidxˈaːl ʔˈawːal qudˤbˈaːn ħadiːdˈijːa kˈaːmila .
من بين 1,400 شخص شملهم استطلاع ما قبل الانتخابات الفيدرالية لعام 2010، زادت نسبة من يعارضون أن تصبح أستراليا جمهورية بمقدار 8 في المائة منذ عام 2008.	mˈin bˈajn ʔalf wa ʔarbaʕumiʔa ʃˈaxsˤ ʃamlˈuhum istitˤlˈaːʕ mˈaː qˈabl alaːntixaːbˈaːt alfiːdraːlˈijːa liʕˈaːm ʔalfaːn wa ʕaʃara , zˈaːdat nˈisba mˈin juʕaːridˤˈuːn ʔˈan tˈusˤbiħ ʔusitrˈaːljaː d͡ʒumhuːrˈijːa bimiqdˈaːr θamaːnija fˈiː almˈiʔa mˈunð ʕˈaːm ʔalfaːn wa θamaːnija .
على الرغم من أن كاتب هذا الجزء من النص غير معروف تحديداً، ولكننا نعلم أن المخطوطة الكبيرة (ذات مقاسات 29¾ بوصة × 24½ بوصة) كانت مخزّنة مطوية في بداية وجودها.	ʕˈalaː arːˈaɣm mˈin ʔˈan kˈaːtab hˈaðaː alid͡ʒˈuzʔ mˈin anːˈasˤː ɣˈajr maʕrˈuːf taħdˈiːdaː , walakinːˈanaː nˈaʕlam ʔˈan almaxtˤˈuːtˤa alkabˈiːra ðˈaːt muqaːsˈaːt tisʕa wa ʕiʃruːn θalaːθa ʕˈalaː ʔarbaʕa bˈuːsˤːa fj ʔarbaʕa wa ʕiʃruːn waːħid ʕˈalaː iθnaːn bˈuːsˤːa kˈaːnat muxzˈana matˤwˈijːa fˈiː bidˈaːja wud͡ʒuːdˈihaː .
وقد أخمدت فرق الإنقاذ النار في نهاية المطاف بحلول الساعة 11:35 مساء.	wˈaqad ʔaxmˈadat fˈarq alʔinqˈaːð anːˈaːr fˈiː nihˈaːja almatˤˈaːf biħulˈuːl asːˈaːʕa asːˈaːʕa ʔaħada ʕaʃar wˈa xamsa wa θalaːθuːn daqˈiːqa masˈaːʔ .
بين الساعة 10:00 إلى 11:00 مساءً بتوقيت الجبل، أُضرِمَ حريقٌ من قبل النزلاء في الفناء.	bˈajn asːˈaːʕa asːˈaːʕa ʕaʃara ʔlˈaː asːˈaːʕa ʔaħada ʕaʃar masˈaːʔ bitawqˈiːt alid͡ʒˈabal , ʔˈadˤram ħarˈiːq mˈin qˈabl anːuzalˈaːʔ fˈiː alfinˈaːʔ .
تغادر الحافلات المحطة الداخلية بين المناطق (عبر النهر) في خلال اليوم على الرغم من أن معظمها وخاصة المتجهة منها إلى الشرق وجاكار/بومثانج تغادر بين 06:30 و 07:30.	tuɣˈaːdir alħaːfilˈaːt almaħˈatˤːa adːaːxilˈijːa bˈajn almanˈaːtˤiq ʕˈabːar anːˈahr fˈiː xilˈaːl aljˈawm ʕˈalaː arːˈaɣm mˈin ʔˈan muʕðˤamˈuhaː waxˈaːsˤːa almutːˈad͡ʒiha mˈinhaː ʔlˈaː aʃːˈarq wad͡ʒaːkˈaːr buːmθˈaːnid͡ʒ tuɣˈaːdir bˈajn asːˈaːʕa sitta wˈa θalaːθuːn daqˈiːqa w asːˈaːʕa sabʕa wˈa θalaːθuːn daqˈiːqa .
تركيا الأوروبية (تراقيا الشرقية أو روميليا في شبه جزيرة البلقان) فتضم 3% من البلاد.	turkˈijaː alʔuːruːbːˈijːa taraːqˈijaː aʃːarqˈijːa ʔˈaw ruːmˈiːljaː fˈiː ʃˈibh d͡ʒazˈiːra albalqˈaːn fatudˤˈamː θalaːθa fˈiː almˈiʔa mˈin albilˈaːd .
حل نيوت جينجريتش، رئيس مجلس النواب الأمريكي السابق، في المرتبة الثانية بنسبة 32%.	ħˈalː nujˈuːt d͡ʒiːnid͡ʒarˈiːtʃ , raʔˈiːs mˈad͡iʒlis anːuwːˈaːb alʔamriːkˈijː asːˈaːbiq , fˈiː almartˈaba aθːˈaːnija binˈisba iθnaːn wa θalaːθuːn fˈiː almˈiʔa .
حصد نادال نقاط على الشبكة بنسبة 88% في المباراة، ليفوز بـ76 نقطة في الإرسال الأول.	ħˈasˤad naːdˈaːl niqˈaːtˤ ʕˈalaː aʃːˈabaka binˈisba θamaːnija wa θamaːnuːn fˈiː almˈiʔa fˈiː almubˈaːraː , lijafˈuːz bˈi sitta wa sabʕuːn nˈuqtˤa fˈiː alʔirsˈaːl alʔˈawːal .
فعلى سبيل المثال، يقترح البعض "التعلم" و"التنشئة الاجتماعية" كدوافع مهمّة لاستخدام شبكة الإنترنت (جيمس وغيره، 1995).	faʕˈalaː sabˈiːl almiθˈaːl , jaqtˈariħ albˈaʕdˤ atːaʕˈalːum w atːanʃˈiʔa alaːd͡iʒtimaːʕˈijːa kadawˈaːfiʕ muhˈimːa listixdˈaːm ʃˈabaka alʔintˈarnit d͡ʒˈiːms waɣˈajrih , ʔalf wa tisʕumiʔa wa xamsa wa tisʕuːn .
خلال شغله لمنصب مستشار في الأمن القومي، ساعد كارتر دبلوماسيًا في إدارة شؤون العالم مثل اتفاقيات كامب ديفيد عام 1978؛ وفكرة تطبيع العلاقات الأمريكية والصينية في أواخر السبعينيات؛ والثورة الإيرانية التي أدت إلى كارثة الرهائن الإيرانية عام 1979؛ والاحتلال السوفييتي لأفغانستان عام 1979.	xilˈaːl ʃaɣˈalah limˈansˤib musitʃˈaːr fˈiː alʔˈamn alqawmˈijː , sˈaːʕid kˈaːrtur dibluːmˈaːsjaː fˈiː ʔidˈaːra ʃuʔˈuːn alʕˈaːlam mˈiθl itːfaːqjːˈaːt kˈaːmib diːfˈiːd ʕˈaːm ʔalf wa tisʕumiʔa wa θamaːnija wa sabʕuːn , wafˈikra tatˤbˈiːʕ alʕalaːqˈaːt alʔamriːkˈijːa wasˤːiːnˈijːa fˈiː ʔawˈaːxir asːabʕiːnijːˈaːt , waθːˈawra alʔiːraːnˈijːa alːˈatiː ʔˈadːat ʔlˈaː kˈaːriθa arːahˈaːʔin alʔiːraːnˈijːa ʕˈaːm ʔalf wa tisʕumiʔa wa tisʕa wa sabʕuːn , walaːħtilˈaːl asːuːfijiːtˈijː liʔafɣaːnistˈaːn ʕˈaːm ʔalf wa tisʕumiʔa wa tisʕa wa sabʕuːn .
قام البرتغاليون بتدميرها وإعادة بنائها تحت اسم "كازا برانكا"، فقط ليهجروها بعد زلزال 1755.	qˈaːm alburtuɣaːlijːˈuːn bitadmiːrˈihaː waʔiʕˈaːda binaːʔˈihaː tˈaħt ˈism kˈaːzaː baraːnˈikaː , fˈaqatˤ lijahid͡ʒurˈuːhaː bˈaʕd zilzˈaːl ʔalf wa sabʕumiʔa wa xamsa wa xamsuːn .
مرعوبين، أُجبر الملك لويس السادس عشر والملكة ماري أنطوانيت وطفلاهما الصغيران (ماري تيريزذات الـ11 عاماً ولويس تشارلز ذو الأربع أعوام) وأخت الملك، السيدة إليزابيث، في السادس من تشرين الأول عام 1789، على الرجوع من فرساي إلى باريس بواسطة حشد من غوغاء نسوة السوق.	marʕuːbˈiːn , ʔˈud͡iʒbir almˈilk lwˈiːs asːˈaːdis ʕˈaʃar walmˈalaka mˈaːriː ʔuntˤuwaːnˈiːt watˤiflaːhˈumaː asˤːaɣiːrˈaːn mˈaːriː tiːriːzðˈaːt ˈal ʔaħada ʕaʃar ʕˈaːmaː waluwˈiːs taʃˈaːrluz ðˈuː alʔˈarbaʕ ʔaʕwˈaːm waʔˈuxt almˈilk , asːajːˈida ʔiliːzaːbˈiːθ , fˈiː asːˈaːdis mˈin tiʃrˈiːn alʔˈawːal ʕˈaːm ʔalf wa sabʕumiʔa wa tisʕa wa θamaːnuːn , ʕˈalaː arːud͡ʒˈuːʕ mˈin farsˈaːj ʔlˈaː baːrˈiːs biwˈaːsitˤa ħˈaʃd mˈin ɣawɣˈaːʔ nˈiswa asːˈuːq .
في الولايات المتحدة الأمريكية هناك ما يقارب 400,000 حالة معروفة من مرض التصلب المتعدد (ت م) مما يجعله أكثر الأمراض العصبية انتشاراً بين الشباب والبالغين ذوي الأعمار المتوسطة.	fˈiː alwilaːjˈaːt almutːˈaħida alʔamriːkˈijːa hunˈaːk mˈaː juqˈaːrib ʔarbaʕumiʔa ʔalf ħˈaːla maʕrˈuːfa mˈin mˈaradˤ atːasˤˈalːub almutaʕˈadːid t m mˈimːaː jad͡iʒʕˈaluh ʔˈakθar alʔamrˈaːdˤ alʕasˤabˈijːa intiʃˈaːraː bˈajn aʃːabˈaːb walbaːliɣˈiːn ðˈawiː alʔaʕmˈaːr almutawasːˈitˤa .
تضم اليابان ما يقرب من 7,000 جزيرة (أكبرها جزيرة هونشو)، ما يجعل اليابان سابع أكبر جزيرة في العالم!	tudˤˈamː aljaːbˈaːn mˈaː jˈaqrub mˈin sabʕa ʔaːlaːf d͡ʒazˈiːra ʔakbarˈihaː d͡ʒazˈiːra hˈuːnʃuː , mˈaː jˈud͡iʒʕal aljaːbˈaːn sˈaːbiʕ ʔˈakbar d͡ʒazˈiːra fˈiː alʕˈaːlam !
لم يصدر تحذير عن تسونامي، ووفقا لوكالة جاكرتا للجيوفيزياء، لن يصدر تحذير عن تسونامي لأن الزلزال لم يستوف متطلبات 6.5 درجة.	lˈam jˈasˤdur taħðˈiːr ʕˈan tusuːnaːmˈijː , wawˈafqaː liwakˈaːla d͡ʒaːkirˈataː lilid͡ʒujuːfiːzjˈaːʔ , lˈan jˈasˤdur taħðˈiːr ʕˈan tusuːnaːmˈijː liʔˈanː azːilzˈaːl lˈam jastˈawf mutatˤalːabˈaːt sitta fˈaːsˤila xamsa dˈarad͡ʒa .
يهاجر حوالي 1.5 مليون من الحيوانات العاشبة في شهر تشرين الأول من كل عام إلى السهول الجنوبية، عابرون نهر مارا، من التلال الشمالية من أجل الأمطار.	juhˈaːd͡ʒir ħawˈaːlaj waːħid fˈaːsˤila xamsa miljˈuːn mˈin alħajawaːnˈaːt alʕˈaːʃiba fˈiː ʃˈahr tiʃrˈiːn alʔˈawːal mˈin kˈulː ʕˈaːm ʔlˈaː asːuhˈuːl alid͡ʒanuːbˈijːa , ʕaːbirˈuːn nˈahr mˈaːrːaː , mˈin atːilˈaːl aʃːamaːlˈijːa mˈin ʔˈad͡iʒl alʔamtˤˈaːr .
أُسس الدين في القرن الخامس عشر على يد "جورو ناناك" (1469-1539). خلفه من بعده تسعة "غورو" آخرين.	ʔˈasːas adːˈajn fˈiː alqˈarn alxˈaːmis ʕˈaʃar ʕˈalaː jˈad d͡ʒˈuːruː naːnˈaːk ʔalf wa ʔarbaʕumiʔa wa tisʕa wa sittuːn ʔalf wa xamsumiʔa wa tisʕa wa θalaːθuːn . xˈalfah mˈin bˈaʕdah tˈisʕa ɣˈuːruː ʔaːxarˈiːn .
سجّل هدفين ومرر تمريرتين حاسمتين في المباراة التي تغلّب فيها فريق واشنطن على فريق أتلانتا ثراشرز بنتيجة 5-3.	sˈad͡ʒːal hadafˈajn wamˈarar tamriːratˈajn ħaːsimatˈajn fˈiː almubˈaːraː alːˈatiː tˈaɣlib fˈiːhaː farˈiːq waːʃˈintˤun ʕˈalaː farˈiːq ʔatlˈaːntaː θaraːʃˈirz binatˈiːd͡ʒa xamsa θalaːθa .
