ھەركىم ئۆزى يازالايدىغان ئوچۇق ئېنسكلوپېدىيە	hɛrkim ʔøzi jɑzɑlɑjdiʁɑn ʔot͡ʃuq ʔensklopedijɛ
بىتلىس ۋىلايىتى بولسا تۈركىيە دىكىبىخاھار 2007 نوپۇس بار، بىتلىسنىڭ 413،446 نوپۇسىبار، 6،707 كۇۋادىرات كىلومەتىر دائىرائىقىدا نوپۇس جايلاخكان، خىمالىكاڭ لىك 38.31°، خارىكى ئۇزۇنلۇك 42°23، پوقتانومۇرى 013 رايۇننومۇرى 0434.	bitlis wilɑjiti bolsɑ tyrkijɛ dikibiχɑhɑr ʔikki miŋ jɛttɛ nopus bɑr , bitlisniŋ tøt jyz ʔon ʔyt͡ʃ miŋ tøt jyz qiriq ʔɑltɛ nopusibɑr , ʔɑltɛ miŋ jɛttɛ jyz jɛttɛ kuwɑdirɑt kilomɛtir dɑʔirɑʔiqidɑ nopus d͡ʒɑjlɑχkɑn , χimɑlikɑŋ lik ʔottuz sɛkkiz ʔottuz bir ɡrɑdus , χɑriki ʔuzunluk qiriq ʔikki ɡrɑdus jiɡirmɛ ʔyt͡ʃ , poqtɑnomuri ʔon ʔyt͡ʃ rɑjunnomuri tøt jyz ʔottuz tøt .
شۇنىڭ بىلەن بىللە يەنە مولىكۇلىلارغا ، ئاتۇملارغا ئۈزلىكسىز سوقۇلىشىدىن ھاسىل بولغان توسقۇنلۇقنىمۇ يېڭىشقا توغرا كىلىدۇ .	ʃuniŋ bilɛn billɛ jɛnɛ molikulilɑrʁɑ , ʔɑtumlɑrʁɑ ʔyzliksiz soquliʃidin hɑsil bolʁɑn tosqunluqnimu jeŋiʃqɑ toʁrɑ kilidu .
ﻗﯘﺗﺒﯩﺪﯨﻦ ﺷﯩﺮﺍﺯﻯ (1236 _ 1311). ﺋﯘ ﺗﯘﻧﺠﻰ ﻗﯧﺘﯩﻢ ﻳﻮﺭﯗﻗﻠﯘﻗﻨﯩﯔ ﺳﯘﻧﯘﺷﯩﺪﯨﻦ ﭘﺎﻳﺪﯨﻠﯩﻨﯩﭗ ﻫﻪﺳﻪﻥ - ﻫﯜﺳﻪﻧﻨﻰ ﭼﯜﺷﻪﻧﺪﯛﺭﮔﻪﻥ ﻫﻪﻣﺪﻩ ﻳﻮﺭﯗﻗﻠﯘﻕ ﺳﯜﺭﺋﯩﺘﻰ ﻣﯘﻫﯩﺘﻨﯩﯔ ﺋﻮﭘﺘﯩﻚ ﺯﯨﭽﻠﯩﻘﻰ ﺑﯩﻠﻪﻥ ﺗﻪﺗﯜﺭ ﺗﺎﻧﺎﺳﯩﭗ ﺑﻮﻟﯩﺪﯨﻐﺎﻧﻠﯩﻘﯩﻨﻰ، ﻫﯧﭙﯩﺮﺑﯘﻻ ﺳﯩﺮﺗﻠﯩﻖ ﻟﯩﻨﺰﺍ ﺋﺎﺭﻗﯩﻠﯩﻖ ﺷﺎﺭ ﺳﯩﺮﺗﻰ ﺋﺎﺑﯩﺮﺭﺍﺗﺴﯩﻴﯩﺴﯩﺪﯨﻦ ﺳﺎﻗﻼﻧﻐﯩﻠﻰ ﺑﻮﻟﯩﺪﯨﻐﺎﻧﻠﯩﻘﯩﻨﻰ ﺋﻮﺗﺘﯘﺭﯨﻐﺎ ﻗﻮﻳﻐﺎﻥ.	qutbidin ʃirɑzi miŋ ʔikki jyz ʔottuz ʔɑltɛ miŋ ʔyt͡ʃ jyz ʔon bir . ʔu tund͡ʒi qetim joruqluqniŋ sunuʃidin pɑjdilinip hɛsɛn hysɛnni t͡ʃyʃɛndyrɡɛn hɛmdɛ joruqluq syrʔiti muhitniŋ ʔoptik zit͡ʃliqi bilɛn tɛtyr tɑnɑsip bolidiʁɑnliqini , hepirbulɑ sirtliq linzɑ ʔɑrqiliq ʃɑr sirti ʔɑbirrɑtsijisidin sɑqlɑnʁili bolidiʁɑnliqini ʔotturiʁɑ qojʁɑn .
ﻳﺎﻗﺎﻣﻨﻰ ﭼﺎﻙ ﺋﻪﺗﯩﭗ ﻳﯩﻐﻼﭖ ﺑﺎﺭﯨﭗ ﻛﻮﻳﯩﺪﺍ ﺩﺍﺩ ﺋﻪﺗﺘﯩﻢ،	jɑqɑmni t͡ʃɑk ʔɛtip jiʁlɑp bɑrip kojidɑ dɑt ʔɛttim ,
دەپ جاۋاب بېرىپتۇ. شۇنىڭدىن كېيىن موماي يەتتە باشلىق يالماۋۇز سۈرىتىدە ئۆيگە كىرىپ، ئاۋۋال قازاندىكى گۆشنىڭ ھەممىسىنى يەپتۇ، ئاندىن مەختۇمسۇلانىڭ ئۇزۇن چېچىدىن تورۇسقا ئېسىپ قويۇپ، تاپىنىنى تېشىپ قېنىنى شوراپتۇ. كېتەر چېغىدا مەختۇمسۇلاغا:	dɛp d͡ʒɑwɑp beriptu . ʃuniŋdin kejin momɑj jɛttɛ bɑʃliq jɑlmɑwuz syritidɛ ʔøjɡɛ kirip , ʔɑwwɑl qɑzɑndiki ɡøʃniŋ hɛmmisini jɛptu , ʔɑndin mɛχtumsulɑniŋ ʔuzun t͡ʃet͡ʃidin torusqɑ ʔesip qojup , tɑpinini teʃip qenini ʃorɑptu . ketɛr t͡ʃeʁidɑ mɛχtumsulɑʁɑ
100- جىلدىدا تۈركىي قەبىلە قارلۇقلارنىڭ تارىخى، جۇغراپىيىسىگە دائىر مەلۇماتلار خاتىرلەنگەن.	jyzint͡ʃi d͡ʒildidɑ tyrkij qɛbilɛ qɑrluqlɑrniŋ tɑriχi , d͡ʒuʁrɑpijisiɡɛ dɑʔir mɛlumɑtlɑr χɑtirlɛnɡɛn .
ماندېلا رەھبەرلىكىدىكى ئافرىقا مەملىكەتلىك خەلق قۇرۇلتىيىنىڭ ئۇزۇن يىللار داۋاملاشقان ئىرقىي ئايرىمچىلىققا قارشى كۈرىشى، 1992 - يىلى 18 - مارت كۈنى مېۋە بېرىشكە باشلىدى؛ خەلق رايىنى سىناشتا، قارا تەنلىكلەرگە تەڭ ھوقۇقلۇق پۇقرالىق سالاھىيىتى بېرىش نىشان قىلىنغان ۋە پىرېزىدېنت دې كىلېرك تەرىپىدىن پىلانلانغان ئاساسىي قانۇنغا تۈزىتىش كىرگۈزۈش لايىھەسى قوبۇل قىلىندى.	mɑndelɑ rɛhbɛrlikidiki ʔɑpriqɑ mɛmlikɛtlik χɛlq qurultijiniŋ ʔuzun jillɑr dɑwɑmlɑʃqɑn ʔirqij ʔɑjrimt͡ʃiliqqɑ qɑrʃi kyriʃi , miŋ toqquz jyz toqsɑn ʔikkint͡ʃi jili ʔon sɛkkizint͡ʃi mɑrt kyni mewɛ beriʃkɛ bɑʃlidi , χɛlq rɑjini sinɑʃtɑ , qɑrɑ tɛnliklɛrɡɛ tɛŋ hoquqluq puqrɑliq sɑlɑhijiti beriʃ niʃɑn qilinʁɑn wɛ pirezident de kilerk tɛripidin pilɑnlɑnʁɑn ʔɑsɑsij qɑnunʁɑ tyzitiʃ kirɡyzyʃ lɑjihɛsi qobul qilindi .
لەنجۇ قاتارلىق جايلاردا ،بىلىم ئاشۇرۇش ،دورىگەرلىك ،دوختۇرلۇق،ئوقۇتقۇچىلىق ،تەتقىقات قاتارلىقلار بىلەن شۇغۇللانغان .	lɛnd͡ʒu qɑtɑrliq d͡ʒɑjlɑrdɑ , bilim ʔɑʃuruʃ , doriɡɛrlik , doχturluq , ʔoqutqut͡ʃiliq , tɛtqiqɑt qɑtɑrliqlɑr bilɛn ʃuʁullɑnʁɑn .
1997 ـ يىلى 2 ـ ئاينىڭ 1 ـ كۈنى تۇغۇلغان.ھازىر 32 ـ باشلانغۇچ مەكتەپتە ئوقۇيدۇ.ئالاھدىلىكى: ئىسكروپكا چېلىش، ناخشا ـ ئوسۇل ئويناش	miŋ toqquz jyz toqsɑn jɛttint͡ʃi jili ʔikkint͡ʃi ʔɑjniŋ birint͡ʃi kyni tuʁulʁɑn . hɑzir ʔottuz ʔikkint͡ʃi bɑʃlɑnʁut͡ʃ mɛktɛptɛ ʔoqujdu . ʔɑlɑhdiliki ʔiskropkɑ t͡ʃeliʃ , nɑχʃɑ ʔosul ʔojnɑʃ
بۇگۈن ئىشلىتىلمەكتە بولغان تۈرك لىراسى 9- قېتىملىق نەشرى بولۇپ، 2009- يىلى 1- ئاينىڭ 1- كۈنى ئىستىمالغا سونۇلغان.	buɡyn ʔiʃlitilmɛktɛ bolʁɑn tyrk lirɑsi toqquzint͡ʃi qetimliq nɛʃri bolup , ʔikki miŋ toqquzint͡ʃi jili birint͡ʃi ʔɑjniŋ birint͡ʃi kyni ʔistimɑlʁɑ sonulʁɑn .
900- يىللاردىن 930 - يىلغىچە ساتۇق تىكىن ئىسلام دىنىنى قوبۇل قىلدى . ئۇ مۇسۇلمانچە ئابدۇكېرىم ساتۇق تىكىن دەپ ئاتالدى . ئابدۇكىرىم ساتۇق تىكىن ئوغۇلچاق قادىرخاننى مەغلۇپ قىلىپ ، قەشقەردە ئىسلام ھاكىمىيىتى ئورناتقاندىن كىيىن ئۆزىنى " قاراخان " دەپ .ئېلان قىلىپ ، " بۇغراخان " ئۈنىۋانى بىلەن ئاتالدى .	toqquz jyzint͡ʃi jillɑrdin toqquz jyz ʔottuzint͡ʃi jilʁit͡ʃɛ sɑtuq tikin ʔislɑm dinini qobul qildi . ʔu musulmɑnt͡ʃɛ ʔɑbdukerim sɑtuq tikin dɛp ʔɑtɑldi . ʔɑbdukirim sɑtuq tikin ʔoʁult͡ʃɑq qɑdirχɑnni mɛʁlup qilip , qɛʃqɛrdɛ ʔislɑm hɑkimijiti ʔornɑtqɑndin kijin ʔøzini qɑrɑχɑn dɛp . ʔelɑn qilip , buʁrɑχɑn ʔyniwɑni bilɛn ʔɑtɑldi .
28-ماددا مىللىي ئاپتونومىيىلىك جايلارنىڭ ئاپتونومىيە ئورگانلىرى قانۇندىكى بەلگىلىمە بويىچە، ئۆز جايىنىڭ تەبىئىي بايلىقىنى باشقۇرىدۇ ۋە مۇھاپىزەت قىلىدۇ.	jiɡirmɛ sɛkkizint͡ʃi mɑddɑ millij ʔɑptonomijilik d͡ʒɑjlɑrniŋ ʔɑptonomijɛ ʔorɡɑnliri qɑnundiki bɛlɡilimɛ bojit͡ʃɛ , ʔøz d͡ʒɑjiniŋ tɛbiʔij bɑjliqini bɑʃquridu wɛ muhɑpizɛt qilidu .
1976-يىلى 5-ئايدا، ئالما 1 كومپيوتېر 666.66 دوللار بىلەن بازارغا چىقتى. بىر كومپيوتېر سېتىش دۇكىنى ئالما 1كومپيوتېرىدىن 50نى سېتىۋالدى.	miŋ toqquz jyz jɛtmiʃ ʔɑltint͡ʃi jili bɛʃint͡ʃi ʔɑjdɑ , ʔɑlmɑ bir kompjoter ʔɑltɛ jyz ʔɑtmiʃ ʔɑltɛ ʔɑtmiʃ ʔɑltɛ dollɑr bilɛn bɑzɑrʁɑ t͡ʃiqti . bir kompjoter setiʃ dukini ʔɑlmɑ bir kompjoteridin ʔɛllik ni setiwɑldi .
ھەر بىر يەرلىك خەلق ئەزاسىنىڭ ۋە يەرلىك خەلقلەرنىڭ ھېچقانداق ئايرىمىچىلىققا دۇچار بولماستىن خەلقئارا قانۇنلاردا ئېتىراپ قېلىنغان بارلىق كىشىلىك ھوقوقلاردىن، بەھرىمەن بولۇشقا ھەقلىق ئىكەنلىكىنى، شۇنداقلا ئۇلارنىڭ مەۋجۇتلۇقى، ساغلام تەرەققىياتى ۋە خەلق بولۇپ بىر پۈتۈن ئىلگىرىلىشى ئۈچۈن كەم بولسا بولمايدىغان كوللېكتىپ ھوقوقلارغا ئىگە ئىكەنلىكىنى مۇئەييەنلەشتۈرۈش ۋە ئېتىراپ قېلىش ئاساسىدا؛	hɛr bir jɛrlik χɛlq ʔɛzɑsiniŋ wɛ jɛrlik χɛlqlɛrniŋ het͡ʃqɑndɑq ʔɑjrimit͡ʃiliqqɑ dut͡ʃɑr bolmɑstin χɛlqʔɑrɑ qɑnunlɑrdɑ ʔetirɑp qelinʁɑn bɑrliq kiʃilik hoqoqlɑrdin , bɛhrimɛn boluʃqɑ hɛqliq ʔikɛnlikini , ʃundɑqlɑ ʔulɑrniŋ mɛwd͡ʒutluqi , sɑʁlɑm tɛrɛqqijɑti wɛ χɛlq bolup bir pytyn ʔilɡiriliʃi ʔyt͡ʃyn kɛm bolsɑ bolmɑjdiʁɑn kollektip hoqoqlɑrʁɑ ʔiɡɛ ʔikɛnlikini muʔɛjjɛnlɛʃtyryʃ wɛ ʔetirɑp qeliʃ ʔɑsɑsidɑ ,
184- ماددا سۇ بېرىش- ئىشلىتىش، گاز بېرىش- ئىشلىتىش، پار بېرىش- ئىشلىتىش، توختاملىرىدا توك بېرىش- ئىشلىتىش توختامىغا مۇناسىۋەتلىك بەلگىلىملەردىن پايدىلىنىدۇ.	jyz sɛksɛn tøtint͡ʃi mɑddɑ su beriʃ ʔiʃlitiʃ , ɡɑz beriʃ ʔiʃlitiʃ , pɑr beriʃ ʔiʃlitiʃ , toχtɑmliridɑ tok beriʃ ʔiʃlitiʃ toχtɑmiʁɑ munɑsiwɛtlik bɛlɡilimlɛrdin pɑjdilinidu .
مول ھوسۇللۇق ئەدىب 2019 - يىلى 5 - ئاينىڭ 16 - كۈنى (پەيشەنبە) ئۈرۈمچى ۋاقتى23:46 ئۆتكەندە 77 يېشىدا ئۈرۈمچىدە ئ‍الەمدىن ئۆتتى. 17 - ماي كۈنى ئۇنىڭ ۋاپاتىغا يۇرتى غۇلجىنىڭ موڭغۇلكۈرە ناھىيەسى شوتا يېزىسىدىن نىيازئەلى ئادىل ئاتلىق بىر شائىر تەرىپىدىن ئەسەرلىرىنىڭ ئىسمىلىرى بىلەن گۈزەل بىر مەرسىيە يېزىلدى.	mol hosulluq ʔɛdip ʔikki miŋ ʔon toqquzint͡ʃi jili bɛʃint͡ʃi ʔɑjniŋ ʔon ʔɑltint͡ʃi kyni pɛjʃɛnbɛ ʔyrymt͡ʃi wɑqti jiɡirmɛ ʔyt͡ʃ qiriq ʔɑltɛ ʔøtkɛndɛ jɛtmiʃ jɛttɛ jeʃidɑ ʔyrymt͡ʃidɛ ʔ ɑlɛmdin ʔøtti . ʔon jɛttint͡ʃi mɑj kyni ʔuniŋ wɑpɑtiʁɑ jurti ʁuld͡ʒiniŋ moŋʁulkyrɛ nɑhijɛsi ʃotɑ jezisidin nijɑzʔɛli ʔɑdil ʔɑtliq bir ʃɑʔir tɛripidin ʔɛsɛrliriniŋ ʔismiliri bilɛn ɡyzɛl bir mɛrsijɛ jezildi .
باشقىلار رويخەتكە ئالدۇرغان تاۋار ماركىسىنى ئىجازەتلىك ئىشلىتىشتە، رويخەتكە ئېلىنغان شۇ تاۋار ماركىسى ئىشلىتىلگەن تاۋارغا ئىجازەت بېرىلگۈچىنىڭ نامى ۋە تاۋار چىققان جاينى ئېنىق ئەسكەرتىش شەرت.	bɑʃqilɑr rojχɛtkɛ ʔɑldurʁɑn tɑwɑr mɑrkisini ʔid͡ʒɑzɛtlik ʔiʃlitiʃtɛ , rojχɛtkɛ ʔelinʁɑn ʃu tɑwɑr mɑrkisi ʔiʃlitilɡɛn tɑwɑrʁɑ ʔid͡ʒɑzɛt berilɡyt͡ʃiniŋ nɑmi wɛ tɑwɑr t͡ʃiqqɑn d͡ʒɑjni ʔeniq ʔɛskɛrtiʃ ʃɛrt .
46 – ماددا باج تاپشۇرغۇچىلاردىن باج قەرز ئەھۋالى كۆرۈلگەنلىكتىن مال - مۈلكىنى رەنە، گۆرۈ قويغانلىرى رەنە ئالغۇچى، گۆرۈ ئالغۇچىغا ئۆزىنىڭ باج قەرز ئەھۋالىنى چۈشەندۈرۈشى كېرەك. رەنە ئالغۇچى، گۆرۈ ئالغۇچى باج ئورگىنىدىن ئالاقىدار باج قەرز ئەھۋالىنى يەتكۈزۈشنى ئىلتىماس قىلسا بولىدۇ.	qiriq ʔɑltint͡ʃi mɑddɑ bɑd͡ʒ tɑpʃurʁut͡ʃilɑrdin bɑd͡ʒ qɛrz ʔɛhwɑli kørylɡɛnliktin mɑl mylkini rɛnɛ , ɡøry qojʁɑnliri rɛnɛ ʔɑlʁut͡ʃi , ɡøry ʔɑlʁut͡ʃiʁɑ ʔøziniŋ bɑd͡ʒ qɛrz ʔɛhwɑlini t͡ʃyʃɛndyryʃi kerɛk . rɛnɛ ʔɑlʁut͡ʃi , ɡøry ʔɑlʁut͡ʃi bɑd͡ʒ ʔorɡinidin ʔɑlɑqidɑr bɑd͡ʒ qɛrz ʔɛhwɑlini jɛtkyzyʃni ʔiltimɑs qilsɑ bolidu .
113-ماددا توختام تۈزۈشكەن ھەر ئىككى تەرەپ توختامغا خىلاپلىق قىلسا، ئۆزلىرىگە تېگىشلىك ھەق تەلەپ جاۋابكارلىقىنى ئۈستىگە ئېلىشى كېرەك.	jyz ʔon ʔyt͡ʃint͡ʃi mɑddɑ toχtɑm tyzyʃkɛn hɛr ʔikki tɛrɛp toχtɑmʁɑ χilɑpliq qilsɑ , ʔøzliriɡɛ teɡiʃlik hɛq tɛlɛp d͡ʒɑwɑbkɑrliqini ʔystiɡɛ ʔeliʃi kerɛk .
ئالدىنقى 2 تارماقتا بەلگىلەنگەن ماتورلۇق قاتناش ۋاسىتىسىنى مەست بولۇپ ھەيدەش قىلمىشىنى بىر يىل ئىچىدە سادىر قىلىپ، 2 قېتىمدىن ئارتۇق جازالانغانلارنىڭ ماتورلۇق قاتناش ۋاسىتىسى شوپۇرلۇق كىنىشكىسى بىكار قىلىنىدۇ. 5 يىلغىچە تىجارەتلىك ترنسپورت ماتورلۇق قاتناش ۋاسىتىسى ھەيدىشىگە يول قويۇلمايدۇ.	ʔɑldinqi ʔikki tɑrmɑqtɑ bɛlɡilɛnɡɛn mɑtorluq qɑtnɑʃ wɑsitisini mɛst bolup hɛjdɛʃ qilmiʃini bir jil ʔit͡ʃidɛ sɑdir qilip , ʔikki qetimdin ʔɑrtuq d͡ʒɑzɑlɑnʁɑnlɑrniŋ mɑtorluq qɑtnɑʃ wɑsitisi ʃopurluq kiniʃkisi bikɑr qilinidu . bɛʃ jilʁit͡ʃɛ tid͡ʒɑrɛtlik trnsport mɑtorluq qɑtnɑʃ wɑsitisi hɛjdiʃiɡɛ jol qojulmɑjdu .
(4) شەخسىي خىيانەت سوممسى 5000 يۈەنگە يەتمىسىمۇ قىلمىشى ئېغىرراق بولغانلارغا ئىككى يىلدىن تۆۋەن مۇددەتلىك قاماق جازاسى ياكى تۇتۇپ تۇرۇپ ئەمگەككە سېلىش جازاسى بېرىلىدۇ؛ قىلمىشى يېنىكرەك بولغانلارغا ئۆز ئورنى ياكى يۇقىرى دەرىجىلىك مەسئۇل ئورگان ئەھۋالغا قاراپ مەمۇرىي چارە كۆرىدۇ.	tøt ʃɛχsij χijɑnɛt sommsi bɛʃ miŋ jyɛnɡɛ jɛtmisimu qilmiʃi ʔeʁirrɑq bolʁɑnlɑrʁɑ ʔikki jildin tøwɛn muddɛtlik qɑmɑq d͡ʒɑzɑsi jɑki tutup turup ʔɛmɡɛkkɛ seliʃ d͡ʒɑzɑsi berilidu , qilmiʃi jenikrɛk bolʁɑnlɑrʁɑ ʔøz ʔorni jɑki juqiri dɛrid͡ʒilik mɛsʔul ʔorɡɑn ʔɛhwɑlʁɑ qɑrɑp mɛmurij t͡ʃɑrɛ køridu .
