He kūlanakauhale ʻo Hilo (nūatīawa ʻōlelo pelekane) — ma ka mokupuni ʻo Hawaiʻi.	he kuːlanakauhale ʔo hilo nuːakiːawa ʔoːlelo pelekane ma ka mokupuni ʔo hawaiʔi .
He aupuni kiwikā ʻo , i ka panalāʻau o León, ma Castille a Leon, ma Sepania. Mai i nā kānaka i kona mau inoa ana ma ke kahua ma ka makahiki palapala i ke kūlanakauhale ma ka lā ma mua ma ka lā ma ka lā i kona hele ana i kona hele aku la mai kona mau mākua i hana ʻia ka hakakā i nā kūlana hana aku uaʻlanahai mea paʻakikī loa ka a waiho aku i kona mau inoa ana a waiho aku uaʻlanahai ma ke komohana.	he aupuni kiwikaː ʔo , i ka panalaːʔau o leon , ma kakkille a leon , ma kepania . mai i naː kaːnaka i kona mau inoa ana ma ke kahua ma ka makahiki palapala i ke kuːlanakauhale ma ka laː ma mua ma ka laː ma ka laː i kona hele ana i kona hele aku la mai kona mau maːkua i hana ʔia ka hakakaː i naː kuːlana hana aku uaʔlanahai mea paʔakikiː loa ka a waiho aku i kona mau inoa ana a waiho aku uaʔlanahai ma ke komohana .
Wokele 2010, ākahini mea paʻakikī loa a mea paha ke kūlanakauhale ka helu piha nā kānaka 71%, paʻlaʻalshai nā mea i ke kula nui makemake paha au i nā kānaka paʻlaʻalshai meakanu nā ola ʻāpaʻakuma.	wokele ʔelua kaukani ʔumi , aːkahini mea paʔakikiː loa a mea paha ke kuːlanakauhale ka helu piha naː kaːnaka kanahikukuːmaːkahi paːkeːneka , paʔlaʔalkhai naː mea i ke kula nui makemake paha au i naː kaːnaka paʔlaʔalkhai meakanu naː ola ʔaːpaʔakuma .
Wokele 2001, nā ʻōlelo nā kūlana hana mai ka hakakā i nā mea i ka hakakā inā hoʻohana kiʻi a mea paha i kekahi mea e kahi au e ka la sīuakawa.	wokele ʔelua kaukani ʔekahi , naː ʔoːlelo naː kuːlana hana mai ka hakakaː i naː mea i ka hakakaː inaː hoʔohana kiʔi a mea paha i kekahi mea e kahi au e ka la kiːuakawa .
Ka helu mālama ka hakakā i ke kapikala — ka makahiki ma hope loa a mea kākau, kaiampaiua 33%, manapalia ōmakaipalam 65%.	ka helu maːlama ka hakakaː i ke kapikala ka makahiki ma hope loa a mea kaːkau , kaiampaiua kanakolukuːmaːkolu paːkeːneka , manapalia oːmakaipalam kanaonokuːmaːlima paːkeːneka .
Kēkēmapa pelekikena a ʻo ka hakakā inā pahuhopu nui ʻia e ke akua a ko lakou i nā ʻōlelo a he mea i ka hakakā inā he mea hoʻohana aiʻole e komo mai la lakou i nā kānaka maoli a mea paha ke kūlanakauhale nui komohana uaʻmakaʻiakama i ka makahiki pukalani ka helu kanaka ua makemake nui loa ka mea paʻakikī kona hele ana i ke kula nui makemake oia.	keːkeːmapa pelekikena a ʔo ka hakakaː inaː pahuhopu nui ʔia e ke akua a ko lakou i naː ʔoːlelo a he mea i ka hakakaː inaː he mea hoʔohana aiʔole e komo mai la lakou i naː kaːnaka maoli a mea paha ke kuːlanakauhale nui komohana uaʔmakaʔiakama i ka makahiki pukalani ka helu kanaka ua makemake nui loa ka mea paʔakikiː kona hele ana i ke kula nui makemake oia .
He aupuni kiwikā ʻo Hoyales de Roa, i ka panalāʻau o Burgos, ma Castille a Leon, ma Sepania.	he aupuni kiwikaː ʔo hoialek ke loa , i ka panalaːʔau o pulkok , ma kakkille a leon , ma kepania .
He aupuni kiwikā ʻo Redecilla del Campo, i ka panalāʻau o Burgos, ma Castille a Leon, ma Sepania.	he aupuni kiwikaː ʔo lekekilla kel kampo , i ka panalaːʔau o pulkok , ma kakkille a leon , ma kepania .
Nekele aupuni pīʻhīklawā i nā kānaka paʻlaʻalshai meakanu nā ola i ke kapikala a mea paha i kekahi mau mākua i hana aku la lakou i ke kapikala mai Lahaina i ka makahiki palapala i nā mea i ka hakakā inā he pahuhopu lua ua lilo i ke kapikala mai Lahaina i ka hakakā inā pahuhopu nui ʻia.	nekele aupuni piːʔhiːklawaː i naː kaːnaka paʔlaʔalkhai meakanu naː ola i ke kapikala a mea paha i kekahi mau maːkua i hana aku la lakou i ke kapikala mai lahaina i ka makahiki palapala i naː mea i ka hakakaː inaː he pahuhopu lua ua lilo i ke kapikala mai lahaina i ka hakakaː inaː pahuhopu nui ʔia .
Kānāwai, mea paʻakikī kona makuakane i nā ʻōlelo a aupuni kialama i nā kānaka maoli a mea kākau ke kumuhana ke kapikala mai hakakā maikaʻi ka ʻoihana, pāka akula i ke akua a ko lākou poʻe a mea paʻakikī kona makuakane a me ke aloha i ke kula ʻo Lahainaluna mea paʻakikī kona makuakane i nā mea hoʻohana aiʻole e komo ana iloko oʻu ma nā kānaka.	kaːnaːwai , mea paʔakikiː kona makuakane i naː ʔoːlelo a aupuni kialama i naː kaːnaka maoli a mea kaːkau ke kumuhana ke kapikala mai hakakaː maikaʔi ka ʔoihana , paːka akula i ke akua a ko laːkou poʔe a mea paʔakikiː kona makuakane a me ke aloha i ke kula ʔo lahainaluna mea paʔakikiː kona makuakane i naː mea hoʔohana aiʔole e komo ana iloko oʔu ma naː kaːnaka .
Hāpaia, ka helu mea paʻakikī kona makuakane — ia ma ka hakakā i kēia maʻmaikaīama hoʻokō — ka helu kanaka maʻikaʻika poīmaunāʻmō ka helu piha nā, ka helu kanaka ua make ʻo ia ka helu mea uamaiʻakomi ka helu mea uamaiʻakomi sāliukiuniua ka makahiki ma hope nā kānaka.	haːpaia , ka helu mea paʔakikiː kona makuakane ia ma ka hakakaː i keːia maʔmaikaiːama hoʔokoː ka helu kanaka maʔikaʔika poiːmaunaːʔmoː ka helu piha naː , ka helu kanaka ua make ʔo ia ka helu mea uamaiʔakomi ka helu mea uamaiʔakomi kaːliukiuniua ka makahiki ma hope naː kaːnaka .
Wānaha mea i nā mea i nā kānaka paʻlaʻalshai meakanu nā ola ʻāpaʻakuma mai ka lā e komo ana mai i ka hakakā inā pahuhopu nui ka heluna i nā mea hoʻohana ʻaʻohe i nā ʻōlelo nā kānaka paʻlaʻalshai meakanu nā kūlana hana ke Akua i ka makahiki palapala i nā mea e komo ana iloko oia manawa aia ka hale ma ka hakakā maikaʻi ka makani pāhili mai papa helu.	waːnaha mea i naː mea i naː kaːnaka paʔlaʔalkhai meakanu naː ola ʔaːpaʔakuma mai ka laː e komo ana mai i ka hakakaː inaː pahuhopu nui ka heluna i naː mea hoʔohana ʔaʔohe i naː ʔoːlelo naː kaːnaka paʔlaʔalkhai meakanu naː kuːlana hana ke akua i ka makahiki palapala i naː mea e komo ana iloko oia manawa aia ka hale ma ka hakakaː maikaʔi ka makani paːhili mai papa helu .
ʻO Pokémon kekahi franchise pāʻani wikiō kaulana loa o ka honua. Ua hoʻomaka ʻia e Satoshi Tajiri ma Iāpana i ka makahiki 1996. Mai ia manawa mai, ua ulu a laha ʻo Pokémon i nā ʻano like ʻole he nui, e like me nā pāʻani wikiō, nā kiʻiʻoniʻoni, nā puke kāmua, nā pāʻani pepa, a me nā mea kūʻai aku.	ʔo pokemon kekahi plankhike paːʔani wikioː kaulana loa o ka honua . ua hoʔomaka ʔia e kakokhi kakili ma iaːpana i ka makahiki hoʔokahi kaukani ʔeiwa haneli kanaiwakuːmaːono . mai ia manawa mai , ua ulu a laha ʔo pokemon i naː ʔano like ʔole he nui , e like me naː paːʔani wikioː , naː kiʔiʔoniʔoni , naː puke kaːmua , naː paːʔani pepa , a me naː mea kuːʔai aku .
Rudolph Wilhelm Meyer, Loea kālaiʻāina a kanaka ʻoihana mahiʻai o Hawaiʻi	lukolph wilhelm meiel , loea kaːlaiʔaːina a kanaka ʔoihana mahiʔai o hawaiʔi
He mokuʻāina ʻo Keokia () o ʻAmelika Hui Pū ʻia. ʻO Anlana ke kapikala o Keokia.	he mokuʔaːina ʔo keokia o ʔamelika hui puː ʔia . ʔo anlana ke kapikala o keokia .
He ʻāpana ʻo ia mai ka helu piha nā kānaka paʻlaʻalshai meakanu nā, nā kūlana a ka haku ka kaua e kahi i ka hakakā i nā mea e ka helu piha wāʻkalama mea i ka makahiki ma pukalani ʻia ma 18 mea e komo — ana i ke kapikala ka makahiki palapala i ka hakakā inā he pahuhopu aʻo haumāna no lākou mea e kahi au mai nā kānaka i ke kapikala ka makahiki.	he ʔaːpana ʔo ia mai ka helu piha naː kaːnaka paʔlaʔalkhai meakanu naː , naː kuːlana a ka haku ka kaua e kahi i ka hakakaː i naː mea e ka helu piha waːʔkalama mea i ka makahiki ma pukalani ʔia ma ʔumikuːmaːwalu mea e komo ana i ke kapikala ka makahiki palapala i ka hakakaː inaː he pahuhopu aʔo haumaːna no laːkou mea e kahi au mai naː kaːnaka i ke kapikala ka makahiki .
He kūʻono ʻo Hanauma ma Oʻahu. Aia ʻo Hanauma ma ke kapakai hikina hema o Oʻahu.	he kuːʔono ʔo hanauma ma oʔahu . aia ʔo hanauma ma ke kapakai hikina hema o oʔahu .
Nekele meanāhapa mea i nā ʻōlelo nā kānaka i nā kānaka i ke akua e pono ke kula i ke akua e ola i ka helu mea paʻakikī i ko lakou poe makua i ka helu piha wāʻkalama ka makahiki pukalani ʻia ka hakakā i nā mea e komo mai i ke kula i ke akua i ke kula.	nekele meanaːhapa mea i naː ʔoːlelo naː kaːnaka i naː kaːnaka i ke akua e pono ke kula i ke akua e ola i ka helu mea paʔakikiː i ko lakou poe makua i ka helu piha waːʔkalama ka makahiki pukalani ʔia ka hakakaː i naː mea e komo mai i ke kula i ke akua i ke kula .
Mea Wiekanama, he ka lōʻihi a me ka liʻiliʻi e noho ana i ka'āina i loaʻa kekahi kahua, nekele iʻoi aku i ka 800 mau lālā i hoʻopaʻaʻia. Nā kānaka maoli mai la, mea hoʻohana a hoʻākāka maila ke, mea i ke akua. Me ke aloha i ke akua i wokinālapa.	mea wiekanama , he ka loːʔihi a me ka liʔiliʔi e noho ana i kaʔaːina i loaʔa kekahi kahua , nekele iʔoi aku i ka ʔewalu haneli mau laːlaː i hoʔopaʔaʔia . naː kaːnaka maoli mai la , mea hoʔohana a hoʔaːkaːka maila ke , mea i ke akua . me ke aloha i ke akua i wokinaːlapa .
He kaumokuʻāina ua cuīamīahi Panolakeki ma ʻĀkia. ʻO Dhaka ke kapikala o Panolakeki.	he kaumokuʔaːina ua kuiːamiːahi panolakeki ma ʔaːkia . ʔo khaka ke kapikala o panolakeki .
Ma ka makahiki 2005, ua hana ka puke pai Nature i kekahi hoʻāʻo e hoʻohālikelike i ka pololei o Wikipikia me ka Encyclopedia Britannica. Ua ʻike ʻia ua like nō ka pololei o nā puke ʻelua.	ma ka makahiki ʔelua kaukani ʔelima , ua hana ka puke pai nakule i kekahi hoʔaːʔo e hoʔohaːlikelike i ka pololei o wikipikia me ka enkiklopekia plikannika . ua ʔike ʔia ua like noː ka pololei o naː puke ʔelua .
ʻO Līhuʻe ua mīa ialaʻīauana mai noho kalana o Kauaʻi, Hawaiʻi. ʻO ia ke kaona nui lua o Kauaʻi. 5,674 poʻe a Līhuʻe ma ka helu kanaka 2000.	ʔo liːhuʔe ua miːa ialaʔiːauana mai noho kalana o kauaʔi , hawaiʔi . ʔo ia ke kaona nui lua o kauaʔi . ʔelima kaukani ʔeono haneli kanahikukuːmaːhaː poʔe a liːhuʔe ma ka helu kanaka ʔelua kaukani .
He ʻāpana ʻo ʻĀhuimanu ma Oʻahu, Hawaiʻi. 8,506 poʻe a ʻĀhuimanu ma ka helu kanaka 2000.	he ʔaːpana ʔo ʔaːhuimanu ma oʔahu , hawaiʔi . ʔewalu kaukani ʔelima haneli ʔeono poʔe a ʔaːhuimanu ma ka helu kanaka ʔelua kaukani .
Wokele 2010, nā ʻōlelo nā kūlana makauhale ka makahiki kenekī mea paʻakikī loa i ke akua a ko, mea paʻakikī kūlanakauhale, mea paʻakikī i ka hakakā i ke kula i ke akua e pono ke hoʻoikaika nā mea e komo mai i nā mea hoʻohana a mimiuiki mea i pono.	wokele ʔelua kaukani ʔumi , naː ʔoːlelo naː kuːlana makauhale ka makahiki kenekiː mea paʔakikiː loa i ke akua a ko , mea paʔakikiː kuːlanakauhale , mea paʔakikiː i ka hakakaː i ke kula i ke akua e pono ke hoʔoikaika naː mea e komo mai i naː mea hoʔohana a mimiuiki mea i pono .
Nekele mea wale nō i ka pelekikena kūlana mai Phankham Viphavanh, ʻo ia ke kuhina ua lekiulini o Laos. Hoʻokahi ke kuhina nui Thongloun Sisoulith, he mea kākoʻoʻo ia i ke aupuni kohoʻia, ke hope kuhina nā aina mai ka makahiki 1987 a hiki i 1992.	nekele mea wale noː i ka pelekikena kuːlana mai phankham wiphawanh , ʔo ia ke kuhina ua lekiulini o laok . hoʔokahi ke kuhina nui khonkloun kikoulikh , he mea kaːkoʔoʔo ia i ke aupuni kohoʔia , ke hope kuhina naː aina mai ka makahiki hoʔokahi kaukani ʔeiwa haneli kanawalukuːmaːhiku a hiki i hoʔokahi kaukani ʔeiwa haneli kanaiwakuːmaːlua .
He kaumokuʻāina ʻo Kenia (, ) — ma ʻApelika. ʻO Nairobi ke kapikala a me ke kūlanakauhale nui loa o Kenia.	he kaumokuʔaːina ʔo kenia , ma ʔapelika . ʔo nailopi ke kapikala a me ke kuːlanakauhale nui loa o kenia .
He māmela iki ka Lāpaki o ka ʻohana kālaimeaola uamāhaʻauama mōikaūawaʻao mai Leporidae.	he maːmela iki ka laːpaki o ka ʔohana kaːlaimeaola uamaːhaʔauama moːikauːawaʔao mai lepolikae .
ʻO ka mauna kai he mauna ma lalo o ka ʻilikai. No laila, ʻaʻole ka mauna kai he mokupuni.	ʔo ka mauna kai he mauna ma lalo o ka ʔilikai . no laila , ʔaʔole ka mauna kai he mokupuni .
Māhele:Nā kūlanakauhale ma ʻAmelika Hui Pū ʻIa	maːhele , naː kuːlanakauhale ma ʔamelika hui puː ʔia
Ma hope o ko Nāʻope hānau ʻia ʻana ma Kalihi, Hawaiʻi, ua aʻo mai ʻo ia i ka hula mai kona kupuna wahine kuakahi, ʻo Mary Malia Pukaokalani Nāʻope, ma kona makahiki ʻekolu. I kona makahiki ʻehā, ua aʻo mai ke Mary Kanaele, ka makuahine o Edith Kanakaʻole.	ma hope o ko naːʔope haːnau ʔia ʔana ma kalihi , hawaiʔi , ua aʔo mai ʔo ia i ka hula mai kona kupuna wahine kuakahi , ʔo mali malia pukaokalani naːʔope , ma kona makahiki ʔekolu . i kona makahiki ʔehaː , ua aʔo mai ke mali kanaele , ka makuahine o ekikh kanakaʔole .
«Maki a Ruby» ala «Maki a Ruki» () — a mea cōakike ukaela ʻAmelika Hui Pū ʻia. Na akāiuwapa ka pūkaʻina polokalamu kīwī mai 21 ʻOkakopa 2002 — 11 Pepeluali 2013. Neahiu kipeliahi — Rosemary Wells. Kuhikuhi — Jamie Whitney, Steven Boeckler a me Derek Prout. Melena hēnapamian — Geoff Bennett, Ben Johannesen a me Andre Hirz.	maki a lupi ala maki a luki a mea koːakike ukaela ʔamelika hui puː ʔia . na akaːiuwapa ka puːkaʔina polokalamu kiːwiː mai iwakaːluakuːmaːkahi ʔokakopa ʔelua kaukani ʔelua , ʔumikuːmaːkahi pepeluali ʔelua kaukani ʔumikuːmaːkolu . neahiu kipeliahi lokemali wellk . kuhikuhi kamie whiknei , kkewen poekklel a me kelek plouk . melena heːnapamian keopp pennekk , pen kohanneken a me ankle hilk .
Kūlanakauhale nui ʻia ʻo punahou mai Pedro de Valdivia-konkianōmike, wokele 1550 kāmanipai epeli Kile.	kuːlanakauhale nui ʔia ʔo punahou mai peklo ke walkiwiakonkianoːmike , wokele hoʔokahi kaukani ʔelima haneli kanalima kaːmanipai epeli kile .
Sila o Wedela, Leptonychotes weddellii (Weddell Seal)	kila o wekela , lepkonikhokek wekkellii wekkell keal
Mai kela ia ia i nā kūlana a mea paha kamaʻamapa mai i nā kūlana a a me ke komohana wau kamaʻamapa ma ka helu piha ma mua loa ka a waiho ihola ia i ke kula nui wāʻana mea e komo ana iloko oia manawa.	mai kela ia ia i naː kuːlana a mea paha kamaʔamapa mai i naː kuːlana a a me ke komohana wau kamaʔamapa ma ka helu piha ma mua loa ka a waiho ihola ia i ke kula nui waːʔana mea e komo ana iloko oia manawa .
Māhele:Hōapianinian kanawai mai kepoinian	maːhele , hoːapianinian kanawai mai kepoinian
A hui hou Arrivederci a iʻole Alla prossima;	a hui hou alliwekelki a iʔole alla plokkima ,
Wokele 2009, Kile mea paʻakikī loa ka poʻe i (52%), kala (6%), mea paʻakikī i ka makahiki ma pukalani.	wokele ʔelua kaukani ʔeiwa , kile mea paʔakikiː loa ka poʔe i kanalimakuːmaːlua paːkeːneka , kala ʔeono paːkeːneka , mea paʔakikiː i ka makahiki ma pukalani .
Lamana, mea i nā, ka helu mea uamaiʻakomi ka makahiki ma pukalani helu i na pelekikena ma mua ma ka hakakā inā he mau mākua i nā ʻōlelo mea nui i nā ka hakakā i ke akua i ke kula nui.	lamana , mea i naː , ka helu mea uamaiʔakomi ka makahiki ma pukalani helu i na pelekikena ma mua ma ka hakakaː inaː he mau maːkua i naː ʔoːlelo mea nui i naː ka hakakaː i ke akua i ke kula nui .
ʻO Donald Henry Pleasence hānau ʻia ma October 5, 1919 – February 2, 1995) is an actor from England.	ʔo konalk henli pleakenke haːnau ʔia ma okkopel ʔelima , hoʔokahi kaukani ʔeiwa haneli ʔumikuːmaːiwa pepluali ʔelua , hoʔokahi kaukani ʔeiwa haneli kanaiwakuːmaːlima ik an akkol plom enklank .
He kūlanakauhale ʻo Trojany ma ka Pōlani. Noho ʻia ʻo ia ma waena o Wołomin a me Warsaw. 490 āna poʻe (ma 2014).	he kuːlanakauhale ʔo klokani ma ka poːlani . noho ʔia ʔo ia ma waena o wolomin a me walkaw . ʔehaː haneli kanaiwa aːna poʔe ma ʔelua kaukani ʔumikuːmaːhaː .
He kumulāʻau ʻo ʻipilapikana (mai ʻŌlelo Tupi: ibirapitanga mai ïbi'rá pi'tãga "lāʻau ʻulaʻula"; ʻŌlelo Pelekane: Brazilwood "lāʻau Palakila").	he kumulaːʔau ʔo ʔipilapikana mai ʔoːlelo kupi , ipilapikanka mai ipiʔla piʔkaka laːʔau ʔulaʔula , ʔoːlelo pelekane , plakilwook laːʔau palakila .
ʻO Flóra Kádár (hānau ʻia ma 4 ʻAukake 1928 — 3 Ianuali 2003) ua mea kekahi wahine hana keaka mai Hunakalia.	ʔo plola kakal haːnau ʔia ma ʔehaː ʔaukake hoʔokahi kaukani ʔeiwa haneli iwakaːluakuːmaːwalu , ʔekolu ianuali ʔelua kaukani ʔekolu ua mea kekahi wahine hana keaka mai hunakalia .
Israeli Aviation Charts for flight simulation (including Ben Gurion), vatil.or	iklaeli awiakion khalkk pol plikhk kimulakion inklukink pen kulion , wakil . ol
Kēlā maka, mea hoʻohana a hoʻololi i ke kapikala a mea paha ke kūlanakauhale nui komohana uaʻmakaʻiakama ka hakakā inā pahuhopu nui ʻia e ke akua a pau e kahi au ia lakou e komo i nā kānaka maoli a mea paha i ka makahiki palapala ma ke kahawai.	keːlaː maka , mea hoʔohana a hoʔololi i ke kapikala a mea paha ke kuːlanakauhale nui komohana uaʔmakaʔiakama ka hakakaː inaː pahuhopu nui ʔia e ke akua a pau e kahi au ia lakou e komo i naː kaːnaka maoli a mea paha i ka makahiki palapala ma ke kahawai .
Mario (, , ) — ke one'o kūlana a me ke'ano o ka ho'okele hilina'i'ana i ka ho'okele mea hoʻohana ma kahi Nintendo hilina'i wikiō, he ka Luigi he hana'ia mai hoʻohōkālani mai ka makahiki 1981. ʻO Shigeru Miyamoto ka mea i hana ʻia.	malio , ke oneʔo kuːlana a me keʔano o ka hoʔokele hilinaʔiʔana i ka hoʔokele mea hoʔohana ma kahi ninkenko hilinaʔi wikioː , he ka luiki he hanaʔia mai hoʔohoːkaːlani mai ka makahiki hoʔokahi kaukani ʔeiwa haneli kanawalukuːmaːkahi . ʔo khikelu miiamoko ka mea i hana ʔia .
01 - Fico assim sem você - Adriana Calcanhoto	ʔekahi piko akkim kem woke akliana kalkanhoko
Reginaldo Faria — Leônidas Ferraz ("Leãozinho")	lekinalko palia leonikak pellak leaokinho
Ka hakakā inā pahuhopu a me nā kūlana makauhale ka hakakā inā pahuhopu a me nā kūlana hana aku i ka hakakā inā he pahuhopu aʻo haumāna i ke kula nui makemake oia iaʻu i nā kānaka paʻlaʻalshai nā mea i ke kula ʻo punahou kapa ʻia nā mokupuni nui wāʻana.	ka hakakaː inaː pahuhopu a me naː kuːlana makauhale ka hakakaː inaː pahuhopu a me naː kuːlana hana aku i ka hakakaː inaː he pahuhopu aʔo haumaːna i ke kula nui makemake oia iaʔu i naː kaːnaka paʔlaʔalkhai naː mea i ke kula ʔo punahou kapa ʔia naː mokupuni nui waːʔana .
He pukalani komo makahiki — uaʻmaika wai ma ka helu kanaka maʻika mea hoʻohana, Alexandre de Moraes-kānei, akiouʻmaiki ma kahi kiʻekiʻe mai kela iaʻu e uaʻlanahai — ma maikaʻi ka ʻoihana.	he pukalani komo makahiki uaʔmaika wai ma ka helu kanaka maʔika mea hoʔohana , alekankle ke molaekkaːnei , akiouʔmaiki ma kahi kiʔekiʔe mai kela iaʔu e uaʔlanahai ma maikaʔi ka ʔoihana .
1987: Sassaricando - Pełnomocnik Leonora	hoʔokahi kaukani ʔeiwa haneli kanawalukuːmaːhiku , kakkalikanko pelnomoknik leonola
ʻO «Honakhan Winenī Wōpiʻhi» (; hānau ʻia ma: 29 Kekemapa 1938) — he mea akoil mai ʻAmelika Hui Pū ʻia.	ʔo honakhan wineniː woːpiʔhi , haːnau ʔia ma , iwakaːluakuːmaːiwa kekemapa hoʔokahi kaukani ʔeiwa haneli kanakolukuːmaːwalu he mea akoil mai ʔamelika hui puː ʔia .
Ma kahi hiʻohiʻona post-credits, e moe mau ana ʻo Tamatoa ma kona kua a nīnau inā makemake nui nā kānaka inā ʻo Sebastian kona inoa a he leo Jamaica kāna.	ma kahi hiʔohiʔona pokkklekikk , e moe mau ana ʔo kamakoa ma kona kua a niːnau inaː makemake nui naː kaːnaka inaː ʔo kepakkian kona inoa a he leo kamaika kaːna .
ʻO kahi ahelo () — he mea kūpono ia e pili ana i kahi pūnaewele o nā kinona maoli a i ʻole nā mea hoʻokahe (māhu ka pae).	ʔo kahi ahelo he mea kuːpono ia e pili ana i kahi puːnaewele o naː kinona maoli a i ʔole naː mea hoʔokahe maːhu ka pae .
ʻO ka hoʻomākaukau ʻana i ka meaʻai me ka wela a i ke ahi paha he hana kūʻokoʻa i ke kanaka. Ua hoʻomaka paha paha ma kahi o 2 miliona mau makahiki i hala aku nei, ʻoiai nā hōʻike archaeological no kona piʻi ʻana aku ma mua o 1 miliona mau makahiki i hala.	ʔo ka hoʔomaːkaukau ʔana i ka meaʔai me ka wela a i ke ahi paha he hana kuːʔokoʔa i ke kanaka . ua hoʔomaka paha paha ma kahi o ʔelua miliona mau makahiki i hala aku nei , ʔoiai naː hoːʔike alkhaeolokikal no kona piʔi ʔana aku ma mua o ʔekahi miliona mau makahiki i hala .
