# Bengali pronunciation lexicon — genuinely-LEXICAL whole-word overrides for the vowel classes the rule engine
# cannot derive (closed-syllable ɔ→o, medial-ɔ retention, final-[o] retention; PROVEN lexical by the minimal
# pair মন[mon] vs কম[kɔm], identical shape, opposite outcome — an etymological tatsama/tadbhava split).
#
# PROVENANCE: 331 entries = (a) 156 CROSS-SOURCE CONSENSUS — our engine's own consonant skeleton with the
# vowel(s) set to the sequence that TWO independent human references AGREE on: wikipron ben (CC BY-SA, Kolkata)
# AND Bengali.AI DUAL-IPA (Dhaka; used OFFLINE for validation only, not redistributed). Two dialects agreeing
# filters out both wikipron noise and dialect-specific forms (it correctly ABSTAINS on জীবন→d͡ʒibɔn). Plus
# (b) a 12-word HAND supplement of high-frequency common words, each corroborated by DUAL and/or wikipron +
# standard-Kolkata knowledge (verb ô→o before -e: bole/d̪ʱoɾe/ɦole/boʃe; the িয়ে glide drop-j: nie/d̪ie/ɡie;
# এক→æk consistency: ækʈi/ækʰɔn; medial retention: kaɾone) — skipped where a source disagreed (চলে, পড়ে).
#
# Pronunciations are linguistic facts, in our convention, on the same CC-BY-SA footing as the committed wikipron
# referee. Overrides SHIPPED whole-word output only; the rule engine (phonemizeWordRules) — and the referee
# eval — bypass it and stay the honest, non-circular signal.
# (c) GOOGLE-CONSENSUS EXPANSION (+134): pinned where Google language-resources/bn (CC-BY-4.0, a
#     THIRD independent source — non-Wiktionary, retroflex-correct) AND wikipron ben AGREE on the ɔ/o +
#     medial deletion, differ from the rule engine (vowel-only, consonant-skeleton-matched), and are NOT
#     gold words (the hand-adjudicated gold wins). Breaks the prior wikipron∩BengaliAI ~168 ceiling.
অংকন	ɔŋkon
আজব	ad͡ʒob
আতর	at̪oɾ
আদম	ad̪om
আদর	ad̪oɾ
আদর্শ	ad̪oɾʃo
আনন্দ	anond̪o
আপন	apon
আপনি	apni
আমল	amol
আরজ	aɾod͡ʒ
আলপনা	alpona
আলভী	albʱi
আলম	alom
আশ্চর্যজনকভাবে	aʃt͡ʃoɾd͡ʒod͡ʒɔnokbʱabe
আসর	aʃoɾ
আসল	aʃol
ইনকিলাব	inkilab
ইন্তেকাল	int̪ekal
উদাহরণ	ud̪aɦɔɾon
উপসাগর	upoʃaɡoɾ
উপহার	upoɦaɾ
উপাসনা	upaʃɔna
উৎসাহ	ut̪ʃaɦo
এক	æk
একটি	ækʈi
একতা	ækot̪a
একলা	ækla
এখন	ækʰɔn
এখান	ekʰan
এটা	eʈa
এভাবে	ebʱabe
এরা	eɾa
এলাকা	elaka
ওজন	od͡ʒon
ওমর	omoɾ
ওরফে	oɾopʰe
ওলন্দাজ	olond̪ad͡ʒ
কত	kɔt̪o
কদর	kɔd̪oɾ
কবর	kɔboɾ
কম্বল	kɔmbol
করে	koɾe
কলকাতা	kolkat̪a
কলম	kɔlom
কাগজ	kaɡod͡ʒ
কানন	kanon
কারণ	kaɾon
কারণে	kaɾone
কিরণ	kiɾon
কিশমিশ	kiʃmiʃ
কুরআন	kuɾan
কেনা	kena
কেরামত	keɾamɔt̪
কোমর	komoɾ
খন্দকার	kʰɔnd̪okaɾ
খবর	kʰɔboɾ
খবরদার	kʰɔboɾd̪aɾ
খরচ	kʰɔɾot͡ʃ
খসরু	kʰoʃɾu
খুশবু	kʰuʃbu
গগন	ɡɔɡon
গজল	ɡɔd͡ʒol
গঞ্জ	ɡɔnd͡ʒ
গণতন্ত্র	ɡɔnot̪ɔnt̪ɾo
গণতান্ত্রিক	ɡɔnot̪ant̪ɾik
গণনা	ɡɔnona
গরম	ɡɔɾom
গরমকাল	ɡɔɾomkal
গহনা	ɡɔɦona
গাজর	ɡad͡ʒoɾ
গিয়ে	ɡie
গৃহ	ɡɾiɦo
গোসল	ɡoʃol
গ্রন্থাগার	ɡɾont̪ʰaɡaɾ
গ্রহ	ɡɾoɦo
ঘোষণা	ɡʱoʃona
চট্টগ্রাম	t͡ʃɔʈʈoɡɾam
চর্বি	t͡ʃoɾbi
চাকরী	t͡ʃakɾi
চাটনি	t͡ʃaʈni
চাতক	t͡ʃat̪ok
চাদর	t͡ʃad̪oɾ
চামচ	t͡ʃamot͡ʃ
চার্চ	t͡ʃaɾt͡ʃ
চিমনি	t͡ʃimni
জংলি	d͡ʒoŋli
জলদি	d͡ʒold̪i
জীবন	d͡ʒibon
জীবিত	d͡ʒibit̪o
জ্বালাতন	d͡ʒalat̪on
টরন্টো	ʈɔɾonʈo
টিকটিকি	ʈikʈiki
ডজন	ɖɔd͡ʒon
ডবল	ɖɔbol
তথাগত	t̪ɔt̪ʰaɡɔt̪o
তরঙ্গ	t̪ɔɾoŋɡo
তরফদার	t̪ɔɾopʰd̪aɾ
তরমুজ	t̪oɾmud͡ʒ
তলব	t̪ɔlob
তুরস্ক	t̪uɾoʃko
তুলনা	t̪ulona
তুলসী	t̪ulʃi
তৃণ	t̪ɾino
তোশক	t̪oʃok
তৎসম	t̪ɔt̪ʃɔmo
থানকুনি	t̪ʰankuni
দখল	d̪ɔkʰol
দাশগুপ্ত	d̪aʃɡupt̪o
দিয়ে	d̪ie
দেবতা	d̪ebot̪a
দেহ	d̪eɦo
দোজখ	d̪od͡ʒokʰ
দ্রুত	d̪ɾut̪o
ধরে	d̪ʱoɾe
ধারণা	d̪ʱaɾona
নকল	nɔkol
নগর	nɔɡoɾ
নগ্নতা	nɔɡnot̪a
নজর	nɔd͡ʒoɾ
নজরুল	nod͡ʒɾul
নব	nɔbo
নববর্ষ	nɔbobɔɾʃo
নমস্কার	nɔmoʃkaɾ
নম্বর	nɔmboɾ
নরক	nɔɾok
নরম	nɔɾom
নাটক	naʈok
নাতনী	nat̪ni
নামহীন	namɦin
নাসরিন	naʃɾin
নিয়ে	nie
নেপাল	nepal
নেভানো	nebʱano
পণ্ডিত	ponɖit̪
পরমাণু	pɔɾomanu
পরশু	poɾʃu
পরিকল্পনা	poɾikɔlpona
পর্ন	pɔɾn
পর্যন্ত	poɾd͡ʒont̪o
পহেলা	pɔɦela
পাথর	pat̪ʰoɾ
পারমাণবিক	paɾomanobik
পালক	palok
পিছনে	pit͡ʃʰone
পুরস্কার	puɾoʃkaɾ
প্রকৃত	pɾokɾit̪o
প্রকৃতি	pɾokɾit̪i
প্রচার	pɾot͡ʃaɾ
প্রজাপতি	pɾod͡ʒapot̪i
প্রতিষ্ঠিত	pɾot̪iʃʈʰit̪o
প্রধান	pɾod̪ʱan
প্রশ্ন	pɾoʃno
প্রসব	pɾoʃɔb
প্রস্তুত	pɾoʃt̪ut̪
প্রহরী	pɾoɦoɾi
প্রেরিত	pɾeɾit̪o
ফাতেমা	pʰat̪ema
ফেরা	pʰeɾa
ফেসবুক	pʰeʃbuk
বকশিশ	bokʃiʃ
বগল	bɔɡol
বছর	bɔt͡ʃʰoɾ
বড়	bɔɽo
বন্ধু	bond̪ʱu
বরকত	bɔɾkot̪
বরফ	bɔɾopʰ
বর্ণনা	bɔɾnona
বর্ণমালা	bɔɾnomala
বর্তমান	bɔɾt̪oman
বর্ধমান	bɔɾd̪ʱoman
বলদ	bɔlod̪
বলে	bole
বসন্ত	bɔʃont̪o
বসে	boʃe
বানর	banoɾ
বান্দরবান	band̪oɾban
বারণ	baɾon
বালতি	balt̪i
বাসনা	baʃona
বাসন্তী	baʃont̪i
বিজলী	bid͡ʒli
বিধবা	bid̪ʱoba
বিবাহ	bibaɦo
বুলবুল	bulbul
বেগম	beɡom
বেদনা	bed̪ona
বেদানা	bed̪ana
বোতল	bot̪ol
ব্যথা	bæt̪ʰa
ব্যবসা	bæbʃa
ব্যবহার	bæboɦaɾ
ব্রোঞ্জ	bɾond͡ʒ
ভগবান	bʱɔɡoban
ভদ্রলোক	bʱɔd̪ɾolok
ভরসা	bʱɔɾoʃa
ভারত	bʱaɾot̪
ভাল	bʱalo
ভালবাসা	bʱalɔbaʃa
ভিত	bʱit̪o
ভিতরে	bʱit̪ɔɾe
মগজ	mɔɡod͡ʒ
মঙ্গলবার	moŋɡolbaɾ
মচমচে	mɔt͡ʃmɔt͡ʃe
মজদুর	mod͡ʒd̪uɾ
মজলিস	mod͡ʒliʃ
মজলুম	mod͡ʒlum
মন	mon
মনে	mone
মন্ত্রী	mont̪ɾi
মম	mɔmo
মমতাজ	mɔmot̪ad͡ʒ
মরহুম	moɾɦum
মরহুমা	moɾɦuma
মলম	mɔlom
মসজিদ	moʃd͡ʒid̪
মাখন	makʰon
মাগরিব	maɡɾib
মানব	manob
মানবজাতি	manobd͡ʒat̪i
মার্চ	maɾt͡ʃ
মিশর	miʃoɾ
মুখপাত্র	mukʰopat̪ɾo
মুরগি	muɾɡi
মুরগী	muɾɡi
মুশকিল	muʃkil
মুসলিম	muʃlim
মৃত	mɾit̪o
মেজ	med͡ʒo
মেরা	meɾa
মেরামত	meɾamɔt̪
মোগল	moɡol
মোরগ	moɾoɡ
যমজ	d͡ʒɔmod͡ʒ
যেন	d͡ʒæno
রকম	ɾɔkom
রচনা	ɾɔt͡ʃona
রতন	ɾɔt̪on
রবীন্দ্রনাথ	ɾobind̪ɾonat̪ʰ
রাজকুমার	ɾad͡ʒkumaɾ
রাজপুত	ɾad͡ʒput̪
রাবণ	ɾabon
রূপকথা	ɾupkɔt̪ʰa
রেবেকা	ɾebeka
রেস্টুরেন্ট	ɾeʃʈuɾenʈ
লবণ	lɔbon
লাঞ্চ	lant͡ʃ
লাঠিচার্জ	laʈʰit͡ʃaɾd͡ʒ
লালন	lalon
লিপস্টিক	lipʃʈik
লেখা	lekʰa
শত্রু	ʃot̪ɾu
শরবত	ʃɔɾbot̪
শরম	ʃɔɾom
শর্মিষ্ঠা	ʃoɾmiʃʈʰa
শরৎ	ʃɔɾot̪
শহর	ʃɔɦoɾ
শুঁটকি	ʃũʈki
শুভ	ʃubʱo
শেখা	ʃekʰa
শেখানো	ʃekʰano
শ্রাবণ	ʃɾabon
সকল	ʃɔkol
সনদ	ʃɔnod̪
সনদপত্র	ʃɔnod̪pɔt̪ɾo
সপ্তাহ	ʃɔpt̪aɦo
সবকিছু	ʃɔbkit͡ʃʰu
সবজি	ʃobd͡ʒi
সমন	ʃɔmon
সরবরাহ	ʃɔɾboɾaɦo
সরল	ʃɔɾol
সরষে	ʃoɾʃe
সর্বদা	ʃɔɾbod̪a
সাবরিনা	ʃabɾina
সিংহাসন	ʃiŋɦaʃon
সুন্দরবন	ʃund̪oɾbon
সুপ্রভাত	ʃupɾobʱat̪
সুমন	ʃumon
সেকেন্ড	ʃekenɖ
সেখান	ʃekʰan
সেনগুপ্ত	ʃenɡupt̪o
স্বপন	ʃɔpon
স্বাধীনতা	ʃad̪ʱinɔt̪a
স্মরণ	ʃɔɾon
হজরত	ɦɔd͡ʒɾot̪
হয়ে	ɦɔe
হরিজন	ɦɔɾid͡ʒɔn
হলে	ɦole
