# Khmer exceptions lexicon — word → canonical IPA for the RULE-UNPREDICTABLE residual (inherent-vowel length,
# internal-doubling, Pali/Sanskrit loanword vowels). Consumed dict-first by the shipped phonemizeWord ONLY;
# phonemizeWordRules (the referee-eval signal) never reads it, so the eval stays non-circular.
# Source: wikipron khm_khmr broad (human, from Wiktionary — CC-BY-SA 3.0), modal transcription per word,
# canonicalised (breve→plain, short-low a→ɑ, optional medial ʔ dropped). Generated by tools/gen/build-km-lexicon.mts.
កក្កដា	kɑkɑɗaː
កាហ្សាក់	kaːzɑʔ
កាហ្សាក់ស្ថាន	kaːzɑkstʰaːn
កាឡូរី	kaːlouriː
កាំង	kɑŋ
កាំរស្មី	kɑmreəsməj
កិច្ចការ	kəckaː
កិត្តិ	kətteʔ
កិត្តិគុណ	kəttekun
កិត្តិយស	kəttejɔːh
កិរិយា	kerijaː
កិរិយាសព្ទ	kerijaːsɑp
កិរិយាស័ព្ទ	kerijaːsɑp
កិរ្តិ៍	keː
កិលេស	keleːh
កីឡាករ	kəjlaːkɑː
កីឡាដ្ឋាន	kəjlaːtʰaːn
កុងទ័រ	koŋtoə
កុងហ្គោ	koŋɡoː
កុដធារិកា	kottʰiərikaː
កុដិ	kot
កុណ្ឌល	konɗuəl
កុបកម្ម	kopɑkɑm
កុបករ	kopɑkɑː
កុម្ភការ	kompʰeəkaː
កុម្ភការី	kompʰeəkaːrəj
កុម្ភៈ	kompʰeəʔ
កុម្មុយនិស្ត	kommujnɨh
កុម្ម៉ង់	kommɑŋ
កុរ	kao
កុលវគ្គ	kolɑʋeəʔ
កុលសម័្ពន្ធ	kolɑsɑmpoən
កុសល	kosɑl
កុហក	kohɑʔ
កុំព្យូទ័រ	kompʰjuːtoə
កូដកម្ម	kouɗɑkɑm
កូតង់សង់	koutɑŋsɑŋ
កូតឌីវ័រ	koutɗiːʋoə
កូម័រ	koumoə
កូលេស្តេរ៉ុល	kouleisteːrol
កូវ	kəw
កូវ៉ាឡង់	kouʋaːlɑŋ
កូសាំងស៊ីន	kousɑŋsiːn
កូសេកង់	kouseːkɑŋ
កូស្តារីកា	koustaːriːkaː
កូអង់ស៊ីម	kouʔɑŋsiːm
កៀហ្ស៊ីស៊ីស្ថាន	kiəziːsiːstʰaːn
កេតុ	kaet
កេនតាក់គី	keːntɑkiː
កេស	kaeh
កេសនា	keːsɑnaː
កេសរ	kaesɑː
កែភេទ	kaepʰeit
កែលវិន	kaelʋɨn
កែះ	kaeh
កោដិ	kaot
កោណន្ត	kaonɑn
កោមល	kaomɑl
កោរីល	kaoriːl
កោសិកា	kaosekaː
កៅទណ្ឌ	kawtoən
កៅយក់	kawjuəʔ
កំជាប់	kɑmcoəp
កំញម	kɑmɲɑːm
កំដរ	kɑmɗɑː
កំណ	kɑmnɑː
កំណក	kɑmnɑːʔ
កំណត់	kɑmnɑt
កំណប់	kɑmnɑp
កំទេច	kɑmtɨc
កំបត់	kɑmɓɑt
កំបាំង	kɑmɓɑŋ
កំប៉ង់	kɑmpoŋ
កំពង់	kɑmpuəŋ
កំពត	kɑmpɔːt
កំពប់	kɑmpup
កំពស់	kɑmpuəh
កំភរ	kɑmpʰɔː
កំភេម	kɑmpʰeim
កំរ	kɑmrɑː
កំរង	kɑmrɑːŋ
កំរប	kɑmrɑːp
កំរិត	kɑmrɨt
កំលាំង	kɑmlɑŋ
កំលៅ	kɑmlɨw
កំហក	kɑmhɑʔ
ក្ដាំងងា	kɗɑŋŋiə
ក្តារ	kɗaː
ក្តី	kɗəj
ក្តុក	kɗok
ក្ទម្ព	kʰtɔːm
ក្បាំង	kɓɑŋ
ក្រខ្វក់	krɑʋɑʔ
ក្រញី	krɑɲiː
ក្រញូង	krɑɲuːŋ
ក្រពេញ	krɑpɨɲ
ក្រម	krɑm
ក្រមុំ	krɑmum
ក្រវង់	krɑʋuəŋ
ក្រសាំង	krɑsɑŋ
ក្រសាំងទាប	krɑːsɑŋtiəp
ក្រឡេច	krɑləc
ក្រាមរមាស	kraːmrɔːmiəh
ក្រាហ្វ	kraːp
ក្រាំង	krɑŋ
ក្រុកៗ	krokkrok
ក្សត្រិយានី	kʰsɑtrejaːniː
ក្សត្រិយ៍	kʰsɑt
ក្សេត្រ	kʰsaet
ក្សេត្រវិទ	kʰseːtrɑʋɨt
ក្សេត្រវិទ្យា	kʰseːtrɑʋitʰjiə
ក្ស័យ	kʰsaj
ខណៈ	kʰɑnɑʔ
ខត្តិវង្ស	kʰɑtteʋuəŋ
ខនិជ	kʰɑnɨc
ខមាទោស	kʰɑːmiətoːh
ខិត្តវិទ្យា	kʰəttɑʋɨtjiə
ខុននិចធីខិត	kʰonnɨctʰiːkʰət
ខូវប៊	kʰəwɓɔː
ខេត្ត	kʰaet
ខេមរ	kʰeːmɑrɑʔ
ខេមររដ្ឋ	kʰeːmɑrɑroət
ខេមរៈ	kʰeːmɑrɑʔ
ខ្ជាក់	kʰceəʔ
ខ្ជាប់	kʰcoəp
ខ្ទាស់	kʰtoəh
ខ្ទិះ	kʰtih
ខ្ទេច	kʰtɨc
ខ្នុរ	kʰnao
ខ្ពុរ	kpul
ខ្មាំង	kʰmɑŋ
ខ្មែរូបនីយកម្ម	kʰmaeruːpɑniːjeəkɑm
ខ្លងខែក	kʰlɑŋkʰaek
ខ្លាំង	kʰlɑŋ
គង្គ	kuəŋkeəʔ
គង្គា	kuəŋkiə
គង្វាល	kuəŋʋiəl
គជ	keəceəʔ
គណ	kuən
គណនា	keənɑniə
គណនី	kuənnɑniː
គណនីយដ្ឋាន	keənɑniːjɑttʰaːn
គណនេយ្យ	keənɑnɨj
គណនេយ្យករ	keənɑnɨjkɑː
គណន៍	kuən
គណបក្ស	keənɑpɑʔ
គណិត	kuənnetɑʔ
គណិតវិទ្យា	kuənnetɑʋɨtjiə
គណិតសាស្ត្រ	keənetɑsaːh
គណៈ	keənɑʔ
គណៈកម្មាធិការ	keənɑkɑmmaːtʰikaː
គណៈបេសកកម្ម	keənɑpeːsɑkɑkɑm
គណៈប្រតិភូ	keənɑprɑtepʰuː
គតិ	keəteʔ
គន្ថការ	kuəntʰɑkaː
គន្ធរស	koəntʰeəruəh
គន្លង	kuənlɔːŋ
គន្លាក់	kuənleəʔ
គន្លឹះ	kuənlɨh
គប់	kup
គភ៌	koə
គមនាគមន៍	kumməniəkum
គម្ដែង	kumɗaeŋ
គម្ពីរ	kumpiː
គម្យស្ថាន	keəmjeəstʰaːn
គម្រាម	kumriəm
គម្រោង	kumroːŋ
គម្លាត	kumliət
គរុ	keəruʔ
គល់រាំង	kuəlreəŋ
គហណសាល	keəhɑnɑsaːl
គហបតី	keəhɑpɑɗəj
គាត់	koət
គាប់	koəp
គារវរូប	kiəreəʋeəruːp
គារវៈ	kiəreəʋeəʔ
គាំង	keəŋ
គិរី	kiriː
គិលាន	kiliən
គិលានុបដ្ឋាក	kiliənupɑttʰaːʔ
គិលានុបដ្ឋាន	kiliənupɑttʰaːn
គិលានុបដ្ឋាយិកា	kiliənupɑttʰaːjikaː
គីង្គក់	kiːŋkuəʔ
គីតិកា	kiːtekaː
គីហ្កាលី	kiːɡaːliː
គីឡូ	kiːlou
គីឡូក្រាម	kiːloukraːm
គីឡូម៉ែត្រ	kiːloumaet
គីឡូវ៉ាត់	kiːlouʋɑt
គុណធម៌	kunnɑtʰoə
គុណនាម	kunɑniəm
គុណភាព	kunɑpʰiəp
គុលិកា	kulikaː
គុហា	kuhiə
គូឡុំ	kuːlom
គេ	kei
គេង	keiŋ
គេច	kɨc
គេហជន	keihɑcuən
គេហសាមិនី	keihɑsaːminiː
គេហ៍	kei
គោឃាតដ្ឋាន	koːkʰiətɑttʰaːn
គោចរ	koːcɑː
គោតម	koːɗɑːm
គោរព	koːrup
គោលិកា	koːlikaː
គំនង់	kumnuəŋ
គំនន់	kumnuən
គំនរ	kumnɔː
គំនាប់	kumnoəp
គំរប	kumrɔːp
គំរប់	kumrup
គំហើញ	kumhəːɲ
គ្រន្ថី	kruəntʰəj
គ្រប់	krup
គ្រលេងគ្រលោង	krɔːleiŋkrɔːloːŋ
គ្រហស្ថ	krɔhoəh
គ្រាន់	kroən
គ្រាប់	kroəp
គ្រិស្ទាន	kristiən
គ្រុឌ	krut
ឃរ	kʰeəreəʔ
ឃរណី	kʰeəreəniː
ឃាត់	kʰoət
ឃាំង	kʰeəŋ
ឃោស	kʰoːsɑʔ
ឃោសនា	kʰoːsɑnaː
ឃោស្នា	kʰoːsɑnaː
ឃ្លាំង	kʰleəŋ
ឃ្លេ	kʰlei
ងប់	ŋup
ងាប់	ŋoəp
ង៉ាវៗ	ŋaːwŋaːw
ចក្ខុ	cɑkʰoʔ
ចក្រ	cɑkrɑʔ
ចក្រពត្តិ	cɑkrɑpoət
ចក្រភព	cɑkrɑpʰup
ចក្រយាន	cɑkrɑjiən
ចង្រៃ	cɑŋrɨj
ចង្វាត	cɑŋʋiət
ចង្វែក	cɑŋʋɛːk
ចតុប្បច្ច័យ	cɑtoppɑccaj
ចតុមុខ	cɑtommuk
ចត្រង្គ	cɑttrɑŋ
ចត្វ័ង្ស	cɑttʰʋɑŋ
ចន្ទគិរី	cɑnkiriː
ចម្រើន	cɑmrəːn
ចម្លើយ	cɑmləːj
ចម្លែក	cɑmlɛːk
ចរក	cɑreəkɑʔ
ចរចា	cɑcaː
ចរណៃ	cɑːrɑnaj
ចរាចរ	cɑraːcɑː
ចរាចរណ៍	cɑraːcɑː
ចរិយា	cɑrejaː
ចលន	cɑlɑnɑʔ
ចលនវត្ថុ	cɑlɑnɑʋoəttʰoʔ
ចលាចល	cɑlaːcɑl
ចល័ត	cɑlɑt
ចាក់ចុល	cɑcol
ចាយ៉	caːjɑː
ចារបុរស	caːrɑɓorɑh
ចាំង	cɑŋ
ចា៎ះ	caːh
ចិន្តបណ្ឌិត	centɑɓɑnɗɨt
ចីពរ	cəjpɔː
ចីវរ	cəjʋɑː
ចីវរកាល	cəjʋɑreəkaːl
ចុតហ្មាយ	cotmaːj
ចេញ	cəɲ
ចេតនា	ceːtɑnaː
ចេតសិក	ceːtɑsək
ចេតិយ	caetɗəj
ចេត្រ	caet
ចេស្ដា	caehsɗaː
ចៃដន់	cajɗɑn
ចៃដន្យ	cajɗɑn
ចោទកៈ	caoteəkɑʔ
ចំណង	cɑmnɑːŋ
ចំណង់	cɑmnɑŋ
ចំណត	cɑmnɑːt
ចំណរ	cɑmnɑː
ចំណេញ	cɑmnəɲ
ចំបាំង	cɑmɓɑŋ
ចំពាក់	cɑmpeəʔ
ចំឡង	cɑmlɑːŋ
ចំអក	cɑmʔɑːʔ
ច៎ា	caː
ច័ន	cɑn
ច្នៃប្រឌិត	cʰnajprɑːɗɨt
ច្បារមន	cɓaːmɔːn
ច្បាំង	cɓɑŋ
ច្របល់	crɑɓɑl
ច្រវាក់	crɑʋeəʔ
ច្រាំង	crɑŋ
ច្រាំងភ្នំ	crɑŋpʰnum
ច្រែះ	craeh
ឆន្ទៈ	cʰɑnteəʔ
ឆមាស	cʰɑmiəh
ឆវ	cʰɑʋeəʔ
ឆវគ្រឹះ	cʰɑʋeəkrɨh
ឆាំង	cʰɑŋ
ឆា៎	cʰɑ
ឆ្នាំង	cʰnɑŋ
ឆ្លាំង	cʰlɑŋ
ឆ្លូវ	cʰləw
ជគត	ceəkuət
ជង្គង់	cuəŋkuəŋ
ជង្ឃ	ceəŋkʰeəʔ
ជង្រុក	cuəŋruk
ជញ្ជក់	cuəɲcuəʔ
ជញ្ជាំង	cuəɲceəŋ
ជញ្ជីង	cuəɲciːŋ
ជញ្ជូន	cuəɲcuːn
ជណ្ដើរ	cuənɗɑə
ជន	cuən
ជនក	ceəneəkɑʔ
ជនឃាត	ceəneəkʰiət
ជននាថ	ceəneəniət
ជនបទ	cuənneəɓɑt
ជនី	ceəniː
ជន្មា	ceəneəmiə
ជន្ល	cuənlɔː
ជន្លូស	cuənluːh
ជប៉ុន	ceəpon
ជប់	cup
ជម្ងឺ	cumŋɨː
ជម្នះ	cumneəh
ជម្ពូ	cumpuː
ជម្រាប	cumriəp
ជម្រុះ	cumruh
ជម្រើស	cumrəːh
ជម្រះ	cumreəh
ជម្លោះ	cumluəh
ជយោ	ceəjoː
ជរា	ceəriə
ជលធរ	cuəlleətʰɔː
ជាក់	ceəʔ
ជាតក	ciətɑʔ
ជាតិ	ciət
ជាតិលិង្គ	ciətelɨŋ
ជាតូបនីយកម្ម	ciətoupɑniːjeəkɑm
ជានុ	ciənuʔ
ជាន់	coən
ជាប់	coəp
ជាលិកា	ciəlikaː
ជិះ	cih
ជីរក្រសាំងទំហំ	ciːkrɑːsɑŋtumhɑm
ជីរណា	ciːreənaː
ជីវជាតិ	ciːʋeəciət
ជីវភាព	ciːʋeəpʰiəp
ជីវា	ciːʋaː
ជីវាណូ	ciːʋaːnou
ជីវៈ	ciːʋeəʔ
ជីវ័ន	ciːʋoən
ជីវ្ហា	cɨwhaː
ជីស៊ីណូ	ciːsiːnou
ជូតការក៍	cuːtɑkaː
ជូបហ្សាណា	cuːpzaːnaː
ជេដ្ឋា	ceittʰaː
ជេរ	cei
ជេស្ឋ	ceih
ជំនន់	cumnuən
ជំនាន់	cumnoən
ជំនិះ	cumnih
ជំពាក់	cumpeəʔ
ជំរក	cumrɔːʔ
ជំហប់	cumhup
ជំហាន	cumhiən
ជំហឺ	cumhɨː
ជ័យ	cɨj
ជ័រ	coə
ជ្រលក់	crɔluəʔ
ជ្វីហ្វ	cʰʋiːf
ឈប់	cʰup
ឈ្ងប់	cʰŋup
ឈ្នាន់	cʰnoən
ឈ្នាប់	cʰnoəp
ញាក់	ɲeəʔ
ញាតិ	ɲiət
ញាតិភាព	ɲiətpʰiəp
ញាតិវង្ស	ɲiətʋɑŋsɑʔ
ញាត់	ɲoət
ញាប់	ɲoəp
ញាស់	ɲoəh
ញាំង	ɲeəŋ
ញូប្រុនវិក	ɲuːprunʋɨk
ញូវជឺស៊ី	ɲɨwcɨːsiː
ញូវម៉ិកស៊ីកូ	ɲɨwməksiːkou
ញូវហាំសៀ	ɲɨwhɑmsiə
ញេច	ɲɨc
ញ័រ	ɲoə
ដងក្ដារ	ɗɑŋkɗaː
ដងរែក	ɗɑŋrɛːk
ដង្កូវ	ɗɑŋkəw
ដណ្ដប់	ɗɑnɗɑp
ដាំងដុង	ɗɑŋɗoŋ
ដើមប្រេងខ្យល់	kʰcɑl
ដេញ	ɗəɲ
ដេរីវេ	ɗeːriːʋei
ដេឡាវែរ	ɗeːlaːʋɛː
ដំណក	ɗɑmnɑːʔ
ដំណក់	ɗɑmnɑʔ
ដំណល់	ɗɑmnɑl
ដំប	ɗɑmɓɑː
ដំបង	ɗɑmɓɑːŋ
ដំបេ	ɗɑmɓaw
ដ្ឋាន	tʰaːn
ឋានវតី	tʰaːnʋɔtəj
ឋានៈ	tʰaːnɑʔ
ឋិតិ	tʰeteʔ
ឌាកា	ɗaːkaː
ឌាក៌នី	ɗiəkeniː
ឌីជីថល	ɗiːciːtʰɑːl
ឌីណូស័រ	ɗiːnousoə
ឌុយប្លាំង	ɗujpʰlɑŋ
ឌូស្ហាន់បេ	ɗuːsɑnɓeː
ណាស៊ីនិយម	naːsiːnijum
ណាំង	nɑŋ
ណេប៊ុយឡា	neːɓujlaː
តក្ក	tɑkɑʔ
តក្កកម្ម	tɑkɑkɑm
តង់ត្ណិ	tɑŋ
តង់ហ្សានី	tɑŋzaːniː
តង្វាយ	tɑŋʋiəj
តជ្ជារី	tɑːcciəriː
តន័យ	tɑnaj
តន្តិភាសា	ɗɑntepʰiəsaː
តន្តី	ɗɑntəj
តន្ត្រី	ɗɑntrəj
តម្រង់	tɑmrɑŋ
តម្រូវ	tɑmrɨw
តម្រូវការ	tɑmrɨwkaː
តម្រេក	tɑmreik
តម្លឹង	tɑmlɨŋ
តលភូមិ	tɑlɑpʰuːm
តារាវលី	taːraːʋeəliː
តាល	taːlɑʔ
តាលព្រឹក្ស	taːlɑprɨk
តាលិន	taːlɨn
តាលីបង់	taːliːɓɑŋ
តាវៅ	taːʋɨw
តាសក់	tɑsɑʔ
តាហ៊រ	taːhɔː
តាំង	tɑŋ
តាំងម៉ែ	tɑŋmae
តិកនិក	təknɨk
តិចនេចូម	təcneicoum
តិណជាតិ	tenɑciət
តិណពេទ្យ	tenɑpɛːt
តិណភូមិ	tenɑpʰuːm
តិន្នីស	tənniːh
តិរច្ឆាន	terɑccʰaːn
តីរវិថី	terɑʋitʰəj
តុ	tok
តុកៗ	toktok
តុរិយាង្គ	torijaːŋ
តុល	ɗol
តុល្យ	toljeəʔ
តុស្តី	tohsɗəj
តូហ្គោ	touɡoː
តួកគី	tuəkiː
តួរមិនីស្ថាន	tuəminiːstʰaːn
តេហេរ៉ង់	teːheːrɑŋ
តេឡេហ្វូន	teːleːfoun
តែនត្ណិ	taen
តែន្និស	taennɨh
តៃប៉ិ	tajpeʔ
តំណ	tɑmnɑː
តំណក់	tɑmnɑʔ
តំបន់	tɑmɓɑn
តំពក់	tɑmpuəʔ
តំរង់	tɑmrɑŋ
ត្រងោល	trɑŋoːl
ត្រង់ស្វមម៉ាទ័រ	trɑŋsʋɑːmmaːtoə
ត្រជាក់	trɑceəʔ
ត្រពាំង	trɑpeəŋ
ត្រសក់	trɑsɑʔ
ត្រឡប់	trɑlɑp
ត្រាក់ទ័រ	trɑtoə
ត្រីចក្រយាន	trəjcɑkrɑjiən
ត្រីបុរី	triːporiː
ត្រីមាស	trəjmiəh
ត្រីសព្ទ	trəjsɑp
ត្រូវ	trəw
ត្រៃចីវរ	trajcəjʋɔː
ត្រៃបិដក	trajɓeɗɑːʔ
ត្រៈ	trɑʔ
ថង់យាម	tʰɑŋjiəm
ថនៈ	tʰɑnɑʔ
ថលជលិក	tʰɑlɑceəlɨk
ថវិកា	tʰɑʋikaː
ថាមពល	tʰaːmɑpuəl
ថាលគមន៍	tʰaːleəkum
ថាលសព្ទ	tʰaːleəsɑp
ថាំង	tʰɑŋ
ថេរវាទ	tʰeːrɑʋiət
ថៃឡង់	tʰajlɑŋ
ថៃឡង់ដ៍	tʰajlɑŋ
ថ្កូវ	tʰkəw
ថ្នល់	kʰnɑl
ថ្នាំង	tʰnɑŋ
ថ្ពាល់	tpoəl
ទក្សិណ	teəksən
ទង្គិច	tuəŋkɨc
ទង្វើ	tuəŋʋəː
ទណ្ឌ	toən
ទណ្ឌឃាដ	toənɗeəkʰiət
ទណ្ឌវាទ	toənɗeəʋiət
ទទេ	tɔtei
ទន្ត	toən
ទន្ទឹង	tuəntɨŋ
ទន្ទឹម	tuəntɨm
ទន្ទេញ	tuəntɨɲ
ទន្ទ្រាន	tuəntriən
ទន្លាប់	tuənloəp
ទន្លេ	tuənlei
ទន្សាយ	tuənsaːj
ទប់	tup
ទម្ងន់	tumŋuən
ទម្រ	tumrɔː
ទម្រង់	tumruəŋ
ទម្លាក់	tumleəʔ
ទម្លាប់	tumloəp
ទស	teəsɑʔ
ទសវត្សរ៍	teəsɑʋoət
ទស្សន	tuəhsɑnɑʔ
ទស្សនកិច្ច	tuəhsɑnɑkəc
ទស្សនា	tuəhsɑnaː
ទស្សនាទាន	tuəhsɑnaːtiən
ទស្សនាវដ្ដី	tuəhsɑnaːʋɑtɗəj
ទស្សនិកជន	tuəhsɑnɨkcuən
ទស្សនីយភាព	tuəhsɑniːjeəpʰiəp
ទឡ្ហភាព	toəlhɑpʰiəp
ទឡ្ហីករណៈ	toəlhəjkɑrɑnɑʔ
ទឡ្ហៈ	toəlhɑʔ
ទាក់	teəʔ
ទាត់	toət
ទាន់	toən
ទាន់ហន់	toənhɑn
ទាយក	tiəjuəʔ
ទារក	tiəruəʔ
ទារិកា	tiərikaː
ទាល់	toəl
ទាហាន	tiəhiən
ទាំង	teəŋ
ទិដ្ឋន័យ	tɨttʰɑːnɨj
ទិដ្ឋភាព	tɨttʰɑpʰiəp
ទិដ្ឋាការ	tɨttʰaːkaː
ទិដ្ឋិ	tɨttʰeʔ
ទិតៀន	titiən
ទិនិកា	tinikaː
ទិន្នន័យ	tɨnneənɨj
ទិន្នផល	tɨnneəpʰɑl
ទិវង្គត	tiʋuəŋkuət
ទិវា	tiʋiə
ទិសមានាការ	tisɑmaːnaːkaː
ទីឃៈ	tiːkʰeəʔ
ទីន័ង	tiːneəŋ
ទីហ្វុង	tiːfoŋ
ទុតិយតា	tutejɑtaː
ទុយ៌ស	tureəjuəh
ទុរេន	turein
ទុរ្ភិក្ស	tureəpʰɨk
ទូរទស្សន៍	tuːreətuəh
ទូរលិខ	tuːreəlɨk
ទូរលេខ	tuːreəleːk
ទូរសព្ទ	tuːreəsɑp
ទូរស័ព្ទ	tuːreəsɑp
ទួរណឺវិស	tuənəʋɨh
ទេ	tei
ទេញ	tɨɲ
ទេត្យ	tɛːt
ទេព	teip
ទេពតា	teipɗaː
ទេពារក្ស	teipiəreəʔ
ទេពី	teipiː
ទេព្តា	teipɗaː
ទេវ	teiʋeəʔ
ទេវតា	teiʋeətaː
ទេវទត្ត	teiʋeətoət
ទេវទូត	teiʋeətuːt
ទេវនាគរី	teiwniəkeəriː
ទេវី	teiʋiː
ទេស	teih
ទេសចរ	teihsɑcɑː
ទេសចរណ៍	teihsɑcɑː
ទេសនា	teihsnaː
ទេសពណ៌នា	teihpoənɑniə
ទេសភាព	teisɑpʰiəp
ទេសាភិបាល	teisaːpʰiɓaːl
ទេស្នា	teihsnaː
ទោចក្រយាន	toːcɑkrɑjiən
ទៅ	toh
ទំងន់	tumŋuən
ទំនង	tumnɔːŋ
ទំនប់	tumnup
ទំនាក់	tumneəʔ
ទំនាល់	tumnoəl
ទំនេរ	tumnei
ទំពក់	tumpuəʔ
ទំពាំង	tumpeəŋ
ទំព័រ	tumpoə
ទំរ	tumrɔː
ទំរង់	tumruəŋ
ទំរេត	tumreit
ទំលាក់	tumleəʔ
ទំលាប់	tumloəp
ទំហំ	tumhum
ទ័ព	toəp
ទ័យ	tɨj
ទ្រទ្រង់	truətruəŋ
ទ្រនាប់	trɔnoəp
ទ្រព្យ	troəp
ទ្រាំង	treəŋ
ទ្រឹស្ដី	trɨhsɗəj
ទ្រឹស្ដីបទ	trɨhsɗəjɓɑt
ទ្រេត	treit
ទ្វយវាទ	tʰʋeəjeəʋiət
ទ្វេ	tʰʋei
ទ្វេធា	tʰʋeitʰiə
ទ្វេរភេទ	tʰʋeipʰeit
ធន	tʰeəneəʔ
ធនក្ស័យ	tʰeəneəkʰsaj
ធនាគារ	tʰeəniəkiə
ធនាគារិក	tʰeəniəkiərɨk
ធនិន	tʰeənɨn
ធនុ	tʰeənuʔ
ធមនី	tʰeəmeəniː
ធម៌	tʰoə
ធម្ម	tʰoəm
ធម្មជាតិ	tʰoəmmeəciət
ធម្មតា	tʰoəmmeəɗaː
ធម្មនុញ្ញ	tʰoəmmeənuɲ
ធម្មារម្មណ៍	tʰoəmmiəroəm
ធរណី	tʰɔːreənəj
ធរណីទ្វារ	tʰɔːreənəjtʋiə
ធាក់	tʰeəʔ
ធាតុ	tʰiət
ធាត់	tʰoət
ធីតា	tʰiːɗaː
ធុត្តជន	tʰuttɑcuən
ធុរៈ	tʰureəʔ
ធូណា	tʰuːnaː
ធូមកេតុ	tʰuːmeəkaet
ធេង	tʰeiŋ
ធោវនដ្ឋាន	tʰoːʋeənɑttʰaːn
ធំ	tʰom
ធ្នាក់	tʰneəʔ
ធ្នាប់	tʰnoəp
ធ្មប់	tʰmup
ធ្មេញ	tʰmɨɲ
ធ្យូង	kʰcuːŋ
ធ្លាក់	tʰleəʔ
ធ្លាប់	tʰloəp
នក្ខត្ត	neəkʰɑt
នក្ខត្តយោគ	neəkʰɑttajoːk
នក្សត្រ	neəksɑt
នខា	neəkʰaː
នគរ	neəkeəreəʔ–
នគរូបនីយកម្ម	nɔːkɔːruːpɑniːjeəkɑm
នគរោបនីយកម្ម	nɔkɔroːpəniːjəkɑm
នង្គ័ល	luəŋkoəl
នត្តា	noəttaː
នព្វរ័តន៍	nuppeəroət
នភា	neəpʰiə
នភាល័យ	neəpʰiəlɨj
នយស្តិ	neəjuəh
