# Khmer THIRD-TIER lexicon — word → IPA, from en.wiktionary via kaikki.org.
#
# SOURCE:  https://kaikki.org/dictionary/Khmer/ (wiktextract of en.wiktionary)
# LICENSE: CC BY-SA 4.0 — Wiktionary content; see LICENSES/PROVENANCE.md §3 (share-alike fence).
#
# ⚠ SAME LINEAGE AS THE WIKIPRON REFEREE (both are en.wiktionary), which is why it is a LEXICON and can never
#   be a referee. Its value is coverage: words the wikipron scrape lacks — newer entries and compounds written
#   solid. It contains NO word the referee covers (those are settled: km-lexicon.tsv or rules-correct), and
#   ONLY words where the rules disagree with the converted reading (the exceptions principle).
# ⚠ CONSULTED AFTER km-lexicon.tsv AND BEFORE km-lexicon-dict.tsv: wikipron-verified wins, then same-lineage
#   human readings, then the converted Google dictionary, then rules.
# ⚠ NOT IPA from {{km-IPA}} — wiktextract does not expand it — but the human-curated headword romanization,
#   converted by tools/gen/build-km-kaikki-lexicon.mts (validated 97.7% against wikipron on 6,564 shared words).
#
# Regenerate: npx tsx tools/gen/build-km-kaikki-lexicon.mts <kaikki.org-dictionary-Khmer.jsonl>
# ENTRIES: 557
កកកុញ	kkoɲ
ថែរក្សា	tʰaereəʔksaː
ថ្ងៃនេះ	tʰŋajnih
ថ្ងៃព្រហស្បតិ៍	tʰŋajprɔːhoəh
ថ្ងៃរះ	tʰŋajreəh
ថ្ងៃអង្គារ	tʰŋajʔɑːʔɑŋkiə
ថ្នាំលាប	tʰnamliəp
ថ្នាំលេប	tʰnamleip
ថ្ពាល់គូថ	tʰpoəlkuːt
ថ្លៃទេ	tʰlajtei
ទង់ដែង	tuəŋɗaeŋ
ទំងន់សុទ្ធ	tumŋuənsot
ទទួលខុសត្រូវ	tɔtuəlkʰohtrəw
ទទួលស្គាល់	tɔtuəlskoəl
ទម្រង់ស័ក្តិ	tumruəŋsak
ទល់ដែន	tuəlɗaen
ទសបញ្ញត្តិ	tuəhɓaɲɲat
ទស្សនវិជ្ជា	tuəhsaʔnaʔʋicciə
ទាក់ទង	teəktɔːŋ
ទាក់ទាញ	teəktiəɲ
ទាំងមូល	teəŋmuːl
ទិសខាងលិច	tɨhkʰaːŋlɨc
ទីនេះ	tiːnih
ទីម័រខាងកើត	tiːmoəkʰaːŋkaət
ទឹកធ្លាក់	tɨktʰleək
ទឹកមាត់	tɨkmoət
ទឹករងៃ	tɨkrɔːrɔŋɨj
ទឹកអម្ពិល	tɨkʔɑːʔɑmpɨl
ទូកកម្សាន្ត	tuːkkɑːkɑmsaːn
ទូរពុម្ព	tuːreəʔpum
ទូរសារ	tuːreəʔsaː
ទោចក្រយានយន្ត	toːcakkrɑjiənjuən
ទ្រង់គភ៌	truəŋkoə
ទ្រនាប់ជើង	trɔːnoəpcəːŋ
ទ្រាំទ្រ	troəmtrɔː
ធំធាត់	tʰomtʰoət
ធនុហត្ថ	tʰeəʔnuʔhat
ធំសម្បើម	tʰomsɑːsɑmɓaəm
ធំឡើង	tʰomlaəŋ
ធាតុបន្ទាល់គ្រីញ៉ា	tʰiətɓɑːɓɑntoəlkriːɲaː
ធាតុអាកាស	tʰiətʔaːkaːh
ធ្ងន់ធ្ងរ	tʰŋuəntʰŋɔː
ធ្លាក់ចុះ	tʰleəkcoh
ធ្លាក់ឈាម	tʰleəkciəm
ធ្វើថ្លង់ធ្វើគ	tʰʋəːtʰlɑŋtʰʋəːkɔː
ធ្វើឡើង	tʰʋəːlaəŋ
នគរបាល	nɔkɔːɓaːl
នំប៉័ងអឌ្ឍចន្ទ	numɓâŋʔâɗtʰôcnât
នំបញ្ចុក	numɓɑːɲcok
ន័យដូច	nɨjɗouc
ន័យផ្ទុយ	nɨjpʰtuj
នរណា	nɔːnaː
នំអន្សម	numʔɑːʔɑnsɑːm
នំអន្សមចេក	numʔɑːʔɑnsɑːmceːk
នំអន្សមជ្រូក	numʔɑːʔɑnsɑːmcruːk
នាំចេញ	noəmcəɲ
នាមរនាប់	niəmrɔːrɔnoəp
និយមន័យ	nijumnɨj
និយាយលេង	nijiəjleiŋ
បកប្រែ	ɓɑːkprae
បកសំឡេង	ɓɑːksɑmleːŋ
បកស្រាយ	ɓɑːksraːj
បងប្រុស	ɓɑːŋproh
បង់លុយ	ɓɑŋluj
បងស្រឡាញ់អូន	ɓɑːŋsrɑːlaɲʔoun
បងស្រី	ɓɑːŋsrəj
បង្ខិតបង្ខំ	ɓɑŋkʰətɓɑːɓɑŋkʰɑm
បង្អែរបង្អង់	ɓɑŋʔaeɓɑːɓɑŋʔɑŋ
បញ្ចុះតម្លៃ	ɓɑɲcohtɑmlaj
បញ្ចុះបញ្ចូល	ɓɑɲcohɓɑːɓɑɲcoul
បញ្ចេញទឹកកាម	ɓɑɲcəɲtɨkkaːm
បញ្ចេញសំឡេង	ɓɑɲcəɲsɑmleːŋ
ប័ណ្ណបើកបររថយន្ត	ɓanɓaəkɓɑːruətjuən
ប៉ះទង្គិច	pahtɔːtuəŋkɨc
បទភ្លេង	ɓɑtpʰleiŋ
បន្តិចបន្តូច	ɓɑntəcɓɑːɓɑntouc
បន្តិចបន្តួច	ɓɑntəcɓɑːɓɑntuəc
បន្ទាយផ្ដុំជន	ɓɑntiəjpʰɗomcuən
បបូរមាត់	ɓɑɓoumoət
បំពង់ក	ɓɑmpuəŋkɑː
ប៉ះពាល់	pahpoəl
បរបាញ់	ɓɑːɓaɲ
បរិវត្ត	ɓɑːreʋoət
បាញ់ក្រុមជម្រើសជាតិ	ɓaɲkromcɔːcumrəːhciət
បាញ់ធ្លាក់	ɓaɲtʰleək
បារីស៊ីហ្គា	ɓaːrəjsiːɡiə
បាល់ទាត់	ɓaltoət
បុណ្យភ្ជុំបិណ្ឌ	ɓonpʰcumɓən
បុណ្យវិសាខបូជា	ɓonʋisaːkɓouciə
បុរាណវត្ថុវិទ្យា	ɓoraːnʋoəttʰoʔʋitjiə
បែកញើស	ɓaekɲəːh
បោះមេ	ɓɑhmei
ប្រគេន	prɑːkein
ប្រឆាំងនឹង	prɑːcaŋnɨŋ
ប្រជាជាតិ	prɑːciəciət
ប្រទេសកំណើត	prɑːteihkɑmnaət
ប្រព័ន្ធព្រះអាទិត្យ	prɑːpoənpreəhʔaːtɨt
ប្រភពទឹក	prɑːpʰuptɨk
ប្រវត្តិវិទ្យា	prɑːʋoətʋitjiə
ប្រាក់ពិន័យ	prakpinɨj
ប្រាសាទលលៃ	ɓrasatlôlej
ផាត់ពណ៌	pʰatpoə
ផ្គត់ផ្គង់	pʰkuətpʰkuəŋ
ផ្ទះលក់ថ្នាំ	pʰteəhluəktʰnam
ផ្លូវវង់មូល	pʰləwʋuəŋmuːl
ផ្លេកបន្ទោរ	pʰleːkɓɑːɓɑntou
ផ្លែសន្ទូច	pʰlaesɑːsɑntuːc
ផ្សងព្រេង	pʰsɑːŋpreiŋ
ផ្សព្វផ្សាយ	pʰsɑppʰsaːj
ពងទឹក	pɔːŋtɨk
ពងស្វាស	pɔːŋsʋaːh
ពង្រ	puəŋrɔː
ពន្លឺចរាចរណ៍	pɔːnlɨːcɑːraːcɑː
ពាក់ព័ន្ធ	peəkpoəntʰɔː
ពាក្យឆ្លើយ	piəkclaəj
ពាក្យនិយាយលេង	piəknijiəjleiŋ
ពាក្យប្រៀប	piəkpriəp
ពាក្យសំដី	piəksɑmɗəj
ពាក្យសន្យា	piəksɑnjaː
ពិឃាតបូជា	pikʰiətɓouciə
ពុកមាត់	pukmoət
ពុករលួយ	pukrɔːrɔluəj
ពូជនិយម	puːcnijum
ពួកគេ	puəkkei
ពួកអ្នក	puəkneək
ពេលណា	peilnaː
ព្រះធម៌	preəhtʰoə
ព្រមព្រៀង	prɔːmpriəŋ
ព្រះមហាក្សត្រ	preəhmeəʔhaːksat
ព្រះរាជាណាចក្រកម្ពុជា	preəhriəciənaːcakkampuciə
ព្រះវររាជបិតា	preəhʋɔreəʔriəcɓəjɗaː
ព្រះវររាជមាតា	preəhʋɔreəʔriəcmiəɗaː
ព្រះវររាជអយ្យកា	preəhʋɔːreəʔriəcʔajjaʔkaː
ព្រហ្មវិហារ	prumʋihiə
ព្រះអង្គម្ចាស់	preəhʔɑŋmcah
ព្រិលគ្រាប់	prɨlkroəp
ព្រៃនគរ	prɨjnɔːnɔkɔː
ភរភូត	pʰɔːpʰuːt
ភាពក្រ	pʰiəpkrɑː
ភាពឆោឡោ	pʰéapcʰaôlaô
ភាពមែន	pʰéapmên
ភាពល្ងង់ខ្លៅ	pʰiəplŋuəŋkʰlaw
ភាពស្រាត	pʰéapsrat
ភាសាផ្លូវការ	pʰiəsaːpʰləwkaː
ភ្ញាក់ផ្អើល	pʰɲeəkpʰʔaəl
ភ្លាមនោះ	pʰliəmnuh
ភ្លេងជាតិ	pʰleiŋciət
មកដល់	mɔːkɗɑl
មកពី	mɔːkpiː
មករដូវ	mɔːkrɔːrɔɗəw
មជ្ឈិមបូព៌ា	maccɨmɓoupiə
មន្ទីរពេទ្យ	muəntiːpɛːt
មានគភ៌	miənkoə
មាន់ឈ្មោល	moəncmoːl
មាន់ញី	moənɲiː
មានន័យ	miənnɨj
មានរដូវ	miənrɔːrɔɗəw
ម៉ាស៊ីនច្រៀង	maːsɨncriəŋ
ម៉ាស៊ីនថតកុន	maːsɨntʰɑːtkon
ម៉ាស៊ីនថតរូប	maːsɨntʰɑːtruːp
ម៉ាស៊ីនបោកគក់	maːsɨnɓaokkuək
ម៉ាស៊ីនបោសសំអាត	maːsɨnɓaohsɑmʔaːt
ម៉ាស៊ីនស្ទូច	maːsɨnstuːc
មិនសូវ	mɨnsəw
មិនអីទេ	mɨnʔəjtei
មិនអ្វីទេ	mɨnʔaʔʋəjtei
មួយពាន់	muəjpoən
មេការ	meikaː
មេដែក	meiɗaek
មេមាន់	meimoən
មេរៀន	meiriən
ម៉ែត្រការ៉េ	maetkaːreː
ម្ដងទៀត	mɗɑːŋtiət
ម្ភៃមួយ	mpʰejmuoj
ម្ហូបតាមផ្លូវ	mhouptaːmpʰləw
យកចិត្តទុកដាក់	jɔːkcəttukɗak
យកចេញ	jɔːkcəɲ
យន្តហោះ	juənhɑh
យប់យន់	jupjuən
យល់ព្រម	juəlprɔːm
យល់សប្តិ	juəlsɑp
យសស័ក្តិ	juəhsak
យេស៊ូគ្រិស្ត	jeisuːkrɨh
យោធពល	joːtʰeəʔpuəl
រកឃើញ	rɔːkkʰəːɲ
រកមើល	rɔːkməːl
រកស៊ី	rɔːksiː
រងគ្រោះ	rɔːŋkruəh
រងចាំ	rɔːŋcam
រង់ចាំ	ruəŋcam
រងាប់	rɔŋoəp
រង្វង់មូល	ruəŋʋuəŋmuːl
រញ្ជួយផែនដី	ruəɲcuəjpʰaenɗəj
រដ្ឋធម្មនុញ្ញ	roəttʰoəmmeəʔnuɲ
រត់ផាសក្រញាំ	ruətpʰaːhkrɑːɲoəm
រថយន្ត	ruətjuən
រថអគ្គិសនី	ruətʔakkisaʔniː
រថអូស	ruətʔouh
រន្ធជញ្ជាំង	ruəncɔːcuəɲceəŋ
របៀបបន្លឺសូរ	rɔɓiəpɓɑːnlɨːsou
រលកខ្លីហួសកំរិត	rɔlɔːkkʰləjhuəhkɑmrɨt
រលាក់ដៃ	rɔleəkɗaj
រវីរវល់	rɔʋiːrɔːrɔʋuəl
រស់នៅ	ruəhnɨw
រស្សសញ្ញា	roəhsaʔsaɲɲaː
រហើររហាយ	rɔhaərɔːrɔhaːj
រាជាណាចក្ររួម	riəciənaːcakruəm
រ៉ាប់រង	raprɔːŋ
រិះគន់	rihkuən
រូបសព្វតា	ruɓsâpwôta
រូបិយវត្ថុរុស្សី	ruːpəjjeəʔʋoəttʰoʔruhsəj
រួចពីមាត់	ruəcpiːmoət
រួចហើយ	ruəcaəj
រួមភេទ	ruəmpʰeit
រឿងអាស្រូវ	rɨəŋʔaːsrəw
រៀបការហើយឬនៅ	riəpkaːhaəjrɨːnɨw
រៀបរាប់	riəproəp
លក់ដូរ	luəkɗou
លក់ដេញថ្លៃ	luəkɗəɲtʰlaj
លង់ហិន	luəŋhən
លំដាប់សក្តិ	lumɗapsak
លត់ភ្លើង	luətpʰləːŋ
លទ្ធិកុម្មុយនិស្ត	lattʰiʔkommujnɨh
លន់តួ	luəntuə
លលាតែ	leəʔliətae
លាឈប់	liəcup
លិខិតឆ្លងដែន	likʰətclɑːŋɗaen
លោកអ្នកឧកញ៉ា	loːkneəkʔokɲaː
ល្ងង់ខ្លៅ	lŋuəŋkʰlaw
ល្បែងលេងសើច	lɓaeŋleiŋsaəc
វង់ក្រចក	ʋuəŋkrɑːcɑːk
វង់បាញ់	ʋuəŋɓaɲ
វង់មូល	ʋuəŋmuːl
វចនានុក្រមវិគី	ʋeəʔcaʔnaːnukrɑmʋikiː
វរជន	ʋɔːcuən
វាលពិឃាត	ʋiəlpikʰiət
វិសម	ʋisaʔmaʔ
វិសមភាព	ʋisaʔmaʔpʰiəp
វេលាណា	ʋeiliənaː
ឝ	shâ
ឞ	ssô
សក់ទង់ដែង	sɑktuəŋɗaeŋ
ស៊កសៀត	sɔːksiət
សងគុណ	sɑːŋkun
សងសឹក	sɑːŋsək
សំណប៉ាហាំង	sɑmnɑːpaːhaŋ
សំណភក់	sɑmnɑːpʰuək
សំណាងល្អ	sɑmnaːŋlʔɑː
សត្វលា	satliə
សត្វល្អិត	satlʔət
សទ្ទភូត	satteəʔpʰuːt
សន្លាង	sɑnliəŋ
សំបកឈើ	sɑmɓɑːkcəː
សំពត់ខែន	sɑmpuətkʰaen
សព្វសាយ	sɑpsaːj
សភាតំណាងរាស្ត្រ	saʔpʰiətɑmnaːŋriəh
សមរម្យ	sɑmrɑm
សមុទ្រការ៉ាប៊ីន	saʔmotkaːraːɓiːn
សម្រេចចិត្ត	sɑːmraccət
សម្លាញ់និយម	sɑmlaɲnijum
សំយោគសញ្ញា	saŋjoːksaɲɲaː
សរសៃឈាមក្រហម	sɑːsajciəmkrɑːhɑːm
សរសៃឈាមខ្មៅ	sɑːsajciəmkʰmaw
សរសៃពួរ	sɑːsajpuə
សរសៃរយាងក	sɑːsajrɔːrɔjiəŋkɑː
សហរដ្ឋអាមេរិក	saʔhaʔroətʔaːmeirɨk
សាច់មាន់	sacmoən
សាធារណរដ្ឋឆែក	saːtʰiəreəʔnaʔroətcaek
សាធារណរដ្ឋដូមីនីក	saːtʰiəreəʔnaʔroətɗoumiːniːk
សាលាខេត្ត	saːlaːkʰaet
សាហារ៉ាខាងលិច	saːhaːraːkʰaːŋlɨc
សឺមីកុងឌុចទ័រ	səɨmiːkoŋɗuctoə
សុខសប្បាយជាទេ	soksapɓaːjcietei?
សុគតិ	keəʔteʔ
សូមកុំជក់បារី	soumkomcuəkɓaːrəj
សួស្ដីឆ្នាំថ្មី	suəhsɗəjcnamtʰməj
សៀមរាប	siəmriəp
សេចក្ដីស្រឡាញ់	sackɗəjsrɑːlaɲ
សេរីនិយម	seːrəjnijum
សោយទិវង្គត	saojtiʋuəŋkuət
សោយរាជ្យ	saojriəc
ស្ករកៅស៊ូ	skɑːkawsuː
ស្ងោរមាន់ង៉ាំង៉ូវ	sŋaomoənŋamŋəw
ស្ដាប់បង្គាប់	sɗapɓɑːɓɑŋkoəp
ស្ថានីយ៍ប្រេងសាំង	stʰaːniːpreːŋsaŋ
ស្នងភ្នែក	snɑːŋpʰnɛːk
ស្និទ្ធស្នាល	snətsnaːl
ស្នូកអណ្ដើក	snoukʔɑːʔɑnɗaək
ស្នេហាជាតិ	snaehaːciət
ស្បែកចុងក្ដ	sɓêkcoŋkɗâ
ស្បែកជើងផ្ទាត់	sɓaekcəːŋpʰtoət
ស្បែកជើងសង្រែក	sɓaekcəːŋsɑːsɑŋrɛːk
ស្ពៃស	spɨjsɑː
ស្ម័គ្រចិត្ត	smakcət
ស្មារតីលះបង់	smaːɗəjleəhɓɑŋ
ស្រៈនិស្ស័យ	sraʔnihsaj
ស្របច្បាប់	srɑːpcɓap
ស្រៈពេញតួ	sraʔpɨɲtuə
ស្រវាស្រទេញ	srɑːʋaːsrɑːtɨɲ
ស្រាស	sraːsɑː
ស្រីញី	srəjɲiː
ស្រីស្នំ	sreisnâm
ស្រុកកំពង់ស្វាយ	srokkɑmpuəŋsʋaːj
ស្រុកវើនសៃ	srokʋəːnsaj
ស្លៀកពាក់	sliəkpeək
ស្វែងយល់	sʋaeŋjuəl
ស្វែងរក	sʋaeŋrɔːk
ស្វោយរាជ្យ	sʋaojriəc
ហាងលក់ថ្នាំ	haːŋluəktʰnam
ហាមឃាត់	haːmkʰoət
ហាមជក់បារី	haːmcuəkɓaːrəj
ហេតុការណ៍	haetkaː
ហេតុអី	haetʔəj
ហេតុអ្វី	haetʔaʔʋəj
ហ្គីណេអេក្វាទ័រ	ɡiːneːʔeːkʋaːtoə
ហ្មឺន	mœn
ហ្វឹកហាត់	ʋəkʰat
ហ្វឹកហ្វឺន	ʋəkʋəɨn
ឡោមព័ទ្ធ	laompoət
អក្សរខម	ʔaksɑːkʰɑːm
អក្សរខ្មែរ	ʔaksɑːkʰmae
អក្សរជ្រៀង	ʔaksɑːcriəŋ
អក្សរឈរ	ʔaksɑːcɔː
អក្សរត្រង់	ʔɑksɑːtrɑŋ
អក្សរមូល	ʔaksɑːmuːl
អក្សរសព្ទ	ʔaksɑːsap
អក្សរសាស្ត្រ	ʔaksɑːsaːh
អង្គរធំ	ʔɑŋkɔːtʰom
អង្គរវត្ត	ʔɑŋkɔːʋoət
អឌ្ឍគោល	ʔattʰeəʔkoːl
